"PekingUniversityMainCampus2008Provincial(AutonomousRegions,MunicipalitiesDirectlyUndertheCentralGovernment)MajorAdmissionScoreLines(LiberalArts)-Province","PekingUniversityMainCampus2008Provincial(AutonomousRegions,MunicipalitiesDirectlyUndertheCentralGovernment)MajorAdmissionScoreLines(LiberalArts)-YuanpeiProgram","PekingUniversityMainCampus2008Provincial(AutonomousRegions,MunicipalitiesDirectlyUndertheCentralGovernment)MajorAdmissionScoreLines(LiberalArts)-YuanpeiProgram.1","PekingUniversityMainCampus2008Provincial(AutonomousRegions,MunicipalitiesDirectlyUndertheCentralGovernment)MajorAdmissionScoreLines(LiberalArts)-YuanpeiProgram.2","PekingUniversityMainCampus2008Provincial(AutonomousRegions,MunicipalitiesDirectlyUndertheCentralGovernment)MajorAdmissionScoreLines(LiberalArts)-EconomicsandBusinessAdministration","PekingUniversityMainCampus2008Provincial(AutonomousRegions,MunicipalitiesDirectlyUndertheCentralGovernment)MajorAdmissionScoreLines(LiberalArts)-EconomicsandBusinessAdministration.1","PekingUniversityMainCampus2008Provincial(AutonomousRegions,MunicipalitiesDirectlyUndertheCentralGovernment)MajorAdmissionScoreLines(LiberalArts)-EconomicsandBusinessAdministration.2","PekingUniversityMainCampus2008Provincial(AutonomousRegions,MunicipalitiesDirectlyUndertheCentralGovernment)MajorAdmissionScoreLines(LiberalArts)-BusinessAdministrationandManagement","PekingUniversityMainCampus2008Provincial(AutonomousRegions,MunicipalitiesDirectlyUndertheCentralGovernment)MajorAdmissionScoreLines(LiberalArts)-BusinessAdministrationandManagement.1","PekingUniversityMainCampus2008Provincial(AutonomousRegions,MunicipalitiesDirectlyUndertheCentralGovernment)MajorAdmissionScoreLines(LiberalArts)-BusinessAdministrationandManagement.2","PekingUniversityMainCampus2008Provincial(AutonomousRegions,MunicipalitiesDirectlyUndertheCentralGovernment)MajorAdmissionScoreLines(LiberalArts)-InternationalPolitics","PekingUniversityMainCampus2008Provincial(AutonomousRegions,MunicipalitiesDirectlyUndertheCentralGovernment)MajorAdmissionScoreLines(LiberalArts)-InternationalPolitics.1","PekingUniversityMainCampus2008Provincial(AutonomousRegions,MunicipalitiesDirectlyUndertheCentralGovernment)MajorAdmissionScoreLines(LiberalArts)-InternationalPolitics.2",Law,Law.1,Law.2,Sociology,Sociology.1,Sociology.2,NewsandCommunicationMajor,NewsandCommunicationMajor.1,NewsandCommunicationMajor.2,English,English.1,English.2,InformationManagementandInformationSystem,InformationManagementandInformationSystem.1,InformationManagementandInformationSystem.2,PublicAdministration,PublicAdministration.1,PublicAdministration.2,ChineseLanguageandLiterature,ChineseLanguageandLiterature.1,ChineseLanguageandLiterature.2,Archaeology,Archaeology.1,Archaeology.2,PhilosophyandRelatedDisciplines,PhilosophyandRelatedDisciplines.1,PhilosophyandRelatedDisciplines.2,German,German.1,German.2,French,French.1,French.2,Russian,Russian.1,Russian.2,Japanese,Japanese.1,Japanese.2,BroadcastandTelevisionDirector(FilmandTelevisionDirector),BroadcastandTelevisionDirector(FilmandTelevisionDirector).1,BroadcastandTelevisionDirector(FilmandTelevisionDirector).2,HistoryandScienceClass,HistoryandScienceClass.1,HistoryandScienceClass.2,Korean,Korean.1,Korean.2,Spanish,Spanish.1,Spanish.2,Arabic,Arabic.1,Arabic.2,Thai,Thai.1,Thai.2,Province
,Highest Score,Minimum Score,Average Score,Highest Score,Minimum Score,Average Score,Highest Score,Minimum Score,Average Score,Highest Score,Minimum Score,Average Score,Highest Score,Minimum Score,Average Score,Highest Score,Minimum Score,Average Score,Highest Score,Minimum Score,Average Score,Highest Score,Minimum Score,Average Score,Highest Score,Minimum Score,Average Score,Highest Score,Minimum Score,Average Score,Highest Score,Minimum Score,Average Score,Highest Score,Minimum Score,Average Score,Highest Score,Minimum Score,Average Score,Highest Score,Minimum Score,Average Score,Highest Score,Minimum Score,Average Score,Highest Score,Minimum Score,Average Score,Highest Score,Minimum Score,Average Score,Highest Score,Minimum Score,Average Score,Highest Score,Minimum Score,Average Score,Highest Score,Minimum Score,Average Score,Highest Score,Minimum Score,Average Score,Highest Score,Minimum Score,Average Score,Highest Score,Minimum Score,Average Score,
Anhui Province,639,634,637,634,634,634,639,633,636,630,630,630,637,622,627,632,627,630,,,,632,630,631,,,,,,,632,622,625,,,,,,,624,624,624,,,,,,,,,,,,,612,612,612,,,,636,625,631,,,,,,,Anhui Province
Beijing City,650,636,642,650,636,643,645,629,636,651,634,643,652,621,633,632,616,624,636,618,627,647,632,639,630,606,618,635,617,626,650,628,638,,,,635,608,619,,,,,,,,,,,,,627,618,623,628,614,621,,,,,,,,,,,,,Beijing City
Fujian Province,626,623,625,662,631,647,659,659,659,628,623,626,634,624,629,622,620,621,,,,623,619,621,,,,626,623,625,620,620,620,618,618,618,,,,,,,,,,,,,,,,,,,619,619,619,,,,,,,,,,,,,Fujian Province
Gansu Province,657,626,642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gansu Province
Guangdong Province,665,663,664,665,662,663,681,665,673,,,,665,662,664,,,,,,,661,659,660,,,,662,660,662,648,648,648,,,,659,659,659,,,,,,,,,,,,,664,659,662,,,,,,,,,,,,,,,,Guangdong Province
Guangxi Autonomous Region,,,,642,642,642,647,647,647,632,632,632,634,619,627,,,,620,620,620,,,,,,,,,,620,612,616,,,,617,610,614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Guangxi Autonomous Region
Guizhou Province,,,,681,661,671,,,,,,,661,646,655,657,657,657,,,,663,663,663,,,,,,,668,637,652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Guizhou Province
Hainan Province,,,,909,890,899,926,926,926,868,868,868,884,875,880,,,,871,871,871,862,862,862,,,,,,,,,,,,,,,,,,,,,,860,860,860,,,,,,,,,,,,,,,,,,,,,,Hainan Province
Hebei Province,638,638,638,623,623,623,645,639,642,643,619,631,624,622,623,620,617,618,621,618,620,617,617,617,,,,621,619,620,633,615,624,608,605,607,618,609,615,,,,630,630,630,,,,,,,,,,617,611,615,,,,621,621,621,,,,,,,Hebei Province
Henan Province,667,642,655,634,628,631,649,632,641,642,640,641,637,628,633,638,632,635,641,632,637,629,619,624,,,,644,629,635,635,627,631,,,,629,627,628,,,,,,,,,,,,,,,,,,,,,,,,,633,627,630,,,,Henan Province
Heilongjiang Province,659,652,655,660,654,657,662,661,662,,,,662,653,657,643,643,643,,,,649,643,646,,,,652,649,651,648,643,646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heilongjiang Province
Hubei Province,629,629,629,628,616,624,641,623,633,625,623,624,625,617,622,613,613,613,618,617,618,623,610,617,,,,621,621,621,,,,,,,615,615,615,617,617,617,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hubei Province
Hunan Province,665,655,660,660,657,659,667,660,664,651,644,649,654,654,654,658,637,648,656,632,640,644,644,644,658,636,643,634,634,634,653,635,644,,,,,,,,,,,,,,,,,,,653,653,653,,,,,,,635,635,635,,,,,,,Hunan Province
Jilin Province,654,651,653,655,646,651,672,660,666,,,,660,645,653,,,,,,,,,,,,,652,651,652,648,641,645,,,,,,,,,,653,653,653,646,646,646,,,,644,643,644,,,,650,636,643,657,639,648,,,,,,,Jilin Province
Jiangsu Province,424,417,421,420,412,416,,,,412,406,409,415,411,413,,,,408,408,408,418,418,418,,,,,,,413,405,409,,,,406,406,406,407,407,407,407,407,407,,,,407,407,407,,,,405,405,405,,,,406,406,406,,,,,,,Jiangsu Province
Jiangxi Province,619,619,619,,,,638,628,633,620,620,620,618,611,615,617,617,617,613,608,611,606,602,604,,,,618,610,614,605,603,604,,,,606,599,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jiangxi Province
