2012JuniorHighSchoolGraduationExaminationStaffArrangementTable-Unit,2012JuniorHighSchoolGraduationExaminationStaffArrangementTable-ExaminationSitePersonnelRemainingatSchool,2012JuniorHighSchoolGraduationExaminationStaffArrangementTable-ExaminationSitePersonnelRemainingatSchool.1,2012JuniorHighSchoolGraduationExaminationStaffArrangementTable-ExaminationSitePersonnelRemainingatSchool.2,2012JuniorHighSchoolGraduationExaminationStaffArrangementTable-ExaminationSitePersonnelRemainingatSchool.3,2012JuniorHighSchoolGraduationExaminationStaffArrangementTable-ExaminationSitePersonnelRemainingatSchool.4,2012JuniorHighSchoolGraduationExaminationStaffArrangementTable-ExaminationSitePersonnelRemainingatSchool.5,2012JuniorHighSchoolGraduationExaminationStaffArrangementTable-ExaminationSitePersonnelRemainingatSchool.6,2012JuniorHighSchoolGraduationExaminationStaffArrangementTable-Outboundpersonnel,2012JuniorHighSchoolGraduationExaminationStaffArrangementTable-Outboundpersonnel.1,2012JuniorHighSchoolGraduationExaminationStaffArrangementTable-Outboundpersonnel.2,2012JuniorHighSchoolGraduationExaminationStaffArrangementTable-Outboundpersonnel.3,2012JuniorHighSchoolGraduationExaminationStaffArrangementTable-Outboundpersonnel.4
Unit,Vice Principal,Examination Affairs Promotion,Security and Protection,Timing Broadcast,Logistics,Leader,Total,Deputy Director,Confidentiality,Chief Examiner,Proctor,Total
0201 Suining No.2 Middle School,1,2,2,1,2,,8,1,,12,12,25
0301 Suining Nationalities Middle School,1,4,2,1,2,,10,1,2,3,3,9
0301 Suining Nationalities Middle School,1,4,2,1,2,,10,1,2,2,2,7
0301 Suining Nationalities Middle School,1,4,2,1,2,,10,1,2,3,3,9
0401 In the City School,1,2,2,1,2,,8,1,2,6,6,15
0501 Suining No.5 Middle School,1,2,2,1,2,,8,1,2,2,2,7
0701 Green Oasis Middle School,1,2,2,1,2,,8,1,2,2,2,7
0701 Green Oasis Middle School,1,2,2,1,2,,8,1,2,2,2,7
0701 Green Oasis Middle School,1,2,2,1,2,,8,1,2,7,7,17
1001 Guanxia Middle School,1,2,2,1,2,,8,1,2,3,3,9
1201 Suining No.10 Middle School,1,2,2,1,2,,8,1,2,2,2,7
1301 Matang School,1,2,2,1,2,,8,1,2,1,1,5
1901 Chao Yi School,1,2,2,1,2,,8,1,,7,7,15
2001 E Gong School,1,2,2,1,2,,8,1,2,7,7,17
