Announcement Date,City,Area,Plot Name,Land Use Purpose,Land Area (m²),Planned Construction Area (m²),Floor Area Ratio,"Starting Total Price (10,000 yuan)",Transaction Status,"Total Transaction Price (10,000 yuan)",Transaction Date
8/5/2015,Beijing City,Chaoyang District,"Beijing Chaoyang District Sunhe Township Xidian Village 2902-l01, 2902-l02 Plot","a61 Institutional Elderly Care Facilities Land, r2 Class II Residential Land",69123,89860,--,196000,Not Sold,--,--
8/5/2015,Beijing City,Chaoyang District,"Beijing Chaoyang District Sunhe Township Xidian Village 2902-l01, 2902-l02 Plot","a61 Institutional Elderly Care Facilities Land, r2 Class II Residential Land",69123,89860,--,196000,Not Sold,--,--
8/3/2015,Beijing City,Chaoyang District,Beijing Chaoyang District Dongba Nanqu 1106-657 Plot,f1 residential mixed public building land,63913,159783,--,305000,Not Sold,--,--
7/30/2015,Beijing City,Chaoyang District,"Beijing Chaoyang District Sunhe Township Beidian West Village 2902-18, 2902-19, 2902-27 Plot","f1 residential mixed public building land, r2 second-class residential land, r22 community supporting service facilities",121096,143685,--,432200,Not Sold,--,--
7/28/2015,Beijing City,Fengtai District,Beijing Fengtai District Nanyuan Town Shiliuzhuang Village 0517-659 and other plots,"f1 residential mixed public building land, a33 basic education land, a5 medical and health land",84985,166387,--,335000,Not Sold,--,--
7/3/2015,Beijing City,Daxing District,Beijing Economic-Technological Development Zone Ludong District E6M-1 Plot,Industrial,106518,213036,--,18534,Not Sold,--,--
6/12/2015,Beijing City,Fangshan District,"Fangshan District, Beijing City, Gongchen Subdistrict, Plot 16-01-07 and other plots","b4 Comprehensive commercial, financial, and service industry land, a61 Institutional elderly care facility land, r2 Class II residential land",112608,226086,--,227000,Already Sold,317800,7/16/2015
6/12/2015,Beijing City,Fangshan District,"Fangshan District, Beijing, Gongchen Street, 16-03-04, 16-01-05 and other plots","r2 second category residential land, b4 comprehensive commercial and financial services land, a33 basic education land, a6 social welfare land, a5 medical and health land",103406,176437,2,111000,Already Sold,157000,7/16/2015
6/11/2015,Beijing City,Fengtai District,Beijing Fengtai District Huaxiang Sihenzhuang (Zhongguancun Science Park Fengtai Park East Area Phase III) Plot 1516-12-a,"b4 comprehensive commercial, financial, and service industry land",27500,110000,4,129000,Already Sold,176000,7/15/2015
6/1/2015,Beijing City,Daxing District,"Daxing District, Beijing, Yinghai Town Area, Plot DX08-0002-0301",f1 residential mixed public building land,61031,152577,3,173000,Already Sold,259500,7/7/2015
5/29/2015,Beijing City,Daxing District,Beijing Daxing District Yinghai Town District DX08-0002-0304 and other plots,"f1 residential mixed public building land, a33 basic education land",57932,137735,2,152000,Already Sold,228000,7/3/2015
5/28/2015,Beijing City,Daxing District,"Panggezhuang Town, Daxing District, Beijing City, PGZ01-04, PGZ01-05 plots","f3 other multi-functional land use, f2 public building mixed residential land use",118127,198800,--,117000,Already Sold,200000,7/2/2015
5/27/2015,Beijing City,Daxing District,"Pgz02-34 Plot, Panguezhuang Town, Daxing District, Beijing","b4 comprehensive commercial, financial, and service industry land",24464,48928,--,28200,Already Sold,46800,7/1/2015
5/26/2015,Beijing City,Daxing District,"Panggezhuang Town, Daxing District, Beijing City, PGZ01-01, PGZ01-02 Plot","f3 other multi-functional land use, f2 public building mixed residential land use",158280,266222,2,151000,Already Sold,241000,6/30/2015
5/25/2015,Beijing City,Daxing District,"Daxing District New Town Northern Area dx00-0301-6001 Plot, Beijing Municipality",f3 Other Multi-functional Land Use,38024,106468,--,87000,Already Sold,97000,6/30/2015
5/22/2015,Beijing City,Daxing District,"Daxing District, Beijing City, Caiyu Town District No. 6-1 Land Level One Development Project Block 01-0044","b4 comprehensive commercial, financial, and service industry land",13921,16705,--,10500,Already Sold,12200,6/26/2015
5/21/2015,Beijing City,Daxing District,"Xianghai Town, Daxing District, Beijing City, Jiangchang Village, Lot 02-1-1",r2 second-class residential land,13542,18958,1,15000,Already Sold,22500,6/25/2015
3/31/2015,Beijing City,Miyun County,"Miyun County, Beijing, Shilipu Town, Shuangjing Village, North Side, MY00-0204-L002, 6006, L001 Plot","r2 second-class residential land, a33 basic education land, a61 institutional elderly care facility land",96640,142550,--,53700,Already Sold,72500,5/5/2015
3/26/2015,Beijing City,Fengtai District,Beijing Fengtai District Xiaotun West Road Plot,"r2 second-class residential land, r53 kindergarteen and nursery land",93400,290000,3,--,Already Sold,485745,4/20/2015
3/23/2015,Beijing City,Haidian District,Beijing Haidian Northern Area Overall Development Zhongguancun Yongfeng Industrial Park HD-0402-0030 Block,f1 residential mixed public building land,65219,208702,3,378700,Already Sold,564000,4/27/2015
3/23/2015,Beijing City,Fengtai District,"Lize Road, Fengtai District, Beijing City, E-01, E-05, E-06 Land Parcels",c2 commercial and financial land,35709,336000,--,504000,Already Sold,504000,4/27/2015
3/5/2015,Beijing City,Tongzhou District,Beijing Tongzhou District Taihu Town 4-1-020 and other plots F2 public building mixed residential land and 4-1-034 and other plots,"f2 public facility mixed residential land, f3 other multi-functional land",144005,258968,2,--,Already Sold,200000,3/30/2015
3/4/2015,Beijing City,Shunyi District,Shunyi District Gaoliying Town Zhongguancun Lvkong International 3-2-4 (South Area) Plot,m1 industrial land for first category,13289,10631,--,1597,Already Sold,1597,4/8/2015
3/4/2015,Beijing City,Shunyi District,Shunyi District Gaoliying Town Zhongguancun Lvkong International 5-3-2 Plot,m1 industrial land for first category,56803,45442,--,7121,Already Sold,7121,4/8/2015
2/13/2015,Beijing City,Tongzhou District,Beijing Tongzhou District Songzhuang Town 0301-1201 Plot,f3 Other Multi-functional Land Use,65873,164683,--,78000,Already Sold,108000,3/24/2015
2/4/2015,Beijing City,Shunyi District,Shunyi District Zhaoquanying B5-02 Plot,m1 industrial land for first category,71328,57063,--,8968,Already Sold,8968,3/16/2015
