Name,Model,unit,Value
Aluminum Bronze Plate,8.0,kg/m2,5.99
Aluminum Bronze Plate,0.01,kg/m2,7.49
Aluminum Bronze Plate,0.012,kg/m2,8.99
Aluminum Bronze Plate,1.49,kg/m2,0.112
Aluminum Bronze Plate,0.02,kg/m2,0.14
Aluminum Bronze Plate,2.99,kg/m2,0.22
Aluminum Bronze Plate,4.0,kg/m2,0.35
Aluminum Bronze Plate,5.0,kg/m2,0.37
Aluminum Bronze Plate,5.99,kg/m2,0.45
Aluminum Bronze Plate,7.0,kg/m2,0.52
Aluminum Bronze Plate,8.0,kg/m2,0.59
Aluminum Bronze Plate,8.99,kg/m2,0.67
Aluminum Bronze Plate,0.1,kg/m2,0.75
Aluminum Bronze Plate,0.12,kg/m2,0.9
Aluminum Bronze Plate,0.14,kg/m2,1.12
Aluminum Bronze Plate,0.17,kg/m2,0.35
Aluminum Bronze Plate,0.2,kg/m2,1.5
Aluminum Bronze Plate,0.22,kg/m2,1.65
Aluminum Bronze Plate,0.25,kg/m2,1.87
Aluminum Bronze Plate,0.29,kg/m2,2.25
Aluminum Bronze Plate,0.35,kg/m2,2.62
Aluminum Bronze Plate,0.4,kg/m2,3.0
Aluminum Bronze Plate,0.45,kg/m2,3.37
Aluminum Bronze Plate,0.5,kg/m2,3.7
Aluminum Bronze Plate,0.55,kg/m2,4.12
Aluminum Bronze Plate,0.59,kg/m2,4.5
Aluminum Bronze Plate,0.65,kg/m2,4.87
Aluminum Bronze Plate,0.7,kg/m2,5.25
Aluminum Bronze Plate,0.75,kg/m2,5.62
Aluminum Bronze Plate,0.8,kg/m2,6.0
Aluminum Bronze Plate,0.84,kg/m2,6.37
Aluminum Bronze Plate,0.9,kg/m2,6.75
Aluminum Bronze Plate,0.95,kg/m2,7.12
Aluminum Bronze Plate,1.0,kg/m2,7.5
Aluminum Bronze Plate,1.1,kg/m2,8.25
Aluminum Bronze Plate,1.2,kg/m2,9.0
Aluminum Bronze Plate,1.5,kg/m2,11.25
Aluminum Bronze Plate,1.8,kg/m2,13.5
Aluminum Bronze Plate,2.0,kg/m2,15.0
Aluminum Bronze Plate,2.5,kg/m2,18.75
Aluminum Bronze Plate,3.0,kg/m2,22.5
Aluminum Bronze Plate,3.5,kg/m2,26.25
Aluminum Bronze Plate,4.0,kg/m2,30.0
Aluminum Bronze Plate,4.5,kg/m2,33.75
Aluminum Bronze Plate,5.0,kg/m2,37.0
Aluminum Bronze Plate,5.5,kg/m2,41.25
Aluminum Bronze Plate,6.0,kg/m2,45.0
Aluminum Bronze Plate,6.5,kg/m2,48.75
Aluminum Bronze Plate,7.0,kg/m2,52.5
Aluminum Bronze Plate,7.5,kg/m2,56.25
Aluminum Bronze Plate,8.0,kg/m2,60.0
Aluminum Bronze Plate,9.0,kg/m2,67.5
Aluminum Bronze Plate,10.0,kg/m2,75.0
Aluminum Bronze Plate,11.0,kg/m2,82.5
Aluminum Bronze Plate,12.0,kg/m2,90.0
