Serial Number,Unit,Business Scope,Certificate Number,Category
1.0,"Langfang Jifang Engineering Design and Consulting Co., Ltd.",Construction Engineering,039001-SⅠ,Class I
2.0,"Xianghe Guangzu Engineering Design and Consulting Co., Ltd.",Construction Engineering,039002-SⅡ,Class II
3.0,"Langfang Xinde Engineering Design and Consulting Co., Ltd.","Municipal Engineering (water supply, drainage, roads, bridges and tunnels)",039003-SⅡ,Class II
4.0,"Shihui Architectural Engineering Design and Review Co., Ltd. of Sanhe",Construction Engineering,039004-SⅡ,Class II
5.0,"Hebei Xiaoling Engineering Design and Consulting Co., Ltd.",Construction Engineering,039005-SⅠ,Class I
6.0,"Hebei Xiaoling Engineering Design and Consulting Co., Ltd.","Municipal Engineering (Heat Supply, Gardening, Water Supply, Drainage, Roads, Bridges and Tunnels)",039005-SⅡ,Class II
7.0,"Shijiazhuang Liuying Engineering Design and Consulting Co., Ltd.",Construction Engineering,039006-SⅠ,Class I
8.0,"Shijiazhuang Liuying Engineering Design and Consulting Co., Ltd.","Municipal Engineering (roads, bridges and tunnels, water supply, drainage)",039006-SⅡ,Class II
9.0,"Chengde Fengtai Construction Drawing Design Review Co., Ltd.",Construction Engineering,039007-SⅡ,Class II
10.0,"Qinhuangdao Congliang Engineering Design and Consulting Co., Ltd.",Construction Engineering,039008-SⅡ,Class II
11.0,"Cangzhou Huayou Hebin Engineering Design and Consulting Co., Ltd.",Construction Engineering,039009-SⅡ,Class II
12.0,"Handan Antai Geotechnical Engineering Consulting Co., Ltd.",Geotechnical Engineering Investigation,039010-SⅡ,Class II
13.0,"Handan Qibin Engineering Design and Consulting Co., Ltd.","Municipal Engineering (Gas, Heating, Water Supply, Drainage, Roads, Bridges and Tunnels)",039011-SⅡ,Class II
14.0,"Handan Guoning Engineering Design and Consulting Co., Ltd.",Construction Engineering,030002-SⅠ,Class I
15.0,"Langfang Baotong Engineering Design and Consulting Co., Ltd.",Construction Engineering,030005-SⅠ,Class I
16.0,Hebei Rongfeng Engineering Design and Consulting Firm,Construction Engineering,030006-SⅠ,Class I
17.0,Hebei Rongfeng Engineering Design and Consulting Firm,"Municipal Engineering (Gas, Heating, Gardening, Sanitation, Water Supply, Drainage, Roads, Bridges and Tunnels)",030006-SⅡ,Class II
18.0,Hebei Hechen Engineering Design and Consulting Firm,"Ultra-high-rise building engineering; Building engineering, municipal engineering (gas, heating)",030008-SⅠ,Class I
