"7-11CoalBalanceSheet-CoalBalanceSheet-Unit:10,000tons-Item",7-11CoalBalanceSheet-CoalBalanceSheet-Item,7-11CoalBalanceSheet-CoalBalanceSheet-2019,7-11CoalBalanceSheet-CoalBalanceSheet-2020,7-11CoalBalanceSheet-CoalBalanceSheet-2021,7-11CoalBalanceSheet-CoalBalanceSheet-2022,7-11CoalBalanceSheet-CoalBalanceSheet-(10000tons)-2023
,,,,,,
I. Available Quantity,Total Energy Available for Consumption,43133.0,38790.3,39429.7,39010.4,39237.2
Raw Coal Production Volume,Raw coal Production,11918.1,10944.6,9312.0,8753.1,8705.8
"Inflow from Other Provinces (Regions, Cities)",Allocation from Other Provinces,38410.1,29785.1,32274.3,30708.6,42294.0
Import Volume,Imports,1244.8,1188.2,959.0,903.0,2768.7
"Outflow from the Province (Region, Municipality) (-)",Allocation to Other Provinces(-),-8073.7,-4532.7,-2188.8,-1134.9,15283.4
Export Volume (-),Exports(-),-99.9,0.0,-10.5,-182.3,0.0
Beginning and End-of-Year Inventory Difference,Stock Changes in the Year,-266.5,1405.1,-916.3,-37.1,752.1
Beginning Inventory of the Year,Stock of early Year,3526.9,3793.3,2388.2,3304.5,3341.6
Year-end inventory (-),Stock of Year-end(-),-3793.3,-2388.2,-3304.5,-3341.6,2589.6
II. Consumption Volume,Total Energy Consumption,43133.0,38790.3,39429.7,39010.4,39237.2
In the total:,Consumption by Sector,,,,,
"1. Agriculture, Forestry, Animal Husbandry and Fishery","1.Agriculture,Forestry,Animal
           Husbandry and Fishery",45.6,40.6,24.7,18.0,16.4
2. Industry,2.Industry,42168.2,37858.7,38569.6,38178.7,38467.9
3. Construction Industry,3.Construction,0.0,0.0,0.4,0.2,0.2
"4. Transportation, Storage, and Postal Services","4.Transport,Storage and Post",15.0,12.0,0.2,0.1,0.1
"5. Wholesale and retail trade, accommodation,  
        and catering industry","5.Wholesale and Retail Trades,
           Hotels and Catering Services",254.8,224.8,213.5,210.0,186.2
6. Other Industries,6.Other Sectors,170.8,150.8,143.0,133.0,114.4
7. Domestic Consumption,7.Household Consumption,478.7,503.5,478.3,470.3,452.1
In the total:,Consumption by Usage,,,,,
1. Final Consumption,1.End-use Consumption,7083.9,6638.6,6496.0,6050.7,5912.0
Industry,Industry,6119.1,5706.9,5636.0,5219.0,5142.7
2. Used for processing and conversion,2.Energy Conversion,36049.1,32151.7,32933.6,32959.7,33325.2
Thermal Power Generation,Thermal Power,20515.8,18498.7,19361.8,19091.4,18925.6
Heat Supply,Heating,8128.3,8243.6,8688.6,9143.2,9345.5
Washed Coal Loss,Losses in Coal Washing and Dressing,468.0,732.2,360.1,343.6,389.2
Coking Coal,Coking,6762.9,4464.0,4324.3,3899.7,4180.7
Gas Making,Gas Production,170.6,200.9,185.8,481.8,481.0
Processed Coke Manufacturing Loss,Losses in briquette Processing,3.5,12.3,13.0,-0.1,3.2
3. Loss Volume,3.Other Losses,0.0,,,,0.0
Three. Balance Difference,Balance,0.0,,,,0.0
