8-3MonthlyResidentConsumerPriceIndex-(Takingthepricelevelofthesamemonthin2022as100)-IndicatorName,8-3MonthlyResidentConsumerPriceIndex-(Takingthepricelevelofthesamemonthin2022as100)-January,8-3MonthlyResidentConsumerPriceIndex-(Takingthepricelevelofthesamemonthin2022as100)-February,8-3MonthlyResidentConsumerPriceIndex-(Takingthepricelevelofthesamemonthin2022as100)-March,8-3MonthlyResidentConsumerPriceIndex-(Takingthepricelevelofthesamemonthin2022as100)-April,8-3MonthlyResidentConsumerPriceIndex-(Takingthepricelevelofthesamemonthin2022as100)-May,8-3MonthlyResidentConsumerPriceIndex-(Takingthepricelevelofthesamemonthin2022as100)-June
Consumer Price Index for Residents,100,100,101,102,101,102
"Food, tobacco, and alcohol",98,99,100,102,101,103
Grain,103,103,104,106,109,107
Fresh Vegetables,95,101,122,127,107,94
Meat from livestock,75,75,74,80,88,95
Aquatic products,114,106,106,98,90,89
Eggs,104,105,110,114,116,108
Fresh fruits,114,116,120,136,129,141
Clothing,101,99,99,99,100,100
Residence,100,100,100,100,98,100
Household goods and services,99,100,100,101,101,102
Transportation and Communication,105,105,105,106,106,108
"Education, Culture, and Entertainment",102,101,102,101,101,101
Healthcare,100,100,100,100,100,100
Other goods and services,102,100,102,103,103,102
,,,,,,
8-3 Continued,8-3 Continued,8-3 Continued,8-3 Continued,8-3 Continued,8-3 Continued,8-3 Continued
Indicator Name,July,August,September,October,November,December
Consumer Price Index for Residents,103,102,103,103,102,103
"Food, tobacco, and alcohol",106,105,106,107,106,107
Grain,108,103,105,102,104,102
Fresh Vegetables,111,100,113,101,86,97
Meat from livestock,108,113,118,123,118,115
Aquatic products,93,95,98,98,106,106
Eggs,108,105,105,108,108,112
Fresh fruits,138,129,112,114,117,117
Clothing,101,100,100,101,103,102
Residence,100,100,100,100,100,100
Household goods and services,101,102,101,102,102,102
Transportation and Communication,106,105,104,102,101,102
"Education, Culture, and Entertainment",101,101,101,101,101,101
Healthcare,100,100,100,100,100,100
Other goods and services,101,102,101,102,102,102
