ImportantPhysicalPropertiesofWater-Temperature-℃,ImportantPhysicalPropertiesofWater-Externalpressure-kPa,ImportantPhysicalPropertiesofWater-Density-kg/m3,ImportantPhysicalPropertiesofWater-Enthalpy-kJ/kg,ImportantPhysicalPropertiesofWater-Specificheat-kJ/kg℃,ImportantPhysicalPropertiesofWater-Thermalconductivity-W/mK,ImportantPhysicalPropertiesofWater-Viscosity-cP,ImportantPhysicalPropertiesofWater-Kinematicviscosity-10-5m2/s,ImportantPhysicalPropertiesofWater-Volumetricexpansioncoefficient-10-3/℃,ImportantPhysicalPropertiesofWater-SurfaceTension-mN/m
0,1.013,999.9,0.0,4.212,0.551,1.789,0.1789,-0.063,75.6
10,1.013,999.7,42.04,4.191,0.575,1.305,0.1306,0.07,74.1
20,1.013,998.2,83.9,4.183,0.599,1.005,0.1006,0.182,72.7
30,1.013,995.7,125.8,4.174,0.618,0.801,0.0805,0.321,71.2
40,1.013,992.2,167.5,4.174,0.634,0.653,0.0659,0.387,69.6
50,1.013,988.1,209.3,4.174,0.648,0.549,0.0556,0.449,67.7
60,1.013,983.2,251.1,4.178,0.659,0.47,0.0478,0.511,66.2
70,1.013,977.8,293.0,4.187,0.668,0.406,0.0415,0.57,64.3
80,1.013,971.8,334.9,4.195,0.675,0.355,0.0365,0.632,62.6
90,1.013,965.3,377.0,4.208,0.68,0.315,0.0326,0.695,60.7
100,1.013,958.4,419.1,4.22,0.683,0.283,0.0295,0.752,58.8
110,1.433,951.0,461.3,4.223,0.685,0.259,0.0272,0.808,56.9
120,1.986,943.1,503.7,4.25,0.686,0.237,0.0252,0.641,54.8
130,2.702,934.8,546.4,4.266,0.686,0.218,0.0233,0.919,52.8
140,3.624,926.1,589.1,4.287,0.685,0.201,0.0217,0.972,50.7
150,4.761,917.0,632.2,4.312,0.684,0.186,0.0203,1.03,48.6
160,6.181,907.4,675.3,4.346,0.683,0.173,0.0191,1.07,46.6
170,7.924,897.3,719.3,4.386,0.679,0.163,0.0181,1.13,45.3
180,10.03,886.9,763.3,4.417,0.675,0.153,0.0173,1.19,42.3
190,12.55,876.0,807.6,4.459,0.67,0.144,0.0165,1.26,40.0
200,15.54,863.0,852.4,4.505,0.663,0.136,0.0158,1.33,37.7
210,19.07,852.8,897.6,4.555,0.655,0.13,0.0153,1.41,35.4
220,23.2,840.3,943.7,4.614,0.645,0.124,0.0148,1.48,33.1
230,27.98,827.3,990.2,4.681,0.637,0.12,0.0145,1.59,31.0
240,33.47,813.6,1038.0,4.756,0.628,0.115,0.0141,1.68,28.5
250,39.77,799.0,1086.0,4.844,0.618,0.11,0.137,1.81,26.2
260,46.93,784.0,1135.0,4.949,0.604,0.106,0.0135,1.97,23.8
270,55.03,767.9,1185.0,5.07,0.59,0.102,0.0133,2.16,21.5
280,64.16,750.7,1237.0,5.229,0.575,0.098,0.0131,2.37,19.1
290,74.42,732.3,1290.0,5.485,0.558,0.094,0.0129,2.62,16.9
300,85.81,712.5,1345.0,5.736,0.54,0.091,0.0128,2.92,14.4
310,98.76,691.1,1402.0,6.071,0.523,0.088,0.0128,3.29,12.1
320,113.0,667.1,1462.0,6.573,0.506,0.085,0.0128,3.82,9.81
330,128.7,640.2,1526.0,7.27,0.484,0.081,0.0127,4.33,7.67
340,149.1,610.1,1595.0,8.16,0.457,0.077,0.0127,5.34,5.67
350,165.3,574.4,1671.0,9.5,0.43,0.073,0.0126,6.68,3.81
