"SaturatedWaterSteamTable(ArrangedbyPressure,SIUnits)-Absolutepressure","SaturatedWaterSteamTable(ArrangedbyPressure,SIUnits)-Temperature","SaturatedWaterSteamTable(ArrangedbyPressure,SIUnits)-Specificvolumeofvapor","SaturatedWaterSteamTable(ArrangedbyPressure,SIUnits)-SteamDensity","SaturatedWaterSteamTable(ArrangedbyPressure,SIUnits)-LiquidEnthalpy","SaturatedWaterSteamTable(ArrangedbyPressure,SIUnits)-SteamEnthalpy","SaturatedWaterSteamTable(ArrangedbyPressure,SIUnits)-Latentheatofvaporization"
kPa,℃,m3/kg,kg/m3,kJ/kg,kJ/kg,kJ/kg
1.0,6.3,129.37,0.00773,26.48,2503.1,2476.8
1.5,12.5,88.26,0.01133,52.26,2515.3,2463.0
2.0,17.0,67.29,0.01486,71.21,2524.2,2452.9
2.5,20.9,54.47,0.01836,87.45,2531.8,2444.3
3.0,23.5,45.52,0.02179,98.38,2536.8,2438.4
3.5,26.1,39.45,0.02523,109.3,2541.8,2432.5
4.0,28.7,34.88,0.02867,120.23,2546.8,2426.6
4.5,30.8,33.06,0.03205,129.0,2550.9,2421.9
5.0,32.4,28.27,0.03537,135.69,2554.0,2418.3
6.0,35.6,23.81,0.042,149.06,2560.1,2411.0
7.0,38.8,20.56,0.04864,162.44,2566.3,2403.8
8.0,41.3,18.13,0.05514,172.73,2571.0,2398.2
9.0,43.3,16.24,0.06156,181.16,2574.8,2393.6
10.0,45.3,14.71,0.06798,189.59,2578.5,2388.9
15.0,53.5,10.04,0.09956,224.03,2594.0,2370.0
20.0,60.1,7.65,0.13068,251.51,2606.4,2354.9
30.0,66.5,5.24,0.19093,288.77,2622.4,2333.7
40.0,75.0,4.0,0.24975,315.93,2634.1,2312.2
50.0,81.2,3.25,0.30799,339.8,2644.3,2304.5
60.0,85.6,2.74,0.36514,358.21,2652.1,2393.9
70.0,89.9,2.37,0.42229,376.61,2659.8,2234.4
80.0,93.2,2.09,0.47807,390.08,2665.3,2275.3
90.0,96.4,1.87,0.53384,403.49,2670.8,2267.4
100.0,99.6,1.7,0.58961,416.9,2670.3,2259.5
120.0,104.5,1.43,0.69869,437.51,2684.3,2246.8
140.0,109.2,1.24,0.80758,457.67,2692.1,2234.4
160.0,113.0,1.21,0.82981,473.88,2698.1,2224.2
180.0,116.6,0.988,1.0209,489.32,2703.7,2214.3
200.0,120.2,0.887,1.1273,493.71,2709.2,2204.6
250.0,127.2,0.719,1.3904,534.39,2719.7,2185.4
300.0,133.3,0.606,1.6501,560.38,2728.5,2168.1
350.0,138.8,0.524,1.9074,583.76,2736.1,2152.3
400.0,143.4,0.463,2.1618,603.61,2742.1,2138.5
450.0,147.7,0.414,2.4152,622.42,2747.8,2125.4
500.0,151.7,0.375,2.6673,639.59,2752.8,2113.2
600.0,158.7,0.316,3.1686,670.22,2761.4,2091.1
700.0,164.7,0.273,3.6657,696.27,2767.8,2071.5
800.0,170.4,0.24,4.1614,720.96,2773.7,2052.7
900.0,175.1,0.215,4.6526,741.82,2778.1,2036.2
1000.0,179.9,0.194,5.1432,762.68,2782.5,2019.7
1100.0,180.2,0.177,5.6339,780.34,2785.5,2005.1
1200.0,187.8,0.166,6.1241,797.92,2788.5,1990.6
1300.0,191.5,0.151,6.6141,814.25,2790.9,1976.7
1400.0,194.8,0.141,7.1038,829.06,2792.4,1963.7
1500.0,198.2,0.132,7.5935,843.86,2794.5,1950.7
1600.0,201.3,0.124,8.0814,857.77,2796.0,1938.2
1700.0,204.1,0.117,8.5674,870.58,2797.1,1926.5
1800.0,206.9,0.11,9.0533,883.39,2798.1,1914.8
1900.0,209.8,0.105,9.5392,896.21,2799.2,1903.0
2000.0,212.2,0.0997,10.0338,907.32,2799.7,1892.4
3000.0,233.7,0.0666,15.0075,1005.4,2798.9,1793.5
4000.0,250.3,0.0498,20.0969,1082.9,2789.8,1706.8
5000.0,263.8,0.0394,25.3663,1145.9,2776.2,1629.2
6000.0,275.4,0.0324,30.8494,1203.2,2759.5,1556.3
7000.0,285.7,0.0273,36.5744,1263.2,2740.8,1487.6
8000.0,294.8,0.0235,42.5768,1299.2,2720.5,1403.7
9000.0,303.2,0.0205,48.8945,1343.5,2699.1,1356.6
10000.0,310.9,0.018,55.5407,1384.0,2677.1,1293.1
12000.0,324.5,0.0142,70.3075,1463.4,2631.2,1167.7
14000.0,336.5,0.0115,87.302,1567.9,2583.2,1043.4
16000.0,347.2,0.00927,107.801,1615.8,2531.1,915.4
18000.0,356.9,0.00744,134.4813,1699.8,2466.0,766.1
20000.0,365.6,0.00566,176.5961,1817.8,2364.2,544.9
