Period,Subject Code,Subject Name,Beginning Balance (Debit),Beginning Balance (Credit),Current Period Occurrence (Debit),Current Period Occurrence (Credit),Year-to-date occurrence amount (Debit),Year-to-Date Occurrence Amount (Credit),Ending Balance (Debit),Ending Balance (Credit)
2,1001.0,Cash in Inventory,101780,0,6000,5000,91800,14020,102780,0
2,1002.0,Bank Deposit,344420,0,230100,85760,263500,374740,488760,0
2,1004.0,Cash Advances,0,0,5000,0,5000,0,5000,0
2,1012.0,Other Monetary Funds,18200,0,50000,0,50000,1800,68200,0
2,1101.0,Short-term Investment,60000,0,0,60000,0,60000,0,0
2,1121.0,Accounts Receivable Notes,0,0,0,0,0,0,0,0
2,1122.0,Accounts Receivable,213800,0,4680,110000,250380,143400,108480,0
2,1123.0,Prepaid Accounts Receivable,50000,0,0,50000,50000,50000,0,0
2,1131.0,Dividends Receivable,2100,0,0,2100,2100,2100,0,0
2,1132.0,Accounts Receivable - Interest,0,0,0,0,0,0,0,0
2,1221.0,Other Receivables,51600,0,0,0,48000,0,51600,0
2,1401.0,Material Purchase,0,0,0,100,0,100,-100,0
2,1402.0,Merchandise in Transit,90000,0,0,90000,90000,90000,0,0
2,1403.0,Raw materials,2200,0,0,0,0,800,2200,0
2,1404.0,Material Cost Variance,0,0,0,0,0,0,0,0
2,1405.0,Merchandise Inventory,207800,0,140000,0,140000,167200,347800,0
2,1407.0,Merchandise Purchase and Sales Price Difference,0,0,0,0,0,0,0,0
2,1408.0,Entrusted Processing Materials,0,0,0,0,0,0,0,0
2,1411.0,Turnover Materials,0,0,0,0,0,0,0,0
2,1412.0,Packaging materials,0,0,0,0,0,0,0,0
2,1413.0,Low-value Consumables,3200,0,0,0,1200,0,3200,0
2,1421.0,Consumable Biological Assets,0,0,0,0,0,0,0,0
2,1501.0,Long-term Bond Investment,0,0,0,0,0,0,0,0
2,1511.0,Long-term equity investment,0,0,0,0,0,0,0,0
2,1601.0,Fixed Assets,18000,0,0,9000,0,9000,9000,0
2,1602.0,Accumulated Depreciation,0,5000,2500,0,2500,500,0,2500
2,1604.0,Under Construction Engineering,0,0,0,0,0,0,0,0
2,1605.0,Engineering Materials,0,0,0,0,0,0,0,0
2,1606.0,Fixed Asset Disposal,0,0,6500,0,6500,0,6500,0
2,1621.0,Productive Biological Assets,0,0,0,0,0,0,0,0
2,1622.0,Accumulated Depreciation of Productive Biological Assets,0,0,0,0,0,0,0,0
2,1701.0,Intangible Assets,1500,0,0,0,0,0,1500,0
2,1702.0,Accumulated Amortization,0,0,0,150,0,150,0,150
2,1801.0,Long-term Prepaid Expenses,0,0,0,0,0,0,0,0
2,1901.0,Pending Property Gain or Loss,0,0,0,0,0,0,0,0
2,2001.0,Short-term Loan,0,100000,0,0,0,0,0,100000
2,2201.0,Notes Payable,0,0,0,0,0,0,0,0
2,2202.0,Accounts Payable,0,0,0,0,0,0,0,0
2,2203.0,Unearned Revenue,0,2000,0,0,0,0,0,2000
2,2211.0,Payable Employee Compensation,0,22800,22800,0,22800,22800,0,0
2,2221.0,Tax Payable,0,4460,12960,680,48660,40840,0,-7820
2,2231.0,Interest Payable,0,0,0,0,0,0,0,0
2,2232.0,Dividends Payable,0,0,0,0,0,0,0,0
2,2241.0,Other Payables,0,3100,0,0,0,0,0,3100
2,2401.0,Deferred Revenue,0,0,0,0,0,0,0,0
2,2501.0,Long-term loan,0,0,0,0,0,0,0,0
2,2701.0,Long-term Payables,0,0,0,0,0,0,0,0
2,3001.0,Paid-in Capital,0,1000000,0,0,0,0,0,1000000
2,3002.0,Capital Reserve,0,0,0,0,0,0,0,0
2,3101.0,Surplus Reserve,0,0,0,0,0,0,0,0
2,3103.0,Current Year Profit,0,27240,150,67900,220810,315800,0,94990
2,3104.0,Profit Distribution,0,0,0,0,0,0,0,0
2,4001.0,Production Cost,0,0,0,0,0,0,0,0
2,4002.0,Labor Cost,0,0,0,0,0,0,0,0
2,4101.0,Manufacturing Expenses,0,0,0,0,0,0,0,0
2,4301.0,R&D expenses,0,0,0,0,0,0,0,0
2,4401.0,Construction Work,0,0,0,0,0,0,0,0
2,4403.0,Mechanical Work,0,0,0,0,0,0,0,0
2,5001.0,Main Business Revenue,0,0,10000,10000,227300,227300,0,0
2,5051.0,Other Business Income,0,0,0,0,2500,2500,0,0
2,5111.0,Investment Income,0,0,57900,57900,60000,60000,0,0
2,5301.0,Non-operating income,0,0,0,0,26000,26000,0,0
2,5401.0,Main Business Cost,0,0,0,0,167200,167200,0,0
2,5402.0,Other operating costs,0,0,0,0,800,800,0,0
2,5403.0,Business Taxes and Surcharges,0,0,0,0,4460,4460,0,0
2,5601.0,Sales Expenses,0,0,0,0,23120,23120,0,0
2,5602.0,Administrative Expenses,0,0,150,150,22650,22650,0,0
2,5603.0,Financial Expenses,0,0,0,0,280,280,0,0
2,5711.0,Non-operating expenses,0,0,0,0,2300,2300,0,0
2,5801.0,Income Tax Expense,0,0,0,0,0,0,0,0
0,,Total,1164600,1164600,548740,548740,1829860,1829860,1194920,1194920
