MeasuredDeflectionValueRecordSheetRoadInspectionForm-01-ProjectName:MinzhuRoadProjectStartingandEndingPileNumbers:Leftsidefromk0+000tok3+000InspectionDate:2010.4.30.-Contractor:LiaoyangHighwayAsphaltMixingPlantSub-itemProjectName:OriginalPavementLayer-DesignResilientModulusL(BZZ-100)(0.01mm)-Rearaxleload/tirepressure(KN/MPa):-SeasonalcoefficientK1-SeasonalcoefficientK1-PileNumber(LeftSide)-PileNumber(LeftSide),MeasuredDeflectionValueRecordSheetRoadInspectionForm-01-ProjectName:MinzhuRoadProjectStartingandEndingPileNumbers:Leftsidefromk0+000tok3+000InspectionDate:2010.4.30.-Contractor:LiaoyangHighwayAsphaltMixingPlantSub-itemProjectName:OriginalPavementLayer-DesignResilientModulusL(BZZ-100)(0.01mm)-Rearaxleload/tirepressure(KN/MPa):-1-1-Reading-Left,MeasuredDeflectionValueRecordSheetRoadInspectionForm-01-ProjectName:MinzhuRoadProjectStartingandEndingPileNumbers:Leftsidefromk0+000tok3+000InspectionDate:2010.4.30.-Contractor:LiaoyangHighwayAsphaltMixingPlantSub-itemProjectName:OriginalPavementLayer-DesignResilientModulusL(BZZ-100)(0.01mm)-Rearaxleload/tirepressure(KN/MPa):-1-1-Reading-Right,MeasuredDeflectionValueRecordSheetRoadInspectionForm-01-ProjectName:MinzhuRoadProjectStartingandEndingPileNumbers:Leftsidefromk0+000tok3+000InspectionDate:2010.4.30.-Contractor:LiaoyangHighwayAsphaltMixingPlantSub-itemProjectName:OriginalPavementLayer-Rearaxleload/tirepressure(KN/MPa):-TemperaturecoefficientK3-TemperaturecoefficientK3-Deflection-Left,MeasuredDeflectionValueRecordSheetRoadInspectionForm-01-ProjectName:MinzhuRoadProjectStartingandEndingPileNumbers:Leftsidefromk0+000tok3+000InspectionDate:2010.4.30.-Contractor:LiaoyangHighwayAsphaltMixingPlantSub-itemProjectName:OriginalPavementLayer-Rearaxleload/tirepressure(KN/MPa):-TemperaturecoefficientK3-TemperaturecoefficientK3-Deflection-Right,MeasuredDeflectionValueRecordSheetRoadInspectionForm-01-ProjectName:MinzhuRoadProjectStartingandEndingPileNumbers:Leftsidefromk0+000tok3+000InspectionDate:2010.4.30.-Contractor:LiaoyangHighwayAsphaltMixingPlantSub-itemProjectName:OriginalPavementLayer-TestVehicleModel-Rearaxleload/tirepressure(KN/MPa):-Remarks-Remarks,MeasuredDeflectionValueRecordSheetRoadInspectionForm-01-ProjectName:MinzhuRoadProjectStartingandEndingPileNumbers:Leftsidefromk0+000tok3+000InspectionDate:2010.4.30.-Contractor:LiaoyangHighwayAsphaltMixingPlantSub-itemProjectName:OriginalPavementLayer-FALINGCA10B-Rearaxleload/tirepressure(KN/MPa):-L=L/K1×K3×K4-(0.01mm)-PileNumber(RightSection)-PileNumber(RightSection),MeasuredDeflectionValueRecordSheetRoadInspectionForm-01-ProjectName:MinzhuRoadProjectStartingandEndingPileNumbers:Leftsidefromk0+000tok3+000InspectionDate:2010.4.30.-Contractor:LiaoyangHighwayAsphaltMixingPlantSub-itemProjectName:OriginalPavementLayer-FALINGCA10B-Rearaxleload/tirepressure(KN/MPa):-L=L/K1×K3×K4-(0.01mm)-Reading-Left,MeasuredDeflectionValueRecordSheetRoadInspectionForm-01-ProjectName:MinzhuRoadProjectStartingandEndingPileNumbers:Leftsidefromk0+000tok3+000InspectionDate:2010.4.30.-Contractor:LiaoyangHighwayAsphaltMixingPlantSub-itemProjectName:OriginalPavementLayer-VehicletypecoefficientK4-Rearaxleload/tirepressure(KN/MPa):-L=L/K1×K3×K4-(0.01mm)-Reading-Right,MeasuredDeflectionValueRecordSheetRoadInspectionForm-01-ProjectName:MinzhuRoadProjectStartingandEndingPileNumbers:Leftsidefromk0+000tok3+000InspectionDate:2010.4.30.-Contractor:LiaoyangHighwayAsphaltMixingPlantSub-itemProjectName:OriginalPavementLayer-VehicletypecoefficientK4-Rearaxleload/tirepressure(KN/MPa):-Deflection-Left,MeasuredDeflectionValueRecordSheetRoadInspectionForm-01-ProjectName:MinzhuRoadProjectStartingandEndingPileNumbers:Leftsidefromk0+000tok3+000InspectionDate:2010.4.30.-Contractor:LiaoyangHighwayAsphaltMixingPlantSub-itemProjectName:OriginalPavementLayer-2-Rearaxleload/tirepressure(KN/MPa):-Deflection-Right,MeasuredDeflectionValueRecordSheetRoadInspectionForm-01-ProjectName:MinzhuRoadProjectStartingandEndingPileNumbers:Leftsidefromk0+000tok3+000InspectionDate:2010.4.30.-Contractor:LiaoyangHighwayAsphaltMixingPlantSub-itemProjectName:OriginalPavementLayer-2-Rearaxleload/tirepressure(KN/MPa):-Remarks-Remarks
K0+000,22,15,44,30,,K1+600,12,15,24,30,
K0+050,14,16,28,32,,K1+650,13,25,26,50,
K0+100,24,22,48,44,,K1+700,14,18,28,36,
K0+150,24,20,48,40,,K1+975,16,13,32,26,
K0+200,24,22,48,44,,K2+025,17,15,34,30,
K0+250,20,21,40,42,,K2+075,13,10,26,20,
K0+300,10,13,20,26,,K2+125,10,30,20,60,
K0+350,24,12,48,24,,K2+175,10,14,20,28,
K0+400,9,10,18,20,,K2+225,16,14,32,28,
K0+450,8,7,16,14,,K2+275,30,16,60,32,
K0+500,8,8,16,16,,K2+325,30,20,60,40,
K0+550,11,11,22,22,,K2+375,7,11,14,22,
K0+600,7,19,14,38,,K2+425,28,28,56,56,
K0+650,18,13,36,26,,K2+475,28,10,56,20,
K0+700,24,10,48,20,,K2+525,17,20,34,40,
K0+750,10,13,20,26,,K2+575,13,17,26,34,
K0+800,0,18,0,36,,K2+625,30,18,60,36,
K0+850,20,3,40,6,,K2+675,13,18,26,36,
K0+900,20,15,40,30,,K2+725,23,23,46,46,
K0+950,25,11,50,22,,K2+775,30,30,60,60,
K1+000,3,2,6,4,,K2+825,28,27,56,54,
K1+050,8,3,16,6,,K2+875,17,20,34,40,
K1+100,15,15,30,30,,K2+925,25,20,50,40,
K1+150,5,10,10,20,,,,,,,
K1+200,13,18,26,36,,,,,,,
K1+250,10,16,20,32,,,,,,,
K1+300,15,10,30,20,,,,,,,
K1+350,20,16,40,32,,,,,,,
K1+400,3,10,6,20,,,,,,,
K1+450,25,15,50,30,,,,,,,
K1+500,25,18,50,36,,,,,,,
K1+550,5,5,10,10,,,,,,,
L,32,S,14.49,Za,2,Lr=L+ZaS,60.7,60.7 ,Actual Score,100,100 
,,,,,,,,,,,
Technical Supervisor:          Quality Inspector:          Recorder:,Technical Supervisor:          Quality Inspector:          Recorder:,Technical Supervisor:          Quality Inspector:          Recorder:,Technical Supervisor:          Quality Inspector:          Recorder:,Technical Supervisor:          Quality Inspector:          Recorder:,Technical Supervisor:          Quality Inspector:          Recorder:,Technical Supervisor:          Quality Inspector:          Recorder:,Technical Supervisor:          Quality Inspector:          Recorder:,Technical Supervisor:          Quality Inspector:          Recorder:,Technical Supervisor:          Quality Inspector:          Recorder:,Technical Supervisor:          Quality Inspector:          Recorder:,Technical Supervisor:          Quality Inspector:          Recorder:
