MeasuredDeflectionValueRecordSheetRoadInspectionForm-01-ProjectName:StartingandEndingPileNumber:RightSideToInspectionDate:2010.4.30-Contractor:LiaoyangHighwayAsphaltMixingPlantSub-itemProjectName:OriginalPavementLayer-DesignResilientModulusL(BZZ-100)(0.01mm)-Rearaxleload/tirepressure(KN/MPa):-SeasonalcoefficientK1-SeasonalcoefficientK1-PileNumber(LeftSide)-PileNumber(LeftSide),MeasuredDeflectionValueRecordSheetRoadInspectionForm-01-ProjectName:StartingandEndingPileNumber:RightSideToInspectionDate:2010.4.30-Contractor:LiaoyangHighwayAsphaltMixingPlantSub-itemProjectName:OriginalPavementLayer-DesignResilientModulusL(BZZ-100)(0.01mm)-Rearaxleload/tirepressure(KN/MPa):-1-1-Reading-Left,MeasuredDeflectionValueRecordSheetRoadInspectionForm-01-ProjectName:StartingandEndingPileNumber:RightSideToInspectionDate:2010.4.30-Contractor:LiaoyangHighwayAsphaltMixingPlantSub-itemProjectName:OriginalPavementLayer-DesignResilientModulusL(BZZ-100)(0.01mm)-Rearaxleload/tirepressure(KN/MPa):-1-1-Reading-Right,MeasuredDeflectionValueRecordSheetRoadInspectionForm-01-ProjectName:StartingandEndingPileNumber:RightSideToInspectionDate:2010.4.30-Contractor:LiaoyangHighwayAsphaltMixingPlantSub-itemProjectName:OriginalPavementLayer-Rearaxleload/tirepressure(KN/MPa):-TemperaturecoefficientK3-TemperaturecoefficientK3-Deflection-Left,MeasuredDeflectionValueRecordSheetRoadInspectionForm-01-ProjectName:StartingandEndingPileNumber:RightSideToInspectionDate:2010.4.30-Contractor:LiaoyangHighwayAsphaltMixingPlantSub-itemProjectName:OriginalPavementLayer-Rearaxleload/tirepressure(KN/MPa):-TemperaturecoefficientK3-TemperaturecoefficientK3-Deflection-Right,MeasuredDeflectionValueRecordSheetRoadInspectionForm-01-ProjectName:StartingandEndingPileNumber:RightSideToInspectionDate:2010.4.30-Contractor:LiaoyangHighwayAsphaltMixingPlantSub-itemProjectName:OriginalPavementLayer-TestVehicleModel-Rearaxleload/tirepressure(KN/MPa):-Remarks-Remarks,MeasuredDeflectionValueRecordSheetRoadInspectionForm-01-ProjectName:StartingandEndingPileNumber:RightSideToInspectionDate:2010.4.30-Contractor:LiaoyangHighwayAsphaltMixingPlantSub-itemProjectName:OriginalPavementLayer-FALINGCA10B-Rearaxleload/tirepressure(KN/MPa):-L=L/K1×K3×K4-(0.01mm)-PileNumber(RightSection)-PileNumber(RightSection),MeasuredDeflectionValueRecordSheetRoadInspectionForm-01-ProjectName:StartingandEndingPileNumber:RightSideToInspectionDate:2010.4.30-Contractor:LiaoyangHighwayAsphaltMixingPlantSub-itemProjectName:OriginalPavementLayer-FALINGCA10B-Rearaxleload/tirepressure(KN/MPa):-L=L/K1×K3×K4-(0.01mm)-Reading-Left,MeasuredDeflectionValueRecordSheetRoadInspectionForm-01-ProjectName:StartingandEndingPileNumber:RightSideToInspectionDate:2010.4.30-Contractor:LiaoyangHighwayAsphaltMixingPlantSub-itemProjectName:OriginalPavementLayer-VehicletypecoefficientK4-Rearaxleload/tirepressure(KN/MPa):-L=L/K1×K3×K4-(0.01mm)-Reading-Right,MeasuredDeflectionValueRecordSheetRoadInspectionForm-01-ProjectName:StartingandEndingPileNumber:RightSideToInspectionDate:2010.4.30-Contractor:LiaoyangHighwayAsphaltMixingPlantSub-itemProjectName:OriginalPavementLayer-VehicletypecoefficientK4-Rearaxleload/tirepressure(KN/MPa):-Deflection-Left,MeasuredDeflectionValueRecordSheetRoadInspectionForm-01-ProjectName:StartingandEndingPileNumber:RightSideToInspectionDate:2010.4.30-Contractor:LiaoyangHighwayAsphaltMixingPlantSub-itemProjectName:OriginalPavementLayer-2-Rearaxleload/tirepressure(KN/MPa):-Deflection-Right,MeasuredDeflectionValueRecordSheetRoadInspectionForm-01-ProjectName:StartingandEndingPileNumber:RightSideToInspectionDate:2010.4.30-Contractor:LiaoyangHighwayAsphaltMixingPlantSub-itemProjectName:OriginalPavementLayer-2-Rearaxleload/tirepressure(KN/MPa):-Remarks-Remarks
K0+000,21,12,42,24,,K1+600,15,12,30,24,
K0+050,35,37,70,74,,K1+650,14,8,28,16,
K0+100,16,7,32,14,,K1+700,16,13,32,26,
K0+150,12,13,24,26,,K2+000,11,15,22,30,
K0+200,20,15,40,30,,K2+050,2,3,4,6,
K0+250,18,17,36,34,,K2+100,3,20,6,40,
K0+300,29,30,58,60,,K2+150,29,17,58,34,
K0+350,22,20,44,40,,K2+200,19,20,38,40,
K0+400,21,21,42,42,,K2+250,21,11,42,22,
K0+450,21,20,42,40,,K2+300,9,5,18,10,
K0+500,13,12,26,24,,K2+350,17,9,34,18,
K0+550,16,20,32,40,,K2+400,23,10,46,20,
K0+600,31,15,62,30,,K2+450,22,25,44,50,
K0+650,32,19,64,38,,K2+500,12,10,24,20,
K0+700,28,27,56,54,,K2+550,18,18,36,36,
K0+750,32,15,64,30,,K2+600,23,16,46,32,
K0+800,14,15,28,30,,K2+650,26,20,52,40,
K0+850,13,10,26,20,,K2+700,15,14,30,28,
K0+900,17,16,34,32,,K2+750,10,22,20,44,
K0+950,20,21,40,42,,K2+800,9,15,18,30,
K1+000,31,23,62,46,,K2+850,29,14,58,28,
K1+050,3,19,6,38,,K2+900,23,27,46,54,
K1+100,22,20,44,40,,,,,,,
K1+150,8,11,16,22,,,,,,,
K1+200,11,14,22,28,,,,,,,
K1+250,11,17,22,34,,,,,,,
K1+300,5,18,10,36,,,,,,,
K1+350,11,20,22,40,,,,,,,
K1+400,14,6,28,12,,,,,,,
K1+450,14,12,28,24,,,,,,,
K1+500,21,26,42,52,,,,,,,
K1+550,6,17,12,34,,,,,,,
L,34,S,14.6,Za,2,Lr=L+ZaS,63.3,63.3 ,Actual Score,100,100 
,,,,,,,,,,,
Technical Supervisor:          Quality Inspector:          Recorder:,Technical Supervisor:          Quality Inspector:          Recorder:,Technical Supervisor:          Quality Inspector:          Recorder:,Technical Supervisor:          Quality Inspector:          Recorder:,Technical Supervisor:          Quality Inspector:          Recorder:,Technical Supervisor:          Quality Inspector:          Recorder:,Technical Supervisor:          Quality Inspector:          Recorder:,Technical Supervisor:          Quality Inspector:          Recorder:,Technical Supervisor:          Quality Inspector:          Recorder:,Technical Supervisor:          Quality Inspector:          Recorder:,Technical Supervisor:          Quality Inspector:          Recorder:,Technical Supervisor:          Quality Inspector:          Recorder:
