"2-5HongKong,Macao,andTaiwanresidentsandforeignnationalscategorizedbyeducationalattainment","2-5HongKong,Macao,andTaiwanresidentsandforeignnationalscategorizedbyeducationalattainment.1","2-5HongKong,Macao,andTaiwanresidentsandforeignnationalscategorizedbyeducationalattainment.2","2-5HongKong,Macao,andTaiwanresidentsandforeignnationalscategorizedbyeducationalattainment.3","2-5HongKong,Macao,andTaiwanresidentsandforeignnationalscategorizedbyeducationalattainment.4","2-5HongKong,Macao,andTaiwanresidentsandforeignnationalscategorizedbyeducationalattainment-Unit:Person"
Educational attainment,Total,Hong Kong Special Administrative Region residents,Macao Special Administrative Region residents,Taiwan residents,Foreign personnel
,,,,,
Total,1402108,363521,54006,155169,829412
Never attended school,124262,3313,628,916,119405
Preschool education,45293,10556,1910,4948,27879
Primary School,370446,94087,7828,13136,255395
Junior high school,193343,69544,10695,10411,102693
High School,163177,76522,13870,22382,50403
College (Associate Degree),105681,37593,6023,24626,37439
Bachelor's degree,291134,59828,11601,55515,164190
Master's Degree,86250,10303,1257,20048,54642
Doctorate degree holders,22522,1775,194,3187,17366
