"4-2EmployedPopulationbyRegion,Sex,andEducationalAttainment-Region-Gender","4-2EmployedPopulationbyRegion,Sex,andEducationalAttainment-Unit:Person-Total-Total","4-2EmployedPopulationbyRegion,Sex,andEducationalAttainment-Unit:Person-Neverattendedschool-Neverattendedschool","4-2EmployedPopulationbyRegion,Sex,andEducationalAttainment-Unit:Person-Preschooleducation-Preschooleducation","4-2EmployedPopulationbyRegion,Sex,andEducationalAttainment-Unit:Person-PrimarySchool-PrimarySchool","4-2EmployedPopulationbyRegion,Sex,andEducationalAttainment-Unit:Person-Juniorhighschool-Juniorhighschool","4-2EmployedPopulationbyRegion,Sex,andEducationalAttainment-Unit:Person-HighSchool-HighSchool","4-2EmployedPopulationbyRegion,Sex,andEducationalAttainment-Unit:Person-College(AssociateDegree)-College(AssociateDegree)","4-2EmployedPopulationbyRegion,Sex,andEducationalAttainment-Unit:Person-Bachelor'sdegree-Bachelor'sdegree","4-2EmployedPopulationbyRegion,Sex,andEducationalAttainment-Unit:Person-Master's-GraduateStudent","4-2EmployedPopulationbyRegion,Sex,andEducationalAttainment-Unit:Person-Doctorate-GraduateStudent"
,,,,,,,,,,
Whole Country,65631786.0,857606.0,37756.0,10694879.0,27988466.0,11069968.0,7625702.0,6538253.0,728485.0,90671.0
,,,,,,,,,,
Beijing,1015007.0,2181.0,144.0,31215.0,204177.0,156190.0,183429.0,323374.0,98612.0,15685.0
Tianjin,504665.0,1731.0,63.0,34809.0,165998.0,82642.0,81051.0,119220.0,17175.0,1976.0
Hebei,3332630.0,17388.0,898.0,437463.0,1753031.0,503590.0,351975.0,246952.0,19709.0,1624.0
Shanxi,1452063.0,5936.0,362.0,145283.0,664285.0,260185.0,205547.0,156174.0,12960.0,1331.0
Inner Mongolia,1049550.0,14595.0,170.0,166872.0,400135.0,160043.0,157152.0,138862.0,10927.0,794.0
,,,,,,,,,,
Liaoning,1799414.0,5087.0,260.0,216105.0,831515.0,256699.0,227071.0,236465.0,23670.0,2542.0
Jilin,1008886.0,5405.0,162.0,174956.0,424091.0,157503.0,108692.0,124273.0,12100.0,1704.0
Heilongjiang,1283401.0,5984.0,338.0,194452.0,594193.0,202278.0,141322.0,133101.0,10164.0,1569.0
,,,,,,,,,,
Shanghai,1264922.0,6126.0,228.0,71879.0,349960.0,208849.0,214130.0,325707.0,78485.0,9558.0
Jiangsu,4062749.0,37689.0,2684.0,496873.0,1616120.0,772551.0,577504.0,496630.0,55880.0,6818.0
Zhejiang,3642236.0,45157.0,2591.0,661770.0,1489995.0,592171.0,418005.0,389408.0,38795.0,4344.0
Anhui,2766699.0,67980.0,2330.0,518247.0,1213809.0,417107.0,298810.0,224607.0,21546.0,2263.0
Fujian,2052886.0,26559.0,2022.0,419445.0,839148.0,332545.0,211699.0,204016.0,15449.0,2003.0
Jiangxi,2260971.0,16837.0,1206.0,401576.0,1082151.0,388453.0,213078.0,144796.0,11485.0,1389.0
Shandong,4764872.0,76960.0,2649.0,722400.0,2160431.0,794894.0,534731.0,423380.0,44547.0,4880.0
,,,,,,,,,,
Henan,4225042.0,51204.0,2438.0,596166.0,2097189.0,757756.0,420675.0,271967.0,24794.0,2853.0
Hubei,3046668.0,24722.0,2142.0,457642.0,1316187.0,615574.0,343972.0,251164.0,30450.0,4815.0
Hunan,3041080.0,16040.0,2027.0,390679.0,1384807.0,683762.0,327005.0,215435.0,18549.0,2776.0
Guangdong,6203762.0,22584.0,2517.0,602284.0,2672787.0,1400961.0,806764.0,621429.0,67160.0,7276.0
