"7-13EnergyConsumptionper10,000yuanGDPbyRegion-EnergyConsumptionper10000yuanGDPbyRegion-Region-Region","7-13EnergyConsumptionper10,000yuanGDPbyRegion-EnergyConsumptionper10000yuanGDPbyRegion-Region-Region.1","7-13EnergyConsumptionper10,000yuanGDPbyRegion-EnergyConsumptionper10000yuanGDPbyRegion-2019-IncreasedorDecreasedComparedwith2018","7-13EnergyConsumptionper10,000yuanGDPbyRegion-EnergyConsumptionper10000yuanGDPbyRegion-2020-IncreasedorDecreasedComparedwith2019","7-13EnergyConsumptionper10,000yuanGDPbyRegion-EnergyConsumptionper10000yuanGDPbyRegion-2021-IncreasedorDecreasedComparedwith2020","7-13EnergyConsumptionper10,000yuanGDPbyRegion-EnergyConsumptionper10000yuanGDPbyRegion-2022-Comparedwith2021IncreasedorDecreased(±%)","7-13EnergyConsumptionper10,000yuanGDPbyRegion-EnergyConsumptionper10000yuanGDPbyRegion-2023-Comparedwith2022IncreasedorDecreased(±%)"
Region,Region,"Increased or  
Decreased  
Compared  
with 2018","Increased or  
Decreased  
Compared  
with 2019","Increased or  
Decreased  
Compared with 2020","Compared with 2021  
Increased or Decreased  
(±%)","Compared with 2022  
Increased or Decreased (±%)"
Region,Region,"Increased or  
Decreased  
Compared  
with 2018","Increased or  
Decreased  
Compared  
with 2019","Increased or  
Decreased  
Compared with 2020","Compared with 2021  
Increased or Decreased  
(±%)","Compared with 2022  
Increased or Decreased (±%)"
Region,Region,"Increased or  
Decreased  
Compared  
with 2018","Increased or  
Decreased  
Compared  
with 2019","Increased or  
Decreased  
Compared with 2020","Compared with 2021  
Increased or Decreased  
(±%)","Compared with 2022  
Increased or Decreased (±%)"
Region,Region,"Increased or  
Decreased  
Compared  
with 2018","Increased or  
Decreased  
Compared  
with 2019","Increased or  
Decreased  
Compared with 2020","Compared with 2021  
Increased or Decreased  
(±%)","Compared with 2022  
Increased or Decreased (±%)"
Region,Region,"Increased or  
Decreased  
Compared  
with 2018","Increased or  
Decreased  
Compared  
with 2019","Increased or  
Decreased  
Compared with 2020","Compared with 2021  
Increased or Decreased  
(±%)","Compared with 2022  
Increased or Decreased (±%)"
,,,,,,
Total of the Whole Province,Total,-3.09,-2.41,-6.2,-3.79,-6.69
Ji'nan City,Jinan,-7.38,-4.75,-8.09,-6.59,-5.44
Qingdao City,Qingdao,-6.6,-4.66,-4.09,-0.6,-3.45
Zibo City,Zibo,-5.83,-0.81,-6.94,-13.87,-1.33
Zaozhuang City,Zaozhuang,-2.43,-4.75,-6.52,-5.8,-3.22
Dongying City,Dongying,-3.73,-5.32,-5.64,-4.56,-8.04
Yantai City,Yantai,-3.16,4.53,-7.12,-4.09,-10.09
Weifang City,Weifang,3.49,-6.15,-6.44,-6.63,-2.97
Jining City,Jining,-4.39,-1.47,-7.12,-3.86,-5.99
Tai'an City,Tai'an,-4.62,-1.52,-6.2,-4.93,-4.62
Weihai City,Weihai,-7.03,-5.48,-4.07,-2.37,-9.28
Rizhao City,Rizhao,-2.57,-3.25,-9.38,-1.56,-3.39
Linyi City,Linyi,-4.3,-3.15,-5.13,-2.61,-6.63
Dezhou City,Dezhou,-5.54,4.41,-9.46,-12.74,-19.96
Liaocheng City,Liaocheng,8.48,-1.29,-7.02,-5.12,-6.01
Binzhou City,Binzhou,-9.25,-6.69,-8.81,-7.52,-11.19
Heze City,Heze,-9.07,-2.42,-12.39,-5.48,-5.35
,,,,,,
,,,,,,
Note: 1. This table uses equivalent standard coal conversion coefficients to calculate standard coal.,,,,,,
"2. In accordance with the requirements of documents such as the ""Comprehensive Work Plan for Energy Conservation and Emission Reduction during the 14th Five-Year Plan,"" since 2021, when calculating this indicator, energy used as raw materials, renewable energy, and",,,,,,
Translate the energy consumption data of single-item projects.,,,,,,
a) Data of standard coal equivalent is calculated on the basis of the consumed heat value equivalent.,,,,,,
"b) According to the Comprehensive Work Plan for Energy Conservation and Emission Reduction for the ""14th Five-Year Plan""",,,,,,
"Period, the involved energy consumption for the calculation of this index since 2021 has not included energy used as raw material,",,,,,,
renewable energy and energy consumption used for projects listed separately.,,,,,,
