SalaryGradeStructureTable-PositionLevel-PositionLevel,SalaryGradeStructureTable-PositionLevel-PositionLevel.1,SalaryGradeStructureTable-PositionName-PositionName,SalaryGradeStructureTable-SalaryGrade-SalaryLevel,SalaryGradeStructureTable-SalaryGrade-BasicSalary,SalaryGradeStructureTable-SalaryGrade-Position-basedsalary,"SalaryGradeStructureTable-SalaryGrade-Capacity,PerformanceSalary",SalaryGradeStructureTable-SalaryGrade-SkillAllowance,SalaryGradeStructureTable-SalaryGrade-Total,SalaryGradeStructureTable-Notes-Notes,SalaryGradeStructureTable-Notes-Notes.1
1,High-level executives,"General Manager  
Deputy General Manager  
Chief Assistant  
Chief Supervisor",①,1000,800.0,700,,2500,"1. The probationary period for the General Manager is at level ③～④ (3500-4300 RMB).  
2. The probationary period for the Deputy General Manager, Director, and Chief Assistant is at level ①～③ (2500-3500 RMB).  
4. The monthly standard output value is 5 million RMB or the performance standard score is 80 points, with the standard calculation value set at 1. The additional part of the output or performance is calculated based on the standard value, with overpayment being returned and underpayment being supplemented.  
5. The skill allowance ranges from 200 to 1000 RMB, mainly applicable to specially recruited technical or management talents. The specific amount is approved by the General Manager before disbursement.  
6. Salary adjustment timing:  
(1) A salary adjustment is conducted once after the probationary period or upon position adjustment;  
(2) The company conducts a unified salary adjustment once on April 20th of each year (applicable to employees who have worked for more than one year, including those with 10-12 months of service).  
7. The proportion of capacity and performance wages in an individual's total salary is between 20% and 40%.","The company implements a six-day, eight-hour work schedule. Overtime is handled in accordance with the ""Overtime Pay Management System."""
1,High-level executives,"General Manager  
Deputy General Manager  
Chief Assistant  
Chief Supervisor",②,1200,1000.0,900,,3100,"1. The probationary period for the General Manager is at level ③～④ (3500-4300 RMB).  
2. The probationary period for the Deputy General Manager, Director, and Chief Assistant is at level ①～③ (2500-3500 RMB).  
4. The monthly standard output value is 5 million RMB or the performance standard score is 80 points, with the standard calculation value set at 1. The additional part of the output or performance is calculated based on the standard value, with overpayment being returned and underpayment being supplemented.  
5. The skill allowance ranges from 200 to 1000 RMB, mainly applicable to specially recruited technical or management talents. The specific amount is approved by the General Manager before disbursement.  
6. Salary adjustment timing:  
(1) A salary adjustment is conducted once after the probationary period or upon position adjustment;  
(2) The company conducts a unified salary adjustment once on April 20th of each year (applicable to employees who have worked for more than one year, including those with 10-12 months of service).  
7. The proportion of capacity and performance wages in an individual's total salary is between 20% and 40%.","The company implements a six-day, eight-hour work schedule. Overtime is handled in accordance with the ""Overtime Pay Management System."""
1,High-level executives,"General Manager  
Deputy General Manager  
Chief Assistant  
Chief Supervisor",③,1300,1200.0,1000,,3500,"1. The probationary period for the General Manager is at level ③～④ (3500-4300 RMB).  
2. The probationary period for the Deputy General Manager, Director, and Chief Assistant is at level ①～③ (2500-3500 RMB).  
4. The monthly standard output value is 5 million RMB or the performance standard score is 80 points, with the standard calculation value set at 1. The additional part of the output or performance is calculated based on the standard value, with overpayment being returned and underpayment being supplemented.  
5. The skill allowance ranges from 200 to 1000 RMB, mainly applicable to specially recruited technical or management talents. The specific amount is approved by the General Manager before disbursement.  
6. Salary adjustment timing:  
(1) A salary adjustment is conducted once after the probationary period or upon position adjustment;  
(2) The company conducts a unified salary adjustment once on April 20th of each year (applicable to employees who have worked for more than one year, including those with 10-12 months of service).  
7. The proportion of capacity and performance wages in an individual's total salary is between 20% and 40%.","The company implements a six-day, eight-hour work schedule. Overtime is handled in accordance with the ""Overtime Pay Management System."""
1,High-level executives,"General Manager  
Deputy General Manager  
Chief Assistant  
Chief Supervisor",④,1500,1600.0,1200,,4300,"1. The probationary period for the General Manager is at level ③～④ (3500-4300 RMB).  
2. The probationary period for the Deputy General Manager, Director, and Chief Assistant is at level ①～③ (2500-3500 RMB).  
4. The monthly standard output value is 5 million RMB or the performance standard score is 80 points, with the standard calculation value set at 1. The additional part of the output or performance is calculated based on the standard value, with overpayment being returned and underpayment being supplemented.  
5. The skill allowance ranges from 200 to 1000 RMB, mainly applicable to specially recruited technical or management talents. The specific amount is approved by the General Manager before disbursement.  
6. Salary adjustment timing:  
(1) A salary adjustment is conducted once after the probationary period or upon position adjustment;  
(2) The company conducts a unified salary adjustment once on April 20th of each year (applicable to employees who have worked for more than one year, including those with 10-12 months of service).  
7. The proportion of capacity and performance wages in an individual's total salary is between 20% and 40%.","The company implements a six-day, eight-hour work schedule. Overtime is handled in accordance with the ""Overtime Pay Management System."""
1,High-level executives,"General Manager  
Deputy General Manager  
Chief Assistant  
Chief Supervisor",⑤,1600,1900.0,1500,,5000,"1. The probationary period for the General Manager is at level ③～④ (3500-4300 RMB).  
2. The probationary period for the Deputy General Manager, Director, and Chief Assistant is at level ①～③ (2500-3500 RMB).  
4. The monthly standard output value is 5 million RMB or the performance standard score is 80 points, with the standard calculation value set at 1. The additional part of the output or performance is calculated based on the standard value, with overpayment being returned and underpayment being supplemented.  
5. The skill allowance ranges from 200 to 1000 RMB, mainly applicable to specially recruited technical or management talents. The specific amount is approved by the General Manager before disbursement.  
6. Salary adjustment timing:  
(1) A salary adjustment is conducted once after the probationary period or upon position adjustment;  
(2) The company conducts a unified salary adjustment once on April 20th of each year (applicable to employees who have worked for more than one year, including those with 10-12 months of service).  
7. The proportion of capacity and performance wages in an individual's total salary is between 20% and 40%.","The company implements a six-day, eight-hour work schedule. Overtime is handled in accordance with the ""Overtime Pay Management System."""
1,High-level executives,"General Manager  
Deputy General Manager  
Chief Assistant  
Chief Supervisor",⑥,1800,2000.0,1800,,5600,"1. The probationary period for the General Manager is at level ③～④ (3500-4300 RMB).  
2. The probationary period for the Deputy General Manager, Director, and Chief Assistant is at level ①～③ (2500-3500 RMB).  
4. The monthly standard output value is 5 million RMB or the performance standard score is 80 points, with the standard calculation value set at 1. The additional part of the output or performance is calculated based on the standard value, with overpayment being returned and underpayment being supplemented.  
5. The skill allowance ranges from 200 to 1000 RMB, mainly applicable to specially recruited technical or management talents. The specific amount is approved by the General Manager before disbursement.  
6. Salary adjustment timing:  
(1) A salary adjustment is conducted once after the probationary period or upon position adjustment;  
(2) The company conducts a unified salary adjustment once on April 20th of each year (applicable to employees who have worked for more than one year, including those with 10-12 months of service).  
7. The proportion of capacity and performance wages in an individual's total salary is between 20% and 40%.","The company implements a six-day, eight-hour work schedule. Overtime is handled in accordance with the ""Overtime Pay Management System."""
1,High-level executives,"General Manager  
Deputy General Manager  
Chief Assistant  
Chief Supervisor",⑦,1900,2100.0,1900,,5900,"1. The probationary period for the General Manager is at level ③～④ (3500-4300 RMB).  
2. The probationary period for the Deputy General Manager, Director, and Chief Assistant is at level ①～③ (2500-3500 RMB).  
4. The monthly standard output value is 5 million RMB or the performance standard score is 80 points, with the standard calculation value set at 1. The additional part of the output or performance is calculated based on the standard value, with overpayment being returned and underpayment being supplemented.  
5. The skill allowance ranges from 200 to 1000 RMB, mainly applicable to specially recruited technical or management talents. The specific amount is approved by the General Manager before disbursement.  
6. Salary adjustment timing:  
(1) A salary adjustment is conducted once after the probationary period or upon position adjustment;  
(2) The company conducts a unified salary adjustment once on April 20th of each year (applicable to employees who have worked for more than one year, including those with 10-12 months of service).  
7. The proportion of capacity and performance wages in an individual's total salary is between 20% and 40%.","The company implements a six-day, eight-hour work schedule. Overtime is handled in accordance with the ""Overtime Pay Management System."""
1,High-level executives,"General Manager  
Deputy General Manager  
Chief Assistant  
Chief Supervisor",⑧,2000,2200.0,2000,,6200,"1. The probationary period for the General Manager is at level ③～④ (3500-4300 RMB).  
2. The probationary period for the Deputy General Manager, Director, and Chief Assistant is at level ①～③ (2500-3500 RMB).  
4. The monthly standard output value is 5 million RMB or the performance standard score is 80 points, with the standard calculation value set at 1. The additional part of the output or performance is calculated based on the standard value, with overpayment being returned and underpayment being supplemented.  
5. The skill allowance ranges from 200 to 1000 RMB, mainly applicable to specially recruited technical or management talents. The specific amount is approved by the General Manager before disbursement.  
6. Salary adjustment timing:  
(1) A salary adjustment is conducted once after the probationary period or upon position adjustment;  
(2) The company conducts a unified salary adjustment once on April 20th of each year (applicable to employees who have worked for more than one year, including those with 10-12 months of service).  
7. The proportion of capacity and performance wages in an individual's total salary is between 20% and 40%.","The company implements a six-day, eight-hour work schedule. Overtime is handled in accordance with the ""Overtime Pay Management System."""
1,High-level executives,"General Manager  
Deputy General Manager  
Chief Assistant  
Chief Supervisor",⑨,2100,2300.0,2100,,6500,"1. The probationary period for the General Manager is at level ③～④ (3500-4300 RMB).  
2. The probationary period for the Deputy General Manager, Director, and Chief Assistant is at level ①～③ (2500-3500 RMB).  
4. The monthly standard output value is 5 million RMB or the performance standard score is 80 points, with the standard calculation value set at 1. The additional part of the output or performance is calculated based on the standard value, with overpayment being returned and underpayment being supplemented.  
5. The skill allowance ranges from 200 to 1000 RMB, mainly applicable to specially recruited technical or management talents. The specific amount is approved by the General Manager before disbursement.  
6. Salary adjustment timing:  
(1) A salary adjustment is conducted once after the probationary period or upon position adjustment;  
(2) The company conducts a unified salary adjustment once on April 20th of each year (applicable to employees who have worked for more than one year, including those with 10-12 months of service).  
7. The proportion of capacity and performance wages in an individual's total salary is between 20% and 40%.","The company implements a six-day, eight-hour work schedule. Overtime is handled in accordance with the ""Overtime Pay Management System."""
1,High-level executives,"General Manager  
Deputy General Manager  
Chief Assistant  
Chief Supervisor",⑩,2200,2400.0,2200,,6800,"1. The probationary period for the General Manager is at level ③～④ (3500-4300 RMB).  
2. The probationary period for the Deputy General Manager, Director, and Chief Assistant is at level ①～③ (2500-3500 RMB).  
4. The monthly standard output value is 5 million RMB or the performance standard score is 80 points, with the standard calculation value set at 1. The additional part of the output or performance is calculated based on the standard value, with overpayment being returned and underpayment being supplemented.  
5. The skill allowance ranges from 200 to 1000 RMB, mainly applicable to specially recruited technical or management talents. The specific amount is approved by the General Manager before disbursement.  
6. Salary adjustment timing:  
(1) A salary adjustment is conducted once after the probationary period or upon position adjustment;  
(2) The company conducts a unified salary adjustment once on April 20th of each year (applicable to employees who have worked for more than one year, including those with 10-12 months of service).  
7. The proportion of capacity and performance wages in an individual's total salary is between 20% and 40%.","The company implements a six-day, eight-hour work schedule. Overtime is handled in accordance with the ""Overtime Pay Management System."""
