Month,Income Amount,Expenditure Amount,Date,Abstract,Income Amount.1,Expenditure Amount.1,Account Name,Counterparty Unit,Remarks
January,1200.0,1400.0,2021/11/1,*****,200.0,,WeChat,XXXXX,1
February,1400.0,1200.0,2021/11/2,*****,,120.0,Alipay,XXXXX,2
March,1600.0,1100.0,2021/11/3,*****,220.0,,Cash,XXXXX,3
January,2500.0,1500.0,2021/11/4,*****,,170.0,Bank of China,XXXXX,4
May,2300.0,1300.0,2021/11/5,*****,260.0,,China Construction Bank,XXXXX,5
Month,2700.0,1400.0,2021/11/6,*****,,320.0,Other,XXXXX,6
Month,1800.0,1700.0,2021/11/7,*****,140.0,,WeChat,XXXXX,7
March,1500.0,1900.0,2021/11/8,*****,,60.0,Alipay,XXXXX,8
Month,2100.0,2100.0,2021/11/9,*****,180.0,,Cash,XXXXX,9
0 Month,2600.0,2300.0,2021/11/10,*****,,70.0,Bank of China,XXXXX,10
January,1780.0,1020.0,2021/11/11,*****,150.0,,China Construction Bank,XXXXX,11
February,1100.0,120.0,2021/11/12,*****,,60.0,Other,XXXXX,12
Count,#########,#########,2021/11/13,*****,120.0,,WeChat,XXXXX,13
