Statistics,Annual Total,January,February,March,April,May,June,July,August,September,October,November,December
This Month's Sales Revenue,46975.6,8365.3,9842.9,6461.6,6428.4,3192.0,2117.4,2600.0,3268.0,2300.0,2400.0,0.0,0.0
This Month's Sales Tax,6508.4,1172.0,1385.4,886.2,893.2,367.2,243.6,299.1,376.0,609.7,276.1,0.0,0.0
This month's deductible input tax amount,2510.3,256.2,142.5,204.8,0.0,465.0,171.4,0.0,433.6,463.6,373.2,0.0,0.0
Input Tax Credit Reversal for This Month,218.0,118.0,,,,100.0,,,,,,,
"Exempt, Offset, and Refund Tax Amount",7326.0,111.0,222.0,333.0,444.0,555.0,666.0,777.0,888.0,999.0,666.0,777.0,888.0
Value-added Tax Payable,4216.1,1033.7,1242.8,681.3,893.2,2.3,72.2,299.1,-57.6,146.1,-97.1,0.0,0.0
Value-Added Tax Burden,24.57%,13.68%,14.88%,15.70%,20.80%,17.46%,34.86%,41.39%,25.41%,49.79%,23.70%,,
City Construction and Maintenance Tax Payable,577.1,57.2,73.2,50.7,66.9,27.9,36.9,53.8,41.5,57.3,28.4,38.9,44.4
Education Surcharge Payable,346.3,34.3,43.9,30.4,40.1,16.7,22.1,32.3,24.9,34.4,17.1,23.3,26.6
Levy of Local Education Surcharge Payable,230.8,22.9,29.3,20.3,26.7,11.1,14.8,21.5,16.6,22.9,11.4,15.5,17.8
