3-3  GNI per Capita,3-3  GNI per Capita.1,3-3  GNI per Capita.2,3-3  GNI per Capita.3,3-3  GNI per Capita.4,3-3  GNI per Capita.5,3-3  GNI per Capita.6,3-3  GNI per Capita.7
GNI per Capita,GNI per Capita ,GNI per Capita ,GNI per Capita ,GNI per Capita ,GNI per Capita ,GNI per Capita ,GNI per Capita 
,,,,,,,
Source: World Bank WDI Database.,Source: World Bank WDI Database.,,,,,,
Source: World Bank WDI Database.,Source: World Bank WDI Database.,,,,,,
Unit: Dollar,(USD),(USD),(USD),(USD),(USD),(USD),(USD)
Countries and Regions,Country or Area,1990,2000,2005,2009,2010,2011
,,,,,,,
World,World,4080,5278,7104,8674,9067,9491
High-income countries,High Income,18375,25324,34000,37800,38765,39783
OECD High-Income Countries,High Income: OECD,19059,26218,35292,39150,40142,41144
Non-OECD High-Income Countries,High Income: nonOECD,8538,13895,18474,22890,23782,25372
Middle-income countries,Middle Income,892,1252,1921,3349,3722,4125
Lower-middle-income countries,Lower Middle Income,520,575,897,1462,1596,1760
Upper-middle-income countries,Upper Middle Income,1207,1881,2912,5233,5865,6530
Lower-middle-income countries,Low and Middle Income,820,1127,1712,2959,3283,3631
East Asia and Pacific,East Asia and Pacific,425,902,1617,3166,3670,4243
Europe and Central Asia,Europe and Central Asia,,1780,3711,6851,7260,7610
Latin America and the Caribbean,Latin America and Caribbean,2254,3817,4415,7023,7821,8544
Middle East and North African Countries,Middle East and North Africa,1296,1645,2195,3679,3869,
South Asia,South Asia,377,442,692,1069,1167,1299
Sub-Saharan Africa,Sub-Saharan Africa,587,491,768,1132,1178,1255
Low-income countries,Low Income,287,267,343,496,534,567
Least developed regions,Least Developed Countries,310,280,405,676,720,754
Heavily Indebted Poor Countries,Heavily Indebted Poor Countries,358,291,401,634,668,694
China,China,330,930,1740,3620,4240,4940
"Hong Kong, China","Hong Kong, China",12660,26570,28150,31410,32780,35160
"Macau, China","Macao, China",8530,14640,23410,36000,45460,
Afghanistan,Afghanistan,,,230,370,410,
Albania,Albania,680,1170,2580,3970,3970,3980
Algeria,Algeria,2420,1600,2720,4470,4390,4470
Angola,Angola,740,420,1270,3880,3960,4060
Antigua and Barbuda,Antigua and Barbuda,5710,8490,12000,13500,12450,12060
Argentina,Argentina,3180,7460,4480,7580,8620,9740
Armenia,Armenia,,660,1470,3050,3200,3360
Australia,Australia,17420,21260,30440,43860,46200,
Austria,Austria,20080,26000,37210,46630,46920,48300
Azerbaijan,Azerbaijan,,610,1270,4800,5380,5290
Bahamas,Bahamas,12000,20350,24410,23420,21970,
Bahrain,Bahrain,7260,10940,17400,15880,15920,
Bangladesh,Bangladesh,290,380,480,640,700,770
Barbados,Barbados,6570,9090,11000,12660,,
Belarus,Belarus,,1380,2780,5590,5990,5830
Belgium,Belgium,18960,25430,36610,44700,45780,46160
Belize,Belize,2210,3110,3580,3820,3640,3690
Benin,Benin,360,370,570,780,780,780
Bhutan,Bhutan,580,720,1070,1710,1870,2070
Bolivia,Bolivia,740,1000,1030,1640,1810,2040
Bosnia and Herzegovina,Bosnia and Herzegovinian,,1510,3020,4760,4740,4780
