HomeRenovationBudgetTemplate-Budget,HomeRenovationBudgetTemplate-ActualTotal,HomeRenovationBudgetTemplate-Number,HomeRenovationBudgetTemplate-BudgetCategory,HomeRenovationBudgetTemplate-RenovationSteps(NumbersRepresenttheOrder),HomeRenovationBudgetTemplate-UnitPrice(Yuan),HomeRenovationBudgetTemplate-Discount,HomeRenovationBudgetTemplate-DiscountedPrice(Yuan),HomeRenovationBudgetTemplate-Quantity,HomeRenovationBudgetTemplate-Unit,HomeRenovationBudgetTemplate-Subtotal(Yuan)
Budget,Actual Total,Number,Budget Category,Renovation Steps (Numbers Represent the Order),"Unit Price
(Yuan)",Discount,"Discounted Price
(Yuan)",Quantity,Unit,"Subtotal
(Yuan)"
"￥10,000",￥0,1,Basic renovation labor force,"1 Handle the commencement procedures (gas modification)  
2 Self-measurement 3 Preliminary design 4 Main structure demolition and renovation",,,,,,
,,Main Structure Demolition and Renovation,Interior Design,Preliminary Design,0,1,0,100,item,0
,,Main Structure Demolition and Renovation,Enclosed Balcony,,0,1,0,1,item,0
,,Main Structure Demolition and Renovation,Mason,"Wall building (living room, balcony), tile laying, stone processing, bathroom waterproofing",0,1,0,1,item,0
,,Main Structure Demolition and Renovation,Carpentry,Balcony Wall Cabinet,0,1,0,1,item,0
,,Main Structure Demolition and Renovation,Oil Worker,Balcony Wall Cabinet,0,1,0,1,item,0
,,Main Structure Demolition and Renovation,Water and electricity,Water and electricity renovation,0,1,0,1,item,0
,,Main Structure Demolition and Renovation,Big White,,0,1,0,1,item,0
,,Main Structure Demolition and Renovation,Gas modification,,,1,0,1,item,0
,,Main Structure Demolition and Renovation,Subtotal,,,,,,,0
"￥5,000","￥3,100",2,Sliding Door for Wooden Door,5 Manufacturer's on-site measurement,Brand: ××× Door,Brand: ××× Door,Brand: ××× Door,Brand: ××× Door,Brand: ××× Door,Brand: ××× Door
,,Door Manufacturer Measurement,Wooden door,"3 bedroom doors (including door frames, hinges, and locks)",0,1,0,3,Boring,0
,,Door Manufacturer Measurement,Glass door,Two bathroom doors,800,1,800,2,Boring,1600
