1-8HouseholdSizebyRegion-Region-Region,"1-8HouseholdSizebyRegion-Unit:household,%-Householdfamilies-NumberofHouseholds","1-8HouseholdSizebyRegion-Unit:household,%-One-personhousehold-Numberofhouseholds","1-8HouseholdSizebyRegion-Unit:household,%-One-personhousehold-proportion","1-8HouseholdSizebyRegion-Unit:household,%-Two-personhousehold-Numberofhouseholds","1-8HouseholdSizebyRegion-Unit:household,%-Two-personhousehold-proportion","1-8HouseholdSizebyRegion-Unit:household,%-Three-personhouseholds-Numberofhouseholds","1-8HouseholdSizebyRegion-Unit:household,%-Three-personhouseholds-proportion","1-8HouseholdSizebyRegion-Unit:household,%-Four-personhouseholds-Numberofhouseholds","1-8HouseholdSizebyRegion-Unit:household,%-Four-personhouseholds-proportion","1-8HouseholdSizebyRegion-Unit:household,%-Five-personhouseholds-Numberofhouseholds","1-8HouseholdSizebyRegion-Unit:household,%-Five-personhouseholds-proportion","1-8HouseholdSizebyRegion-Unit:household,%-Six-personhouseholds-Numberofhouseholds","1-8HouseholdSizebyRegion-Unit:household,%-Six-personhouseholds-proportion","1-8HouseholdSizebyRegion-Unit:household,%-Seven-personhouseholds-Numberofhouseholds","1-8HouseholdSizebyRegion-Unit:household,%-Seven-personhouseholds-proportion","1-8HouseholdSizebyRegion-Unit:household,%-Eight-personhouseholds-Numberofhouseholds","1-8HouseholdSizebyRegion-Unit:household,%-Eight-personhouseholds-proportion","1-8HouseholdSizebyRegion-Unit:household,%-Nine-personhouseholds-Numberofhouseholds","1-8HouseholdSizebyRegion-Unit:household,%-Nine-personhouseholds-proportion","1-8HouseholdSizebyRegion-Unit:household,%-Householdswith10ormorepeople-Numberofhouseholds","1-8HouseholdSizebyRegion-Unit:household,%-Householdswith10ormorepeople-proportion"
,,,,,,,,,,,,,,,,,,,,,
Whole Country,494157423.0,125490007.0,25.39,146690059.0,29.68,103700982.0,20.99,65100986.0,13.17,30513352.0,6.17,15125667.0,3.06,4589308.0,0.93,1557638.0,0.32,655060.0,0.13,734364.0,0.15
,,,,,,,,,,,,,,,,,,,,,
Beijing,8230792.0,2463325.0,29.93,2727924.0,33.14,1787020.0,21.71,736163.0,8.94,362811.0,4.41,122068.0,1.48,20084.0,0.24,6721.0,0.08,2426.0,0.03,2250.0,0.03
Tianjin,4867116.0,1167393.0,23.99,1727332.0,35.49,1209181.0,24.84,511932.0,10.52,167772.0,3.45,65668.0,1.35,11920.0,0.24,3353.0,0.07,1165.0,0.02,1400.0,0.03
Hebei,25429609.0,5082767.0,19.99,7970304.0,31.34,5515397.0,21.69,3942333.0,15.5,1612428.0,6.34,921110.0,3.62,262348.0,1.03,71919.0,0.28,25660.0,0.1,25343.0,0.1
Shanxi,12746142.0,3057920.0,23.99,4052452.0,31.79,2966829.0,23.28,1766944.0,13.86,562979.0,4.42,253691.0,1.99,54906.0,0.43,16458.0,0.13,6177.0,0.05,7786.0,0.06
Inner Mongolia,9483957.0,2209731.0,23.3,3565544.0,37.6,2389562.0,25.2,950775.0,10.03,257424.0,2.71,91271.0,0.96,14473.0,0.15,3070.0,0.03,955.0,0.01,1152.0,0.01
,,,,,,,,,,,,,,,,,,,,,
Liaoning,17467111.0,4647274.0,26.61,6444633.0,36.9,4180433.0,23.93,1438393.0,8.23,535394.0,3.07,175193.0,1.0,32067.0,0.18,7723.0,0.04,2508.0,0.01,3493.0,0.02
