Indicator,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
Life Insurance Payout Amount YoY Growth (%),128.74,23.54,-3.52,-19.58,27.5,15.69,49.71,21.09,30.67,29.11,0.61,4.07
Health insurance premium income year-on-year growth (%),2.39,52.4,-1.98,-0.07,20.6,24.73,30.22,41.27,51.87,67.71,8.58,24.12
"Insurance Premium Income (10,000 yuan)",70357600.0,97841000.0,111373000.0,129742100.0,143392500.0,154879300.0,172222400.0,202348100.0,242825200.0,309591000.0,365810100.0,380166200.0
Life Insurance Payout Amount (100 million yuan),1064.45,1314.98,1268.74,1020.35,1300.93,1505.01,2253.13,2728.43,3565.17,4602.95,4574.89,4388.52
Accident Insurance Premium Income Year-over-Year Growth (%),17.43,7.08,13.01,19.7,21.34,15.58,19.46,17.61,17.14,17.99,20.19,19.33
Property Insurance Premium Income Growth (%),32.6,16.97,23.07,35.46,18.54,15.44,16.53,15.95,10.99,9.12,12.72,9.51
Health Insurance Claims and Payouts Amount Year-over-Year Growth (%),-6.54,49.99,23.82,6.81,55.16,17.1,37.88,38.92,33.58,31.17,29.38,34.72
Property Insurance Claims Amount Year-over-Year Growth (%),28.26,38.99,11.1,11.44,24.54,28.78,22.11,10.15,10.72,12.68,7.64,15.92
Personal Accident Insurance Claims Amount (100 million yuan),63.43,62.58,63.92,71.4,81.84,96.8,109.51,128.42,151.84,183.01,223.69,267.7
Property Insurance Claims Amount (Billion Yuan),1020.47,1418.33,1575.78,1756.03,2186.93,2816.33,3439.14,3788.21,4194.17,4726.18,5087.45,5897.32
Property insurance premium income (billion yuan),1997.74,2336.71,2875.83,3895.64,4617.82,5330.93,6212.26,7203.38,7994.97,8724.5,9834.66,10770.08
Accident Insurance Claims Amount Year-over-Year Growth (%),22.84,-1.35,2.16,11.7,14.62,18.28,13.13,17.27,18.24,20.53,22.23,19.68
Insurance Claims and Payouts Growth (%),57.56,31.16,5.19,-1.47,27.59,20.03,31.73,16.15,20.2,21.2,6.35,9.99
Health Insurance Claims and Payout Amount (100 million yuan),116.86,175.28,217.03,231.8,359.67,298.17,411.13,571.16,762.97,1000.75,1294.77,1744.34
Premium income year-on-year growth (%),25.0,39.06,13.83,16.49,10.52,8.01,11.2,17.49,20.0,27.5,18.16,3.92
"Insurance Claims and Benefits Paid (10,000 Yuan)",22652100.0,29711700.0,31254800.0,30795800.0,39293700.0,47163200.0,62129000.0,72162100.0,86741400.0,105128900.0,111807900.0,122978700.0
