Unit,Total number of candidates,First-tier admission number,Ratio,Undergraduate Admission Number,Ratio.1,Physics candidates number,First-tier Admission Line Count (475),Ratio.2,Undergraduate Admission Number (369),Ratio.3,History candidates number,"First-tier Admission
Quota (502)",Ratio.4,Undergraduate Admission Number (412),Ratio.5
Xiamen University Affiliated High School,435,360,82.76,430,98.85,313,274,87.54,311,99.36,122,86,70.49,119,97.54
Zhangzhou Liren School,786,610,77.61,773,98.35,551,469,85.12,547,99.27,235,141,60.0,226,96.17
Zhangzhou Experimental Middle School,527,403,76.47,507,96.2,404,331,81.93,394,97.52,123,72,58.54,113,91.87
Zhangzhou No.1 Middle School,775,527,68.0,740,95.48,570,401,70.35,547,95.96,205,126,61.46,193,94.15
Zhangpu No.1 High School,803,546,68.0,781,97.26,492,370,75.2,483,98.17,311,176,56.59,298,95.82
Zhangzhou Zhengxing School,732,441,60.25,709,96.86,500,338,67.6,494,98.8,232,103,44.4,215,92.67
Shi Shang Zhangzhou Campus,327,188,57.49,318,97.25,203,140,68.97,202,99.51,124,48,38.71,116,93.55
Longhai No.1 High School,705,349,49.5,657,93.19,485,269,55.46,460,94.85,220,80,36.36,197,89.55
Zhangzhou Foreign Language School,430,167,38.84,356,82.79,321,150,46.73,284,88.47,109,17,15.6,72,66.06
Pinghe Zhengxing School,797,295,37.01,663,83.19,471,224,47.56,409,86.84,326,71,21.78,254,77.91
Yunxiao No.1 High School,709,245,34.56,639,90.13,493,213,43.2,469,95.13,216,32,14.81,170,78.7
Zhangzhou Liren School,286,87,30.42,213,74.48,207,74,35.75,164,79.23,79,13,16.46,49,62.03
Zhao'an No.1 High School,705,161,22.84,545,77.3,455,133,29.23,393,86.37,250,28,11.2,152,60.8
Liren High School Affiliated Center,603,132,21.89,464,76.95,467,117,25.05,380,81.37,136,15,11.03,84,61.76
Nanjing No.1 High School,631,119,18.86,403,63.87,363,101,27.82,274,75.48,268,18,6.72,129,48.13
Dongshan No.2 High School,326,49,15.03,142,43.56,169,37,21.89,91,53.85,157,12,7.64,51,32.48
Zhangpu Liren School,627,93,14.83,432,68.9,329,73,22.19,280,85.11,298,20,6.71,152,51.01
Zhangzhou Lixing Examination Tutorial School,434,61,14.06,161,37.1,216,56,25.93,136,62.96,218,5,2.29,25,11.47
Dongshan No.1 High School,480,65,13.54,261,54.38,283,56,19.79,188,66.43,197,9,4.57,73,37.06
Pinghe No.1 High School,789,104,13.18,431,54.63,389,88,22.62,259,66.58,400,16,4.0,172,43.0
Zhangzhou No.3 Middle School,387,51,13.18,288,74.42,239,43,17.99,203,84.94,148,8,5.41,85,57.43
Changtai No.1 High School,440,49,11.14,248,56.36,321,43,13.4,194,60.44,119,6,5.04,54,45.38
Zhengxing High School Tutoring Center,395,39,9.87,208,52.66,197,32,16.24,145,73.6,198,7,3.54,63,31.82
Yunxiao Liren School,277,27,9.75,190,68.59,208,25,12.02,164,78.85,69,2,2.9,26,37.68
Tai Shang Jiaomei Middle School,332,28,8.43,156,46.99,205,23,11.22,119,58.05,127,5,3.94,37,29.13
Zhangzhou Kangqiao School,432,28,6.48,170,39.35,266,25,9.4,126,47.37,166,3,1.81,44,26.51
Huaan No.1 High School,309,19,6.15,113,36.57,208,18,8.65,89,42.79,101,1,0.99,24,23.76
Longhai No.2 High School,474,29,6.12,330,69.62,304,24,7.89,236,77.63,170,5,2.94,94,55.29
Zhangpu Daozhou High School,446,19,4.26,292,65.47,265,16,6.04,203,76.6,181,3,1.66,89,49.17
Hain School,121,5,4.13,56,46.28,52,4,7.69,30,57.69,69,1,1.45,26,37.68
Longwen High School,330,12,3.64,107,32.42,254,12,4.72,94,37.01,76,0,0.0,13,17.11
Changtai No.2 High School,151,5,3.31,53,35.1,87,5,5.75,39,44.83,64,0,0.0,14,21.88
Zhangzhou No.1 Foreign Languages School,153,5,3.27,79,51.63,84,4,4.76,54,64.29,69,1,1.45,25,36.23
