Region,1999.0,2000.0,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Beijing,0.15,1.83,75.0,36.9,56.6,53.4,,,,,,46.48,50.42,42.16,34.91
Tianjin,0.0,0.58,1.67,6.2,,,,45.9,68.86,70.32,60.45,43.96,44.04,55.7,41.13
Hebei,8.97,15.41,50.78,35.47,50.7,35.9,49.0,43.9,32.45,27.94,38.57,37.08,42.71,19.72,28.94
Shanxi,4.01,3.23,10.39,5.83,13.5,8.7,11.8,18.4,20.76,16.33,33.44,16.61,25.82,26.75,25.85
Inner Mongolia,1.57,6.23,7.67,2.36,2.6,3.8,13.3,10.5,34.54,43.69,31.74,14.12,27.92,17.94,16.55
Liaoning,10.71,22.63,11.24,21.24,36.6,38.7,71.9,77.2,72.0,226.65,83.78,128.2,185.73,194.81,105.36
Jilin,17.87,12.17,34.23,12.66,9.8,13.4,23.1,49.4,56.53,67.59,28.66,59.0,75.27,55.99,40.26
Heilongjiang,3.36,7.68,3.5,7.89,19.5,11.7,21.0,16.0,18.34,37.09,40.67,28.3,47.73,39.65,19.87
Shanghai,44.0,0.0,,,88.1,61.0,97.2,92.2,,,,,,42.04,35.51
Jiangsu,22.39,37.59,136.24,266.83,310.6,193.7,117.4,121.4,158.77,107.08,159.57,195.45,182.85,245.9,175.17
Zhejiang,32.48,51.28,139.5,386.01,209.5,96.1,155.3,135.0,102.15,102.08,104.7,107.36,88.87,115.24,140.47
Anhui,8.29,18.92,15.42,27.05,52.9,28.3,98.3,47.2,61.62,84.53,106.18,109.3,117.53,128.62,137.36
Fujian,11.89,14.2,8.13,18.64,66.0,28.0,31.8,46.4,29.16,11.43,17.83,23.79,51.7,72.49,86.86
Jiangxi,3.95,5.97,14.85,82.33,96.4,82.1,41.7,19.7,24.07,17.87,25.24,20.97,57.51,65.85,97.6
Shandong,26.28,36.61,67.83,92.65,111.4,208.5,157.1,136.6,140.93,93.92,83.41,98.71,141.64,150.7,100.08
Henan,18.93,26.91,41.39,45.77,97.4,26.9,37.0,95.1,31.53,31.95,30.32,67.01,40.99,44.66,41.38
Hubei,20.8,14.14,20.61,210.51,23.5,39.1,20.3,36.0,25.88,21.2,53.78,79.94,74.39,34.28,108.29
Hunan,22.35,61.45,64.58,47.87,60.0,202.5,30.3,40.5,29.08,30.93,39.34,48.92,84.63,69.07,64.39
Guangdong,12.18,10.62,24.92,49.83,84.2,288.9,105.1,132.8,85.91,37.83,63.63,95.74,73.36,286.26,84.71
Guangxi,4.43,7.56,11.27,15.34,16.6,42.7,28.7,31.2,21.47,40.47,57.34,101.44,121.83,88.94,102.04
Hainan,4.65,0.23,1.1,2.0,2.1,0.1,,,,0.11,,0.1,14.73,11.17,5.05
Chongqing,3.94,16.21,17.33,27.44,51.5,31.0,34.9,46.0,53.06,56.0,22.87,48.02,54.49,75.33,81.54
Sichuan,13.12,26.91,54.44,42.27,43.1,21.8,30.2,45.5,45.76,64.48,92.35,86.33,72.36,71.11,75.87
Guizhou,8.26,7.84,26.27,10.8,11.1,3.5,7.7,2.0,4.81,2.15,3.79,5.26,6.58,17.07,12.47
Yunnan,15.53,11.74,17.26,1386.79,16.5,21.0,16.2,57.3,45.39,95.53,240.35,85.23,61.16,62.48,66.45
Tibet,0.0,0.0,2.2,,0.4,0.4,0.7,3.0,,,,2.94,3.1,,
Shaanxi,4.86,16.65,14.48,11.25,30.7,24.2,13.3,8.5,22.14,27.47,44.93,41.52,33.83,28.68,21.53
Gansu,4.67,4.05,920.96,6.37,7.0,7.5,18.1,10.8,7.18,13.61,20.08,23.83,33.62,52.88,36.26
Qinghai,0.22,3.0,2.03,0.8,1.0,8.0,1.3,1.0,1.2,0.08,0.67,,0.76,2.89,7.11
Ningxia,4.24,3.19,2.4,4.97,22.7,24.9,19.6,21.5,12.26,9.59,13.17,8.3,10.47,10.69,6.79
Xinjiang,6.37,2.42,14.5,15.79,13.7,7.0,11.5,5.6,10.18,6.66,7.83,17.65,15.68,32.41,31.77
