Unnamed: 0,Engineering Cost Accounting Table,Engineering Cost Accounting Table.1,Engineering Cost Accounting Table.2,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Basic Information,Basic Information,Basic Information,Basic Information,Project Expense Expenditure,Project Expense Expenditure,Project Expense Expenditure,Project Expense Expenditure,Project Expense Expenditure,Project Expense Expenditure,Project Expense Expenditure,Project Expense Expenditure,Project Gross Profit Margin,,,,,,,,,Current Year,2023,
Serial Number,Project Name,Start Date,Contract Amount,Material Cost,Equipment Cost,Transportation Cost,Labor Cost,Processing Fee,Travel expenses,Other Expenses,Total Cost,Project Gross Profit Margin,,,,,,,,,Month,Number of Contracts,Contract Amount
1,Project 1,2023-01-01 00:00:00,2000,70,400,200,120,200,100,100,,,,,,,,,,,1,,
2,Project 2,2023-02-01 00:00:00,1500,60,500,250,110,190,150,130,,,,,,,,,,,2,,
3,Project 3,2023-03-01 00:00:00,1700,70,600,100,150,240,200,140,,,,,,,,,,,3,,
4,Project 4,2023-04-01 00:00:00,2100,90,270,120,80,200,170,125,,,,,,,,,,,4,,
5,Project 5,2023-05-01 00:00:00,2300,180,190,170,170,180,200,135,,,,,,,,,,,5,,
6,Project 6,2023-06-01 00:00:00,2500,340,120,100,200,230,220,145,,,,,,,,,,,6,,
7,Project 7,2023-07-01 00:00:00,1900,240,140,120,190,190,240,155,,,,,,,,,,,7,,
8,Project 8,2023-08-01 00:00:00,1100,350,100,110,200,150,260,142,,,,,,,,,,,8,,
9,Project 9,2023-09-01 00:00:00,1400,170,180,100,170,220,150,135,,,,,,,,,,,9,,
10,Project 10,2023-10-01 00:00:00,1600,150,220,150,140,170,150,130,,,,,,,,,,,10,,
11,Project 11,2023-11-01 00:00:00,1900,120,105,140,120,120,170,120,,,,,,Project Name,Project 1,,,,11,,
12,Project 12,2023-12-01 00:00:00,2000,200,115,200,110,200,150,125,,,,,,Start Date,,,,,12,,
13,Project 13,2023-12-02 00:00:00,2001,201,116,201,111,201,151,126,,,,,,Contract Amount,,,,,,,
14,Project 14,2023-12-03 00:00:00,2002,202,117,202,112,202,152,127,,,,,,Material Cost,,,,,Project Name,Project Cost,
15,Project 15,2023-12-04 00:00:00,2003,203,118,203,113,203,153,128,,,,,,Equipment Cost,,,,,Material Cost,,
16,Project 16,2023-12-05 00:00:00,2004,204,119,204,114,204,154,129,,,,,,Transportation Cost,,,,,Equipment Cost,,
17,Project 17,2023-12-06 00:00:00,2005,205,120,205,115,205,155,130,,,,,,Labor Cost,,,,,Transportation Cost,,
18,Project 18,2023-12-07 00:00:00,2006,206,121,206,116,206,156,131,,,,,,Processing Fee,,,,,Labor Cost,,
19,Project 19,2023-12-08 00:00:00,2007,207,122,207,117,207,157,132,,,,,,Travel expenses,,,,,Processing Fee,,
20,Project 20,2023-12-09 00:00:00,2008,208,123,208,118,208,158,133,,,,,,Other Expenses,,,,,Travel expenses,,
21,Project 21,2023-12-10 00:00:00,2009,209,124,209,119,209,159,134,,,,,,Total Cost,,,,,Other Expenses,,
22,Project 22,2023-12-11 00:00:00,2010,210,125,210,120,210,160,135,,,,,,Project Gross Profit Margin,,,,,,,
23,Project 23,2023-12-12 00:00:00,2011,211,126,211,121,211,161,136,,,,,,,,,,,Project Name,Project Cost,
24,Project 24,2023-12-13 00:00:00,2012,212,127,212,122,212,162,137,,,,,,,,,,,,,
25,Project 25,2023-12-14 00:00:00,2013,213,128,213,123,213,163,138,,,,,,,,,,,,,
26,Project 26,2023-12-15 00:00:00,2014,214,129,214,124,214,164,139,,,,,,,,,,,,,
