8-4HousingConditionsofFamilyHouseholdsintheCountryClassifiedbytheEducationalAttainmentoftheHouseholder-Educationalattainment-Educationalattainment-Educationalattainment,8-4HousingConditionsofFamilyHouseholdsintheCountryClassifiedbytheEducationalAttainmentoftheHouseholder-NumberofHouseholds-(households),8-4HousingConditionsofFamilyHouseholdsintheCountryClassifiedbytheEducationalAttainmentoftheHouseholder-Numberofpeople-(persons),8-4HousingConditionsofFamilyHouseholdsintheCountryClassifiedbytheEducationalAttainmentoftheHouseholder-Averageperhousehold-Numberofroomsperhouse-(roomsperhousehold),8-4HousingConditionsofFamilyHouseholdsintheCountryClassifiedbytheEducationalAttainmentoftheHouseholder-Percapitahousing-Constructionarea-(squaremeters/person),8-4HousingConditionsofFamilyHouseholdsintheCountryClassifiedbytheEducationalAttainmentoftheHouseholder-Percapitahousing-RoomsNumberofrooms-(interiorrooms/person)
,,,,,
Total,419809328.0,1151776859.0,3.14,39.9,1.14
Never attended school,12377630.0,28405715.0,3.09,43.41,1.35
Preschool education,637164.0,1457923.0,3.15,46.31,1.38
Primary School,96963202.0,267323037.0,3.44,41.87,1.25
Junior high school,171835937.0,494486747.0,3.3,39.26,1.15
High School,67098481.0,177757226.0,2.84,38.67,1.07
College (Associate Degree),36650447.0,93787064.0,2.61,38.9,1.02
Bachelor's degree,30225815.0,78017481.0,2.61,39.92,1.01
Master's Degree,3527026.0,9220585.0,2.55,39.7,0.98
Doctorate degree holders,493626.0,1321081.0,2.65,40.08,0.99
,,,,,
,,,,,
Note: The data in this table are for family households residing in ordinary residential housing.,,,,,
