LogisticsCompanyInformation-Name,LogisticsCompanyInformation-Route,LogisticsCompanyInformation-Address,LogisticsCompanyInformation-ContactPerson,LogisticsCompanyInformation-PhoneNumber
,,,,
Jiayi Logistics,"Shandong Jinan, Jiangsu, Zhejiang, Tianjin, Hebei","Baiyun District, Zengcha Road, Baiyun Tongda Logistics South Yard A18-19",Li Yonggang,020-62658091
Guangli Logistics,"Hangzhou, Wenzhou, Ningbo, Kunshan, Shanghai","No. 2 Guangli Avenue, Zengcha Road, Baiyun District",Wang Ruiqin,020-86256188
Nandian Logistics,"Beijing, Tianjin, Shanghai, Hangzhou, Wuhan","Haiyuan Group HuaSheng United Transportation Center, Guangqing Road Chalong Section, Stalls 122-123",Guo Yongzhou,020-86442877
FFD Logistics,"Shandong, Zhejiang, Jiangxi, Hefei",Xinshi HENAN Freight Market Building 172,,020-36300582
"Yichang Hongtai Transportation Co., Ltd.",Hubei Yichang,"Shenzhou Freight Yard, No. 6, No. 1 Shipan West Road, Shiying Town, Baiyun District",Mr. Liu,020-61160218
Guoquan Logistics,All over the country,Ba Yun District Sha Tai North Road Da Yuan Lin An Logistics Park No. 509-511,,020-87278986/13751893522
Changtong Logistics,Henan Express Line,"New Market Freight Market, 19-20 Stalls, Opposite Xinshi Passenger and Freight Station",,020-86295602
Guangzhou Xudong Express Service Company,"Shandong, Jiaozhou, Jimo, Weihai, Weifang, Zibo, Jinan","No. 102-103, Building 12, Taibang Logistics Park, Dayuan Village, Shatai North Road, Baiyun District",Wu Zhanshu,020-62131169 /13822275685
Guangning Logistics,"Jiangsu, Anhui, Nanjing","No. 522 Zengcha Road, Xicheng Freight Center, Stall 35 (at Guangfu Expressway Guangqing Exit)",Tang Yingzi,020-81794993/13828490399
天地华宇物流 = Sinotrans Logistics,All over the country,"Guanghua Road Tong Freight Market Building E, Stall 11",,020-86299336
Wansheng Logistics,Henan Xinyang,Shatoo North Road Lin'an Parking Lot Building A1 No. 25,,020-87233079
Yuanzheng Logistics,Inner Mongolia,Baiyun District Taihe Town Dayuan Fenghe Logistics Market B1000 stall,Mr. Peng,020-86400058/13602432468
Yunda Logistics,Guangxi Nanning,"Luochongwei Passenger Transport Center, Heyuntong Freight Market No. 28",Mr. Feng,020-81984126
Guangdong Post Logistics Mingzhu Third Business Department,"Lanzhou, Qinghai, Ningxia","No. 195 Zhanqian Road, Bolton Freight Yard",,020-61116003
Hongli Logistics,"Northeast Three Provinces, Dongguan","No. 195 Zhanqian Road, Bolton Cargo Yard, Stall B47",Mr. Hu,020-62636982/13229958594
Yafei Logistics,Henan,"Baiyun District, Shata Road, Shenghe Logistics North Yard, Building D103",Mr. Wang,13924069627
Lai Fu Logistics,Guangxi Yulin,Baiyun District Shijingshan Huanggang Enming Freight Market M Row 56 Building,,020-86417459
Jintiandi Logistics,Huizhou,"The opposite side of the cement factory in Shi Jing Town, Baiyun District",,020-86442432
