CompanyProductCostBudgetandAnalysisTable-CostItem-CostItem-SerialNumber,CompanyProductCostBudgetandAnalysisTable-CostItem-CostItem-理H,CompanyProductCostBudgetandAnalysisTable-Unitofmeasurement-Unitofmeasurement-Unitofmeasurement,CompanyProductCostBudgetandAnalysisTable-BudgetCost-UnitCostB-UnitCostB,CompanyProductCostBudgetandAnalysisTable-BudgetCost-TotaloutputD-TotaloutputD,CompanyProductCostBudgetandAnalysisTable-BudgetCost-StoragestructureproportionE-StoragestructureproportionE,CompanyProductCostBudgetandAnalysisTable-ActualCost-UnitCostF-UnitCostF,CompanyProductCostBudgetandAnalysisTable-ActualCost-Totaloutput-Totaloutput,CompanyProductCostBudgetandAnalysisTable-ActualCost-TotalCostH-TotalCostH,"CompanyProductCostBudgetandAnalysisTable-ActualCost-描构比重translatesto""ProportioninStructure""inEnglish.-描构比重translatesto""ProportioninStructure""inEnglish.",CompanyProductCostBudgetandAnalysisTable-CostRationalReduction-PlasticvariationrateJ=(F-B)/B*100%-PlasticvariationrateJ=(F-B)/B*100%,CompanyProductCostBudgetandAnalysisTable-CostRationalReduction-UnitorCostTypeDeviationK-F-B-UnitorCostTypeDeviationK-F-B,CompanyProductCostBudgetandAnalysisTable-CostRationalReduction-TotalproductiontypedifferenceL=F*G·B*D-TotalproductiontypedifferenceL=F*G·B*D,CompanyProductCostBudgetandAnalysisTable-CostRationalReduction
,Direct collision materials,Yuan,11000,45,1,110m,61,9040.0,1,7.27%,80,22480,
11,Raw materials,Yuan,110.0,4,7.06%,120.0,6,720.0,"7,9%%",9.09%,10,280,
12,Direct materials,Yuan,120.0,5,9.6%,130.0,7,910.0,10.07%,8.339%,10,310,
13,Spare parts,Yuan,150.0,7,16. Reinforcement %,160.0,9,1.440.00,15.93%,6.67%,10,90,
14,Outsourcing Finished Products,Yuan,220.0,5,17.66%,230.0,7,1610.0,1781%,4.55%,10,510,
1.5,Direct materials,Start,120.0,5,9.65%,130.0,7,910.0,10.07%,8.3J%,10,310,
16,Power,Yuan,150.0,7,16. Balance of Funds,160.0,9,1440.0,15.93%,6.67%,10,390,
Two,Direct labor cost,Huang,270.0,2,1,260.0,4,520,1,-3.70%,-10,300,
21,Salary,Yuan,120.0,1,4444%,130.0,2,260.0,5000%,8.33%,10,140,
22,Welfare Expenses,Yuan,150.0,1,55.56%,180.0,2,260.0,50.00%,-1333%,20,110,
Three,Material Power,Yuan,190.0,6,100.00%,210.0,8,870,100.00%,10.53%,20,540,
11,Direct materials,Yuan,110.0,4,73.33%,120.0,5,600.0,68.97%,9.090%,10,160,
3.2,Power expenses,Yuan,80.0,2,26.67%,90.0,3,270.0,31.03%,12.50%,10,110,
Four,manufacturing expenses,Yuan,70000,50,100.00%,1710.0,74,7500.0,100.00%,65.75%,480,53040,
4.1,Management staff wages,Yuan,120.0,4,15.58%,160.0,6,980.0,12.80%,30%,40,480,
42,Employee Detailed Profit Fee,Yuan,HO.00,5,12.99%,120.0,7,840.0,11.20%,50.00%,40,440,
4.3,Fixed asset depreciation expense,Yuan,70.0,2,4.55%,110.0,4,440.0,5.87%,57.14%,40,0,
4.4,Repair expenses,Yuan,60.0,7,13.64%,100.0,9,900.0,12.00%,66.67%,40,480,
4.5,Electricity cost,Yuan,30.0,5,4.87 units,70.0,7,490.0,6.53%,133.0%,40,340,
4.6,Source Fee,Yuan,40.0,4,5.19%,80.0,6,480.0,6.40%,100.00%,40,320,
47,Plastic family cost,Yuan,60.0,1,1.95%,100.0,3,100.0,4.00%,66.67%,40,240,
