0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Institution,Date,Weekday,Total Consumption,Total Dialogues,Effective conversations,File Establishment Volume,Visits,Number of deals,First visit transaction amount,Follow-up consultation transaction amount,Initial and follow-up visit ROI ratio,First and follow-up visit transaction amount,Gross profit,Hospital visit cost,Registration to Visit Rate
Beijing,2024-05-01 00:00:00,Sunday,56822.08,106,66,66,17,16,64807,8904,1.297225,73711,16888.92,3342.475,0.257576
Beijing,2024-05-02 00:00:00,Monday,58906.41,114,87,74,25,21,96545,26171,2.083237,122716,63809.59,2356.256,0.337838
Beijing,2024-05-03 00:00:00,Tuesday,57670.51,94,67,73,22,19,120587,5979,2.19464,126566,68895.49,2621.387,0.30137
Beijing,2024-05-04 00:00:00,Wednesday,51791.52,101,71,50,16,13,60264,41008,1.955378,101272,49480.48,3236.97,0.32
Beijing,2024-05-05 00:00:00,Thursday,49451.75,144,100,71,15,14,31552,0,0.638036,31552,-17899.8,3296.783,0.211268
Beijing,2024-05-06 00:00:00,Friday,46004.1,128,97,59,14,13,93619,18162,2.429805,111781,65776.9,3286.007,0.237288
Beijing,2024-05-07 00:00:00,Saturday,48065.5,130,90,68,25,18,35121,15941,1.062342,51062,2996.496,1922.62,0.367647
Beijing,2024-05-08 00:00:00,Sunday,43714.16,91,68,55,24,19,66105,189782,5.853641,255887,212172.8,1821.423,0.436364
Beijing,2024-05-09 00:00:00,Monday,44102.22,137,101,61,21,20,60092,3397,1.439588,63489,19386.78,2100.106,0.344262
Beijing,2024-05-10 00:00:00,Tuesday,45674.52,129,99,77,21,19,58397,977,1.299937,59374,13699.48,2174.977,0.272727
Beijing,2024-05-11 00:00:00,Wednesday,48168.96,94,62,64,20,18,95256.6,81966,3.679187,177222.6,129053.6,2408.448,0.3125
Beijing,2024-05-12 00:00:00,Thursday,39388.14,73,52,66,24,19,97591,11894,2.779644,109485,70096.86,1641.172,0.363636
Beijing,2024-05-13 00:00:00,Friday,43708.2,95,66,62,15,8,40995,2868,1.003542,43863,154.8038,2913.88,0.241935
Beijing,2024-05-14 00:00:00,Saturday,44162.18,116,82,52,31,18,31257,-6516,0.560231,24741,-19421.2,1424.586,0.596154
Beijing,2024-05-15 00:00:00,Sunday,41707.28,124,89,62,20,18,64037,26352,2.167224,90389,48681.72,2085.364,0.322581
Beijing,2024-05-16 00:00:00,Monday,42332.94,102,71,55,19,13,48796,57543,2.511968,106339,64006.06,2228.049,0.345455
Beijing,2024-05-17 00:00:00,Tuesday,42080.81,100,74,68,18,12,92859,6247,2.355135,99106,57025.19,2337.823,0.264706
Beijing,2024-05-18 00:00:00,Wednesday,41069.61,74,50,56,19,14,48086,22589,1.720859,70675,29605.39,2161.558,0.339286
Beijing,2024-05-19 00:00:00,Thursday,26025.41,47,31,36,13,10,46736,17710,2.476272,64446,38420.59,2001.955,0.361111
Beijing,2024-05-20 00:00:00,Friday,14044.35,7,5,19,12,7,43820,9999,3.832074,53819,39774.65,1170.363,0.631579
Beijing,2024-05-21 00:00:00,Saturday,8913.666,10,7,11,6,5,25326,800,2.931005,26126,17212.33,1485.611,0.545455
Beijing,2024-05-22 00:00:00,Sunday,8033.725,5,2,11,2,2,7635,0,0.950369,7635,-398.725,4016.862,0.181818
Beijing,2024-05-23 00:00:00,Monday,8694.323,12,8,14,7,7,15242,0,1.753098,15242,6547.677,1242.046,0.5
Beijing,2024-05-24 00:00:00,Tuesday,9451.089,13,8,20,8,5,12054,8099,2.132347,20153,10701.91,1181.386,0.4
Beijing,2024-05-25 00:00:00,Wednesday,8808.645,8,8,18,12,8,32366,1652,3.861888,34018,25209.35,734.0538,0.666667
Beijing,2024-05-26 00:00:00,Thursday,19647.37,30,20,15,13,12,35227,18657,2.742556,53884,34236.63,1511.336,0.866667
Beijing,2024-05-27 00:00:00,Friday,36267.36,86,58,59,14,11,28438.34,10632,1.077286,39070.34,2802.976,2590.526,0.237288
Beijing,2024-05-28 00:00:00,Saturday,43347.01,101,76,83,17,12,74837,7496,1.899393,82333,38985.99,2549.824,0.204819
Beijing,2024-05-29 00:00:00,Sunday,51363.28,91,66,59,22,12,47136,35868,1.616018,83004,31640.72,2334.695,0.372881
Beijing,2024-05-30 00:00:00,Monday,59508.15,118,85,74,17,13,46510,58860,1.770682,105370,45861.85,3500.479,0.22973
Beijing,2024-05-31 00:00:00,Tuesday,25900.42,99,71,77,15,12,51305,40975,3.562876,92280,66379.58,1726.695,0.194805
Chengdu,2024-05-01 00:00:00,Sunday,14840.98,48,23,20,6,4,21900,0,1.475644,21900,7059.021,2473.496,0.3
Chengdu,2024-05-02 00:00:00,Monday,18583.44,55,39,26,7,5,15424.8,45400,3.273064,60824.8,42241.36,2654.778,0.269231
Chengdu,2024-05-03 00:00:00,Tuesday,21339.5,64,48,32,6,5,47859.9,-2200.01,2.139689,45659.89,24320.39,3556.584,0.1875
Chengdu,2024-05-04 00:00:00,Wednesday,21102.75,58,41,30,4,2,21560,26000,2.253735,47560,26457.25,5275.687,0.133333
Chengdu,2024-05-05 00:00:00,Thursday,22437.09,68,48,34,7,6,42995,0,1.916247,42995,20557.91,3205.298,0.205882
Chengdu,2024-05-06 00:00:00,Friday,21167.1,61,39,40,7,3,27583,7600,1.662155,35183,14015.9,3023.872,0.175
Chengdu,2024-05-07 00:00:00,Saturday,20995.92,58,41,21,7,3,19300,0,0.919226,19300,-1695.92,2999.417,0.333333
Chengdu,2024-05-08 00:00:00,Sunday,21662.15,65,47,34,6,4,34457,1300,1.650667,35757,14094.85,3610.359,0.176471
Chengdu,2024-05-09 00:00:00,Monday,21786.89,63,46,33,7,6,15619,4480,0.922527,20099,-1687.89,3112.413,0.212121
Chengdu,2024-05-10 00:00:00,Tuesday,21449.37,72,59,37,7,5,20250,8800,1.354352,29050,7600.631,3064.196,0.189189
Chengdu,2024-05-11 00:00:00,Wednesday,19381.84,60,41,24,9,5,39017,18999.99,2.993369,58016.99,38635.15,2153.538,0.375
Chengdu,2024-05-12 00:00:00,Thursday,15830.34,48,32,17,5,3,6820,26000,2.073234,32820,16989.66,3166.068,0.294118
Chengdu,2024-05-13 00:00:00,Friday,17842.08,57,39,25,7,6,25435,0,1.425563,25435,7592.922,2548.868,0.28
Chengdu,2024-05-14 00:00:00,Saturday,16378.39,53,39,18,9,8,60687.9,3960,3.947147,64647.9,48269.51,1819.821,0.5
Chengdu,2024-05-15 00:00:00,Sunday,14626.57,44,35,18,8,8,90643,29000,8.17984,119643,105016.4,1828.321,0.444444
Chengdu,2024-05-16 00:00:00,Monday,13936.32,35,28,16,0,0,0,0,0,0,-13936.3,-,0
Chengdu,2024-05-17 00:00:00,Tuesday,13129.35,44,37,21,7,4,4223,0,0.321646,4223,-8906.35,1875.621,0.333333
Chengdu,2024-05-18 00:00:00,Wednesday,12091.29,45,30,16,4,4,18139,0,1.500171,18139,6047.71,3022.822,0.25
Chengdu,2024-05-19 00:00:00,Thursday,13280.32,45,30,15,4,4,10204,0,0.768355,10204,-3076.32,3320.08,0.266667
