BinzhouCityTeachingInstrumentRenewalProjectRuralPrimarySchoolInstrumentProcurementPlan-SerialNumber,BinzhouCityTeachingInstrumentRenewalProjectRuralPrimarySchoolInstrumentProcurementPlan-School(Seal):-Number,BinzhouCityTeachingInstrumentRenewalProjectRuralPrimarySchoolInstrumentProcurementPlan-School(Seal):-Name,"BinzhouCityTeachingInstrumentRenewalProjectRuralPrimarySchoolInstrumentProcurementPlan-Specifications,Model,andFunctionalFeatures",BinzhouCityTeachingInstrumentRenewalProjectRuralPrimarySchoolInstrumentProcurementPlan-Unit,BinzhouCityTeachingInstrumentRenewalProjectRuralPrimarySchoolInstrumentProcurementPlan-ReferenceUnitPrice(RMB),BinzhouCityTeachingInstrumentRenewalProjectRuralPrimarySchoolInstrumentProcurementPlan-TenderUnitPrice(RMB),BinzhouCityTeachingInstrumentRenewalProjectRuralPrimarySchoolInstrumentProcurementPlan-ResponsiblePerson(Signature):-Quantity
Serial Number,Number,Name,"Specifications, Model, and Functional Features",Unit,Reference Unit Price (RMB),Tender Unit Price (RMB),Quantity
,Total,Total,—,—,—,,
1,Elementary School Science,Elementary School Science,,,,,
1,0,General-purpose,,,,,
2,0,Audiovisual,,,,,
3,1,Writing Projector,250mm×250mm,Unit,400.0,,1
4,5,Video Display Stand,,Unit,3000.0,2300.0,1
5,6,LCD Projector,,Unit,12000.0,4800.0,1
6,7,Screen,Electric,"幅 translates to ""piece"" or ""unit"" in English, depending on the context. In the context of equipment or items being listed in a table like the one described, it is likely referring to a unit of measurement for items such as pictures, diagrams, or other flat objects. 

If you are translating a specific sentence or phrase containing ""幅,"" please provide the full context for a more accurate translation.",780.0,900.0,1
7,8,Color TV,"CRT, rear projection, or flat panel",Unit,5000.0,,1
8,9,VCR,,Unit,2000.0,,1
9,10,DVD player,,Unit,500.0,,1
10,11,Camera,,Unit,3000.0,,1
11,13,Camera,,Unit,10000.0,,1
12,1,Computer,,,,,
13,1001,Computer,Multimedia,Unit,5000.0,,1～8
14,1013,Calculator,Simple type,piece,40.0,14.54,8～23
15,2,General,,,,,
16,2002,Puncher,4 pieces,Set,12.0,9.53,1～2
17,2015,Air pump,,piece,25.0,17.64,8～12
18,2020,Instrument Cart,,unit,370.0,213.48,2
19,2041,Biological Microscope,500 times,Unit,350.0,244.05,1
20,2043,Biology Microscope Demonstration Equipment,"Color, resolution above 450 TV lines, magnification 40x~1500x",Set,850.0,430.0,1
21,2045,Student Microscope,"200 times, monocular",Unit,145.0,92.0,8～12
22,2051,Magnifying glass,"5 times, diameter no less than 30mm",piece,4.0,1.28,12～23
23,2052,Magnifying glass,"3 times, diameter no less than 40mm",piece,5.0,1.28,12～23
24,2061,Astronomical Telescope,,Set,540.0,170.9,1
25,2075,Alcohol Sprit Lamp,Seated type,piece,42.0,56.0,1
26,2077,Electric Heater,,Unit,90.0,95.27,1
27,2086,Refrigerator,,Unit,2200.0,2360.0,1
28,2091,Electric Oven,,Unit,800.0,480.0,1
29,2092,Insulated Box,,Unit,280.0,53.99,1
30,2101,Stethoscope,,piece,40.0,17.27,8~12
31,2126,Aquarium,,Set,1000.0,1260.0,1～8
32,2128,Handheld Mobile Light,,piece,80.0,34.65,8~12
33,2129,Water trough,Plastic,piece,25.0,7.04,12～23
34,3,Support Stand,,,,,
35,3002,Square Base Support Stand,,Set,24.0,23.72,12～23
36,3006,Tripod Stand,,piece,3.0,2.85,12～23
37,3008,Test tube rack,,piece,6.0,4.63,8～23
38,3013,Rotating Stand,,Set,8.0,8.02,12～23
39,3021,Shelving for Stevenson Screen,,piece,120.0,859.64,1
40,3022,Screened Shelter for Thermometers,460mm×290mm×537mm,piece,165.0,859.64 ,1
41,4,Power Supply,,,,,
42,4002,Student Power Supply,"DC: 1.5~6V, 1.5A one step, ≥1A",piece,110.0,67.38,8~12
43,4005,Teaching Power Supply,"AC 2V~12V, 5A, 2V per step; DC 1.5V~12V, 2A, divided into 1.5V, 3V, 4.5V, 6V, 9V, 12V, a total of six steps",Unit,300.0,176.35,1
44,4010,Battery Holder,,piece,2.0,2.2,24～46
45,1,Measurement,,,,,
46,10,Length,,,,,
47,10003,Ruler,500mm,Only,5.0,2.64,8～23
48,10006,Tape Measure,1500mM,piece,2.0,0.95,12～23
49,11,Quality,,,,,
50,11005,Balance with Pan,"500g,0.5g",Unit,85.0,66.49,8～12
51,11029,Metal Weights,50g×10,Set,14.0,12.6,8～23
52,11030,Scale,Attachment Measuring Body Height Device,Unit,300.0,265.54,8~12
53,12,Time,,,,,
54,12003,Electronic Stop Watch,,block,28.0,73.95,12～23
55,13,Temperature,,,,,
