Product,Customer,January Consumption Amount,February Consumption Fee,March Consumption Amount
Vegetable Pancake,ERNSH,￥380.00,￥590.00,"￥1,250.00"
Camembert de France,RICSU,￥480.00,￥485.00,￥260.00
Mongolian Prairie Green Lamb,BOTTM,"￥5,920.00",￥592.00,￥485.00
Mongolian Prairie Green Lamb,ERNSH,"￥2,054.00","￥2,680.00",￥592.00
Italian White Cheese,VICTE,"￥4,654.00",￥816.00,"￥2,680.00"
Camembert de France,RICAR,￥265.00,"￥1,480.00",￥489.00
Vegetable Pancake,HUNGO,￥260.00,"￥4,656.00",￥485.00
Taste Good Five-Spice Okra Pods,ERNSH,￥485.00,"￥1,653.00",￥592.00
Ipoh Coffee,SUPRD,￥592.00,￥260.00,"￥2,680.00"
Laiyang Imperial Tribute Dried Pears,BSBEV,"￥2,680.00",￥260.00,￥816.00
Taste Good Five-Spice Okra Pods,SUPRD,￥816.00,"￥2,650.00","￥1,480.00"
Black Beer with Strong Character,MEREP,"￥1,480.00","￥2,650.00","￥4,656.00"
Taste Beauty Chili Sauce,RICAR,"￥4,656.00","￥4,892.00","￥1,653.00"
Ipoh Coffee,KOENE,"￥1,653.00","￥1,564.00",￥260.00
Shanghai hairy crab,BOTTM,￥260.00,￥454.00,￥260.00
Star Anise Seed Sauce,LINOD,￥260.00,￥156.00,"￥2,650.00"
Camembert de France,FURIB,"￥2,650.00","￥1,610.00","￥2,650.00"
Black Beer with Strong Character,EASTC,"￥2,650.00","￥1,984.00","￥4,892.00"
Taste Beauty Chili Sauce,QUICK,"￥4,892.00",￥498.00,"￥1,564.00"
Rodney's Biscuit,ERNSH,"￥1,564.00","￥1,910.00",￥454.00
Wild Man Malt Beer,WHITC,￥454.00,"￥6,510.00",￥156.00
Laiyang Imperial Tribute Dried Pears,VICTE,￥156.00,"￥1,650.00","￥1,610.00"
Taste Beauty Chili Sauce,RATTC,"￥1,610.00",￥265.00,"￥1,984.00"
Mongolian Prairie Green Lamb,BERGS,"￥1,984.00","￥1,265.00",￥498.00
Delicious Flavor Dumplings,WARTH,￥498.00,"￥4,541.00","￥1,910.00"
Shanghai hairy crab,PERIC,"￥1,910.00","￥1,651.00","￥6,510.00"
Italian Mozzarella Cheese,SUPRD,"￥6,510.00","￥1,165.00","￥1,650.00"
Shanghai hairy crab,RANCH,"￥1,650.00","￥1,561.00",￥265.00
Shanghai hairy crab,VAFFE,￥265.00,"￥2,621.00","￥1,265.00"
Tea Time Chocolate Biscuit,RICAR,"￥1,265.00",￥151.00,"￥4,541.00"
Italian White Cheese,CONSH,"￥4,541.00","￥1,650.00","￥1,651.00"
Rodney's Biscuit,KOENE,"￥1,651.00","￥1,650.00","￥1,165.00"
Longevity Tofu,MEREP,"￥1,165.00","￥1,841.00","￥1,561.00"
Rodney's Biscuit,LILAS,"￥1,561.00","￥4,922.00","￥2,621.00"
New England Jack Mixture,BERGS,"￥2,621.00","￥1,556.00",￥151.00
Wang Dayi Thirteen Spices,FURIB,￥151.00,"￥1,560.00","￥1,650.00"
Rodney's Biscuit,QUEEN,"￥1,650.00","￥5,610.00","￥1,650.00"
Delicious Flavor Dumplings,TOMSP,"￥1,650.00",￥489.00,"￥1,841.00"
Wild Man Malt Beer,TOMSP,"￥1,841.00",￥549.00,"￥4,922.00"
Tea Time Chocolate Biscuit,TOMSP,"￥4,922.00","￥1,561.00","￥1,556.00"
New England Jack Mixture,BOTTM,"￥1,556.00","￥2,621.00","￥1,560.00"
Tea Time Chocolate Biscuit,SUPRD,"￥1,560.00",￥151.00,"￥5,610.00"
Shanghai hairy crab,BSBEV,"￥5,610.00","￥5,610.00","￥1,650.00"
Shanghai hairy crab,LAZYK,"￥2,165.00",￥489.00,"￥1,841.00"
Tea Time Chocolate Biscuit,WARTH,"￥4,821.00",￥549.00,"￥4,922.00"
Italian Mozzarella Cheese,GOURL,"￥1,655.00","￥1,561.00","￥1,556.00"
Longevity Tofu,HILAA,"￥2,165.00","￥2,621.00","￥1,560.00"
Rodney's Biscuit,PRINI,￥216.00,￥151.00,"￥5,610.00"
Tea Time Chocolate Biscuit,FAMIA,￥256.00,"￥5,610.00","￥1,650.00"
Longevity Tofu,QUICK,￥489.00,￥489.00,"￥1,841.00"
Black Beer with Strong Character,BERGS,"￥1,921.00",￥549.00,"￥4,922.00"
Wonton Skin,BLONP,￥165.00,"￥1,561.00","￥1,556.00"
Rodney's Biscuit,BSBEV,"￥4,556.00","￥2,621.00","￥1,560.00"
Ipoh Coffee,FURIB,￥496.00,￥151.00,"￥5,610.00"
Rodney's Biscuit,OCEAN,"￥1,560.00","￥5,610.00","￥1,650.00"
Wonton Skin,TOMSP,"￥1,650.00",￥489.00,"￥1,841.00"
Mongolian Prairie Green Lamb,HUNGC,"￥1,655.00",￥549.00,"￥4,922.00"
Tea Time Chocolate Biscuit,QUEEN,"￥1,565.00","￥1,561.00","￥1,556.00"
Italian Mozzarella Cheese,TOMSP,"￥1,565.00","￥2,621.00","￥1,560.00"
Shanghai hairy crab,QUEEN,"￥1,651.00",￥151.00,"￥5,610.00"
Tea Time Chocolate Biscuit,QUEDE,"￥1,457.00","￥5,610.00","￥1,650.00"
