Table1-10cNumberofroomsandareaofhousingforfamilyhouseholdsindifferentregions(ruralareas)-Region,Table1-10cNumberofroomsandareaofhousingforfamilyhouseholdsindifferentregions(ruralareas)-Numberoffamilyhouseholds(households),Table1-10cNumberofroomsandareaofhousingforfamilyhouseholdsindifferentregions(ruralareas)-Numberoffamilyhouseholdmembers(persons),Table1-10cNumberofroomsandareaofhousingforfamilyhouseholdsindifferentregions(ruralareas)-Averagenumberofroomsperhousehold(rooms/household),Table1-10cNumberofroomsandareaofhousingforfamilyhouseholdsindifferentregions(ruralareas)-Percapitafloorareaofhousing(squaremeters/person),Table1-10cNumberofroomsandareaofhousingforfamilyhouseholdsindifferentregions(ruralareas)-Numberofhousingroomsperperson(rooms/person)
Hunan Province,123956,397014,4,35,1
Changsha City,8239,28541,4,39,1
Zhuzhou City,6117,20188,5,47,1
Xiangtan City,5106,16739,4,41,1
Hengyang City,12459,41367,4,36,1
Shaoyang City,14512,46487,3,33,1
Yueyang City,8331,28188,4,32,1
Changde City,12059,32323,3,42,1
Zhangjiajie City,3693,11460,3,37,1
Yiyang City,7824,24058,4,36,1
Chenzhou City,10573,34551,3,27,1
Yongzhou City,10913,34491,4,31,1
Huaihua City,11300,37127,3,33,1
Loudi City,6642,21066,4,38,1
Xiangxi Tujia and Miao Autonomous Prefecture,6188,20428,3,29,1
