NumberofCorporateUnitsbyRegioninShandongProvince-NumberofCorporateUnitsbyRegion-Unit:individual-Region,NumberofCorporateUnitsbyRegioninShandongProvince-NumberofCorporateUnitsbyRegion-Region,NumberofCorporateUnitsbyRegioninShandongProvince-NumberofCorporateUnitsbyRegion-2015,NumberofCorporateUnitsbyRegioninShandongProvince-NumberofCorporateUnitsbyRegion-2016,NumberofCorporateUnitsbyRegioninShandongProvince-NumberofCorporateUnitsbyRegion-2017,NumberofCorporateUnitsbyRegioninShandongProvince-NumberofCorporateUnitsbyRegion-2018,NumberofCorporateUnitsbyRegioninShandongProvince-NumberofCorporateUnitsbyRegion-2019,NumberofCorporateUnitsbyRegioninShandongProvince-NumberofCorporateUnitsbyRegion-2020,NumberofCorporateUnitsbyRegioninShandongProvince-NumberofCorporateUnitsbyRegion-2021,NumberofCorporateUnitsbyRegioninShandongProvince-NumberofCorporateUnitsbyRegion-(unit)-2022
,,,,,,,,,
Total of the Whole Province,Total,1269917.0,1652065.0,2014790.0,1801301.0,2309350.0,2842426.0,3261425.0,3546905.0
Ji'nan City,Jinan,119575.0,144859.0,162066.0,200414.0,285944.0,363089.0,421843.0,459615.0
Qingdao City,Qingdao,230230.0,302471.0,345793.0,359226.0,427061.0,504379.0,553871.0,589565.0
Zibo City,Zibo,68198.0,89514.0,115280.0,97597.0,114573.0,134612.0,150309.0,161377.0
Zaozhuang City,Zaozhuang,37887.0,47322.0,60639.0,38717.0,62031.0,79353.0,91359.0,102009.0
Dongying City,Dongying,28465.0,39590.0,49073.0,39374.0,51023.0,63279.0,75052.0,85250.0
Yantai City,Yantai,118699.0,151831.0,168440.0,182515.0,200567.0,231694.0,257964.0,278651.0
Weifang City,Weifang,115593.0,154860.0,194938.0,174232.0,229327.0,276417.0,304145.0,326280.0
Jining City,Jining,101533.0,123715.0,153557.0,130348.0,177396.0,214475.0,248556.0,268358.0
Tai'an City,Tai'an,56600.0,69235.0,79894.0,65349.0,72766.0,92032.0,115482.0,128856.0
Weihai City,Weihai,51595.0,69610.0,86039.0,64510.0,78757.0,92520.0,106762.0,115539.0
Rizhao City,Rizhao,29516.0,37205.0,48228.0,52880.0,69645.0,86002.0,95960.0,107728.0
Laiwu City,Laiwu,17200.0,22005.0,28270.0,29883.0,,,,
Linyi City,Linyi,92164.0,121410.0,167916.0,109478.0,178389.0,241088.0,294325.0,329282.0
Dezhou City,Dezhou,51189.0,64949.0,83694.0,70831.0,91383.0,111800.0,120371.0,131061.0
Liaocheng City,Liaocheng,46442.0,59745.0,80289.0,60844.0,90489.0,123109.0,152017.0,162040.0
Binzhou City,Binzhou,44869.0,61010.0,76260.0,58839.0,85354.0,110797.0,128797.0,141328.0
Heze City,Heze,60162.0,92734.0,114414.0,66264.0,94645.0,117780.0,144612.0,159966.0
,,,,,,,,,
,,,,,,,,,
"Note: According to the administrative division adjustment, since 2019, Laiwu City has been merged into Jinan City; the same applies to the following table.",,,,,,,,,
"a)According to administrative division adjustment,Laiwu City merged into Jinan City from 2019.The same applies to tables following.",,,,,,,,,
