MajorDataoftheSevenPopulationCensusesinShandongProvince-MajorDataofAllPreviousProvincialPopulationCensus-Item-Item-Item-Item,MajorDataoftheSevenPopulationCensusesinShandongProvince-MajorDataofAllPreviousProvincialPopulationCensus-Item-Item-Item-Item.1,MajorDataoftheSevenPopulationCensusesinShandongProvince-MajorDataofAllPreviousProvincialPopulationCensus-TheFirstPopulationCensusTheFirst(1953.7.1)-TheFirstPopulationCensusTheFirst(1953.7.1)-TheFirstPopulationCensusTheFirst(1953.7.1)-TheFirstPopulationCensusTheFirst(1953.7.1),MajorDataoftheSevenPopulationCensusesinShandongProvince-MajorDataofAllPreviousProvincialPopulationCensus-TheSecondPopulationCensusTheSecond(1964.7.1)-TheSecondPopulationCensusTheSecond(1964.7.1)-TheSecondPopulationCensusTheSecond(1964.7.1)-TheSecondPopulationCensusTheSecond(1964.7.1),MajorDataoftheSevenPopulationCensusesinShandongProvince-MajorDataofAllPreviousProvincialPopulationCensus-TheThirdPopulationCensusTheThird(1982.7.1)-TheThirdPopulationCensusTheThird(1982.7.1)-TheThirdPopulationCensusTheThird(1982.7.1)-TheThirdPopulationCensusTheThird(1982.7.1),MajorDataoftheSevenPopulationCensusesinShandongProvince-MajorDataofAllPreviousProvincialPopulationCensus-TheFourthPopulationCensus(1990.7.1)-TheFourthPopulationCensus(1990.7.1)-TheFourthPopulationCensus(1990.7.1)-TheFourthPopulationCensus(1990.7.1),MajorDataoftheSevenPopulationCensusesinShandongProvince-MajorDataofAllPreviousProvincialPopulationCensus-TheFifthPopulationCensus(2000.11.1)-TheFifthPopulationCensus(2000.11.1)-TheFifthPopulationCensus(2000.11.1)-TheFifthPopulationCensus(2000.11.1),MajorDataoftheSevenPopulationCensusesinShandongProvince-MajorDataofAllPreviousProvincialPopulationCensus-TheSixthPopulationCensusTheSixth(2010.11.1)-TheSixthPopulationCensusTheSixth(2010.11.1)-TheSixthPopulationCensusTheSixth(2010.11.1)-TheSixthPopulationCensusTheSixth(2010.11.1),MajorDataoftheSevenPopulationCensusesinShandongProvince-MajorDataofAllPreviousProvincialPopulationCensus-TheSeventhPopulationCensusTheSeventh(2020.11.1)-TheSeventhPopulationCensusTheSeventh(2020.11.1)-TheSeventhPopulationCensusTheSeventh(2020.11.1)-TheSeventhPopulationCensusTheSeventh(2020.11.1)
,,,,,,,,
I. Total Population (Ten Thousand People),Total                                          (10 000 persons),4887.65,5549.62,7441.91,8439.21,8997.18,9579.27,10152.75
By Gender,By Sexual,,,,,,,
Male,Male,2431.14,2790.45,3773.74,4291.32,4554.21,4844.69,5143.29
Female,Female,2456.52,2759.17,3668.16,4147.89,4442.97,4734.58,5009.45
"II. Total Number of Households (10,000 households)",Total Households                          (10 000 units),1109.77,1277.08,1739.04,2197.56,2732.04,3079.47,3704.55
Household Families (Ten Thousand Households),Households                                  (10 000 units),0.0,0.0,1733.55,2187.44,2670.93,3010.55,3518.42
Average Household Size (persons),Average Household Size                      (person),,,4.2,3.75,3.22,2.98,2.7
Three. Ethnic Groups,Nationalities,,,,,,,
Number of Ethnic Groups (Units),The number of Nationalities                     (unit),17.0,32.0,39.0,54.0,56.0,56.0,56.0
"Han Population (10,000 people)",Total Population of  Han,4862.4,5520.04,7401.14,8388.62,8933.9,9506.68,10062.25
,Nationality                              (10 000 persons),,,,,,,
"Minority Population (in 10,000s)",Total Population of Minority,25.24,29.55,40.74,50.59,63.27,72.59,90.5
,Nationalities                            (10 000 persons),,,,,,,
Four. Urban and Town Population (Ten Thousand People),Population of City and Town  (10 000 persons),357.92,717.57,1419.05,2307.67,3432.59,4762.07,6401.43
"Five, Average Life Expectancy (Years)",Life Expectancy                                  (year old),,,69.2,70.6,73.92,76.46,79.18
Six. Population with Various Levels of Education,Population by Education,,,,,,,
University (Ten Thousand People),University and Above               (10 000 persons),,,26.32,82.29,300.08,832.87,1460.35
"High School (10,000 people)",Senior Middle Schools              (10 000 persons),,,438.72,603.36,994.64,1332.26,1455.28
Junior Middle School (Ten Thousand People),Junior Middle Schools              (10 000 persons),,,1316.97,2125.47,3297.35,3846.8,3632.42
Primary School      (Ten Thousand People),Primary Schools                        (10 000 persons),,,2510.81,3061.2,2946.97,2391.22,2405.46
Illiterate and Semi-illiterate (Ten Thousand People),Illiterate or Semiliterate             (10 000 persons),,,2045.72,1425.61,765.43,475.73,330.83
"Seven, Average of Population Aged 6 and Above",Years of education of Population,,,4.9,6.2,7.5,8.8,9.4
Years of Education (Years),Aged 6 and Over                                      (year),,,,,,,
Eight. Employed Population (Ten Thousand People),Economically Active Population(10 000 persons),,,4009.79,5077.21,5477.41,5902.34,5510.0
