NumbersofRetiredandResignedPersonsinCitiesofShandongProvince(Endof2023)-NumbersofRetiredandResignedPersonsatYear-endbyRegion(2023)-Unit:Person-Region-Region-Region,NumbersofRetiredandResignedPersonsinCitiesofShandongProvince(Endof2023)-NumbersofRetiredandResignedPersonsatYear-endbyRegion(2023)-Region-Region-Region,NumbersofRetiredandResignedPersonsinCitiesofShandongProvince(Endof2023)-NumbersofRetiredandResignedPersonsatYear-endbyRegion(2023)-RetiredandResignedPersons-RetiredandResignedPersons-RetiredandResignedPersons,NumbersofRetiredandResignedPersonsinCitiesofShandongProvince(Endof2023)-NumbersofRetiredandResignedPersonsatYear-endbyRegion(2023)-RetiredVeterans-RetiredVeterans-RetiredVeterans,NumbersofRetiredandResignedPersonsinCitiesofShandongProvince(Endof2023)-NumbersofRetiredandResignedPersonsatYear-endbyRegion(2023)-(person)-RetiredPersons-RetiredPersons-RetiredPersons
,,,,
Total of the Whole Province,Total,8643587,6483,8637104
Ji'nan City,Jinan,825730,849,824881
Qingdao City,Qingdao,1258849,691,1258158
Zibo City,Zibo,546483,369,546114
Zaozhuang City,Zaozhuang,230476,129,230347
Dongying City,Dongying,85340,43,85297
Yantai City,Yantai,869171,610,868561
Weifang City,Weifang,692870,423,692447
Jining City,Jining,460903,277,460626
Tai'an City,Tai'an,391487,196,391291
Weihai City,Weihai,518908,163,518745
Rizhao City,Rizhao,260934,73,260861
Linyi City,Linyi,482500,279,482221
Dezhou City,Dezhou,286617,161,286456
Liaocheng City,Liaocheng,286051,131,285920
Binzhou City,Binzhou,248493,127,248366
Heze City,Heze,325182,165,325017
,,,,
,,,,
Note: The data for each city does not include the number of retired and resigned persons who are covered by the provincial directly administered enterprises. Retired persons include resigned persons.,,,,
"a) Municipal data exclude the number of retired and resigned persons in provincial enterprises,
     Data of Retired Persons includes resigned persons.","a) Municipal data exclude the number of retired and resigned persons in provincial enterprises,
     Data of Retired Persons includes resigned persons.","a) Municipal data exclude the number of retired and resigned persons in provincial enterprises,
     Data of Retired Persons includes resigned persons.","a) Municipal data exclude the number of retired and resigned persons in provincial enterprises,
     Data of Retired Persons includes resigned persons.","a) Municipal data exclude the number of retired and resigned persons in provincial enterprises,
     Data of Retired Persons includes resigned persons."
