Serial Number,Engineering Project Name,Counterparty Unit,Contract Amount,Completion Progress,Settlement Amount,Confirmed Payment Amount,Paid Amount,Amount Payable,Notes
1,Project 1,xxxx,1500.0,100%,1500.0,1400.0,1000.0,400.0,1
2,Engineering Project 2,xxxx,2000.0,100%,2000.0,1900.0,1000.0,900.0,2
3,Engineering 3,xxxx,2500.0,90%,2250.0,2000.0,1000.0,1000.0,3
4,Engineering 4,xxxx,1700.0,80%,1360.0,1200.0,1000.0,200.0,4
5,Project 5,xxxx,2400.0,70%,1680.0,1500.0,1000.0,500.0,5
6,Project 6,xxxx,1300.0,100%,1300.0,1200.0,1000.0,200.0,6
7,Project 7,xxxx,1100.0,60%,660.0,660.0,500.0,160.0,7
8,Project 8,xxxx,1000.0,90%,900.0,900.0,400.0,500.0,8
9,Project 9,xxxx,1600.0,70%,1120.0,1120.0,500.0,620.0,9
10,Project 10,xxxx,1500.0,50%,750.0,750.0,500.0,250.0,10
