1-5AverageDailyMajorSocio-EconomicActivities-SelectedIndicatorsonAverageDailySocialandEconomicActivities,1-5AverageDailyMajorSocio-EconomicActivities-SelectedIndicatorsonAverageDailySocialandEconomicActivities.1,1-5AverageDailyMajorSocio-EconomicActivities-SelectedIndicatorsonAverageDailySocialandEconomicActivities.2,1-5AverageDailyMajorSocio-EconomicActivities-SelectedIndicatorsonAverageDailySocialandEconomicActivities.3,1-5AverageDailyMajorSocio-EconomicActivities-SelectedIndicatorsonAverageDailySocialandEconomicActivities.4,1-5AverageDailyMajorSocio-EconomicActivities-SelectedIndicatorsonAverageDailySocialandEconomicActivities.5,1-5AverageDailyMajorSocio-EconomicActivities-SelectedIndicatorsonAverageDailySocialandEconomicActivities.6,1-5AverageDailyMajorSocio-EconomicActivities-SelectedIndicatorsonAverageDailySocialandEconomicActivities.7,1-5AverageDailyMajorSocio-EconomicActivities-SelectedIndicatorsonAverageDailySocialandEconomicActivities.8,Unnamed: 9
,,,,,,,,,
Item,Item,1996,2000,2005,2010,2018,2019,2020.0,2021.0
Daily Production,Daily Production,,,,,,,,
"City's Total Output Value (10,000 Yuan)",Gross Domestic Product (10 000 yuan),36340,49919,94475,220966,591474,646733,686067.0,764220.0
Primary Industry,Primary Industry,7878,7684,12468,17794,37772,42509,49412.0,52658.0
Second Industry,Secondary Industry,15759,21223,42717,99291,242253,257314,273139.0,306437.0
# Industry,Industry,13886,17645,35476,80699,171729,179502,191528.0,216128.0
Tertiary Industry,Tertiary Industry,12702,21013,39290,103881,311449,346910,363516.0,405125.0
"General Public Budget Revenue (10,000 yuan)",General Public Budget Revenue (10 000 yuan),,,,,62070,58491,57393.0,62615.0
Grain (tonnes),Grain (ton),32113,30992,32005,31675,29571,29458,29628.0,29941.0
Oil Crops (Ton),Oil-bearing Crops (ton),647,851,1170,1218,1745,1786,1838.0,1876.0
Pork (tonnes),Pork (ton),3128,3355,3958,3812,3621,3070,2981.0,3891.0
Aquatic Products (Ton),Aquatic Products (ton),385,549,687,615,1451,1484,1436.0,1494.0
Natural Gas (Ten Thousand Cubic Meters),Natural Gas (10 000 cu.m),715,1068,1564,1849,2925,3028,3563.0,3823.0
Electricity Generation (Ten Thousand Kilowatt-Hours),Electricity (10 000 kwh),3527,4600,6412,12513,21153,20867,21348.0,25505.0
Steel (ton),Steel Products (ton),3221,4301,8074,19176,33114,31136,35889.0,35903.0
Cement (ton),Cement (ton),17774,38432,57553,125974,180180,185010,178225.0,170766.0
Automobiles (units),Motor Vehicles (unit),340,674,1155,4427,4715,3789,4329.0,5474.0
# Sedan,Cars,37,132,420,2333,1237,727,788.0,1084.0
Motorcycles (units),Motorcycles (unit),4859,5235,11530,23267,12512,11159,13399.0,12011.0
Daily Consumption,Daily Consumption,,,,,,,,
"General Public Budget Expenditure (10,000 yuan)",General Public Budget Expenditure (10 000 yuan),,,,,124410,132813,134081.0,132467.0
"Total Retail Sales of Consumer Goods (10,000 yuan)",Total Retail Sales of Consumer Goods (10 000 yuan),14087,20973,37331,96300,293294,318676,322937.0,382676.0
Other Economic Activities Per Day,Other Daily Economic Activities,,,,,,,,
"Passenger Volume (10,000 people)",Passenger Traffic (10 000 persons),116.08,156.08,165.58,347.41,174.34,174.41,109.03,96.58
"Freight Volume (10,000 tons)",Freight Traffic (10 000 tons),66.68,73.57,107.4,222.97,351.33,308.95,332.57,395.22
"Port Cargo Handling Volume (10,000 tons)",Cargo Throughput of Ports (10 000 tons),2.95,6.71,14.39,26.49,56.01,46.92,45.2,54.26
"Postal and Telecommunications Revenue (10,000 yuan)","Business Revenue from Postal and
 Telecommunication Services (10 000 yuan)",458.39,1491.42,3073.23,4906.32,10103.81,10687.67,11358.63,12619.08
"Total Imports and Exports (10,000 US Dollars)",Total Imports and Exports (USD 10 000),434.36,489.17,1176.12,3404.38,21654.83,23003.85,25801.64,33926.83
Export,Exports,162.64,272.66,690.56,2051.78,14075.92,14739.43,16583.29,21919.55
Import,Imports,271.72,216.51,485.56,1352.6,7578.91,8264.42,9218.63,12007.28
Actual Use of Foreign Capital (Ten Thousand U.S. Dollars),Actual Utilization of Foreign Capital (USD 10 000),59.94,66.95,141.3,833.6,890.49,648.02,575.67,612.56
Number of Inbound Tourists Received (person-times),Number of Overseas Vistior Arrival Received (person-time),443,729,1435,3754,10631,11270,401.0,271.0
,,,,,,,,,
"Note: Before 2006, the output of industrial products refers to state-owned and non-state-owned enterprises above designated size; since 2007, it refers to enterprises above designated size; since 2015, natural gas and electricity generation refer to data from all industrial enterprises.",,,,,,,,,
Note: The output of industrial products before 2006 is based on the state-owned industrial enterprises and non-state-owned industrial enterprises above designated size; while it is based on the industrial enterprises above designated size since 2007. And the data of natural gas and electricity about the industrial enterprises are those of full coverage since 2015.,Note: The output of industrial products before 2006 is based on the state-owned industrial enterprises and non-state-owned industrial enterprises above designated size; while it is based on the industrial enterprises above designated size since 2007. And the data of natural gas and electricity about the industrial enterprises are those of full coverage since 2015.,Note: The output of industrial products before 2006 is based on the state-owned industrial enterprises and non-state-owned industrial enterprises above designated size; while it is based on the industrial enterprises above designated size since 2007. And the data of natural gas and electricity about the industrial enterprises are those of full coverage since 2015.,Note: The output of industrial products before 2006 is based on the state-owned industrial enterprises and non-state-owned industrial enterprises above designated size; while it is based on the industrial enterprises above designated size since 2007. And the data of natural gas and electricity about the industrial enterprises are those of full coverage since 2015.,Note: The output of industrial products before 2006 is based on the state-owned industrial enterprises and non-state-owned industrial enterprises above designated size; while it is based on the industrial enterprises above designated size since 2007. And the data of natural gas and electricity about the industrial enterprises are those of full coverage since 2015.,Note: The output of industrial products before 2006 is based on the state-owned industrial enterprises and non-state-owned industrial enterprises above designated size; while it is based on the industrial enterprises above designated size since 2007. And the data of natural gas and electricity about the industrial enterprises are those of full coverage since 2015.,Note: The output of industrial products before 2006 is based on the state-owned industrial enterprises and non-state-owned industrial enterprises above designated size; while it is based on the industrial enterprises above designated size since 2007. And the data of natural gas and electricity about the industrial enterprises are those of full coverage since 2015.,Note: The output of industrial products before 2006 is based on the state-owned industrial enterprises and non-state-owned industrial enterprises above designated size; while it is based on the industrial enterprises above designated size since 2007. And the data of natural gas and electricity about the industrial enterprises are those of full coverage since 2015.,,
