StandardModelNumber-China-NationalStandard-China-NationalStandard,StandardModelNumber-EIA-InternationalStandard-EIA-InternationalStandard,StandardModelNumber-British-NationalStandard-British-NationalStandard,StandardModelNumber-153-IECStandard-153-IECStandard,Mainmodefrequencyrange(GHz)-Startfrequency1.25fc-Startfrequency1.25fc,Thecutofffrequencyoftherectangularwaveguidefc=149.9/a(GHz)-Thestartingfrequencyoftherectangularwaveguide=1.25fc(GHz)=187.375/a(GHz)-Theterminationfrequencyoftherectangularwaveguide=1.9fc(GHz)=284.81/a(GHz)-Mainmodefrequencyrange(GHz)-Terminationfrequency1.9fc-Terminationfrequency1.9fc,Thecutofffrequencyoftherectangularwaveguidefc=149.9/a(GHz)-Thestartingfrequencyoftherectangularwaveguide=1.25fc(GHz)=187.375/a(GHz)-Theterminationfrequencyoftherectangularwaveguide=1.9fc(GHz)=284.81/a(GHz)-Innercross-sectionaldimensions(mm)-Basicwidtha-Basicwidtha,Thecutofffrequencyoftherectangularwaveguidefc=149.9/a(GHz)-Thestartingfrequencyoftherectangularwaveguide=1.25fc(GHz)=187.375/a(GHz)-Theterminationfrequencyoftherectangularwaveguide=1.9fc(GHz)=284.81/a(GHz)-Innercross-sectionaldimensions(mm)-Basicheightb-Basicheightb,Thecutofffrequencyoftherectangularwaveguidefc=149.9/a(GHz)-Thestartingfrequencyoftherectangularwaveguide=1.25fc(GHz)=187.375/a(GHz)-Theterminationfrequencyoftherectangularwaveguide=1.9fc(GHz)=284.81/a(GHz)-Innercross-sectionaldimensions(mm)-Widthandheightdeviation(±)-Widthandheightdeviation(±),Thecutofffrequencyoftherectangularwaveguidefc=149.9/a(GHz)-Thestartingfrequencyoftherectangularwaveguide=1.25fc(GHz)=187.375/a(GHz)-Theterminationfrequencyoftherectangularwaveguide=1.9fc(GHz)=284.81/a(GHz)-Innercross-sectionaldimensions(mm)-MaximumdiameterofinnercornerR1-MaximumdiameterofinnercornerR1,Basicwallthickness(mm)-Basicwallthickness(mm)-Basicwallthickness(mm),Externalcross-sectionaldimensions(mm)-BasicwidthA-BasicwidthA,Externalcross-sectionaldimensions(mm)-BasicheightB-BasicheightB,Externalcross-sectionaldimensions(mm)-Widthandheightdeviation(±)-Widthandheightdeviation(±),Externalcross-sectionaldimensions(mm)-OutercornerdiameterR2-Minimumvalue,Externalcross-sectionaldimensions(mm)-OutercornerdiameterR2-Maximumvalue,TE10cutoffwavelengthλc(mm)-TE10cutoffwavelengthλc(mm)-TE10cutoffwavelengthλc(mm),TE10cutofffrequencyfc(GHz)-TE10cutofffrequencyfc(GHz)-TE10cutofffrequencyfc(GHz),Theoreticalattenuation(dB/m)-Aluminumwaveguide-Minimumvalue,Theoreticalattenuation(dB/m)-Aluminumwaveguide-Maximumvalue,Theoreticalattenuation(dB/m)-Copperwaveguide-Minimumvalue,Theoreticalattenuation(dB/m)-Copperwaveguide-Maximumvalue,Theoreticalattenuation(dB/100ft.)-Aluminumwaveguide-Minimumvalue,Theoreticalattenuation(dB/100ft.)-Aluminumwaveguide-Maximumvalue,Theoreticalattenuation(dB/100ft.)-Copperwaveguide-Minimumvalue,Theoreticalattenuation(dB/100ft.)-Copperwaveguide-Maximumvalue,Ratedpowerhandling(MW)-1.25fc-Minimumvalue,Ratedpowerhandling(MW)-1.9fc-Maximumvalue,Weightpermeter(Kg)-Aluminumwaveguide-Aluminumwaveguide,Weightpermeter(Kg)-Copperwaveguide-Copperwaveguide
BJ3,WR-2300,,R3,0.32,0.49,584.2,292.1,Pending,1.5,6.0,Pending,Pending,Pending,Pending,Pending,1169.2,0.257,0.009,0.013,,,0.27,0.4,,,246.0,348.0,28.781,
BJ4,WR-2100,,R4,0.35,0.53,533.4,266.7,Pending,1.5,5.0,Pending,Pending,Pending,Pending,Pending,1067.5,0.281,0.01,0.015,,,0.31,0.46,,,205.0,290.0,21.873,
BJ5,WR-1800,WG1,R5,0.41,0.62,457.2,228.6,0.51,1.5,5.0,Pending,Pending,Pending,Pending,Pending,915.0,0.328,0.013,0.019,,,0.39,0.58,,,150.0,213.0,18.787,
BJ6,WR-1500,WG2,R6,0.49,0.75,381.0,190.5,0.38,1.5,3.18,Pending,Pending,Pending,Pending,Pending,762.5,0.393,0.017,0.025,,,0.51,0.76,,,104.0,148.0,9.923,
BJ8,WR-1150,WG3,R8,0.64,0.98,292.1,146.05,0.38,1.5,3.18,Pending,Pending,Pending,Pending,Pending,584.6,0.513,0.025,0.004,,,0.76,0.113,,,61.5,87.1,7.633,
BJ9,WR-975,WG4,R9,0.76,1.15,247.65,123.82,Pending,1.2,3.18,Pending,Pending,Pending,Pending,Pending,495.6,0.605,0.003,0.005,,,0.098,0.145,,,44.2,62.6,6.488,
BJ12,WR-770,WG5,R12,0.96,1.46,195.58,97.79,Pending,1.2,3.18,Pending,Pending,Pending,Pending,Pending,391.4,0.766,0.005,0.007,,,0.14,0.206,,,27.6,39.1,5.147,
BJ14,WR-650,WG6,R14,1.13,1.73,165.1,82.55,0.33,1.2,2.03,169.16,86.61,0.2,1,1.5,330.4,0.908,0.006,0.009,0.007,0.01,0.18,0.266,0.214,0.317,19.6,27.8,2.759,9.095
BJ18,WR-510,WG7,R18,1.45,2.2,129.54,64.77,0.26,1.2,2.03,133.6,68.83,0.2,1,1.5,259.1,1.157,0.008,0.013,0.01,0.015,0.259,0.382,0.309,0.456,12.09,17.1,2.175,7.168
BJ22,WR-430,WG8,R22,1.72,2.61,109.22,54.61,0.22,1.2,2.03,113.28,58.67,0.2,1,1.5,218.4,1.372,0.011,0.016,0.013,0.019,0.334,0.494,0.399,0.588,8.6,12.2,1.84,6.067
BJ26,WR-340,WG9A,R26,2.17,3.3,86.36,43.18,0.17,1.2,2.03,90.42,47.24,0.17,1,1.5,172.7,1.736,0.016,0.023,0.019,0.027,0.475,0.702,0.567,0.837,5.4,7.6,1.465,4.828
BJ32,WR-284,WG10,R32,2.6,3.95,72.14,34.04,0.14,1.2,2.03,76.2,39.1,0.14,1,1.5,144.3,2.078,0.021,0.031,0.025,0.037,0.652,0.953,0.777,1.136,3.5,5.0,1.414,4.662
BJ40,WR-229,WG11A,R40,3.22,4.9,58.17,29.08,0.12,1.2,1.625,61.42,32.33,0.12,0.8,1.3,116.3,2.577,0.028,0.042,0.034,0.05,0.86,1.27,1.026,1.514,2.44,3.46,0.794,2.618
BJ48,WR-187,WG12,R48,3.94,5.99,47.549,22.149,0.095,0.8,1.625,50.8,25.4,0.1,0.8,1.3,95.1,3.153,0.04,0.059,0.048,0.07,1.231,1.795,1.467,2.14,1.52,2.15,0.64,2.111
BJ58,WR-159,WG13,R58,4.64,7.05,40.386,20.193,0.081,0.8,1.625,43.64,23.44,0.08,0.8,1.3,80.77,3.712,0.049,0.072,0.058,0.086,1.487,2.195,1.773,2.617,1.17,1.66,0.56,1.846
BJ70,WR-137,WG14,R70,5.38,8.17,34.849,15.799,0.07,0.8,1.625,38.1,19.05,0.08,0.8,1.3,69.7,4.301,0.066,0.095,0.078,0.114,2.004,2.91,2.39,3.47,0.79,1.12,0.473,1.56
BJ84,WR-112,WG15,R84,6.57,9.99,28.499,12.624,0.057,0.8,1.625,31.75,15.88,0.05,0.8,1.3,57.0,5.26,0.091,0.131,0.108,0.156,2.761,3.993,3.292,4.761,0.52,0.73,0.39,1.285
BJ100,WR-90,WG16,R100,8.2,12.5,22.86,10.16,0.046,0.8,1.27,25.4,12.7,0.05,0.65,1.15,45.72,6.557,0.126,0.182,0.15,0.217,3.833,5.547,4.57,6.614,0.33,0.47,0.244,0.804
BJ120,WR-75,WG17,R120,9.84,15.0,19.05,9.525,0.038,0.8,1.27,21.59,12.06,0.05,0.65,1.15,38.1,7.869,0.151,0.222,0.18,0.265,4.59,6.775,5.472,8.078,0.26,0.34,0.213,0.702
BJ140,WR-62,WG18,R140,11.9,18.0,15.799,7.899,0.031,0.4,1.015,17.83,9.93,0.05,0.5,1,31.6,9.488,0.199,0.294,0.238,0.351,6.077,8.971,7.246,10.696,0.18,0.25,0.141,0.465
BJ180,WR-51,WG19,R180,14.5,22.0,12.95,6.477,0.026,0.4,1.015,14.99,8.51,0.05,0.5,1,25.91,11.575,0.269,0.396,0.32,0.473,8.185,12.082,9.759,14.406,0.12,0.17,0.118,0.389
BJ220,WR-42,WG20,R220,17.6,26.7,10.668,4.318,0.021,0.4,1.015,17.7,6.35,0.05,0.5,1,21.34,14.051,0.426,0.607,0.507,0.723,12.97,18.487,15.464,22.042,0.066,0.094,0.179,0.59
BJ260,WR-34,WG21,R260,21.7,33.0,8.636,4.318,0.02,0.4,1.015,10.67,6.35,0.05,0.5,1,17.27,17.358,0.493,0.728,0.588,0.868,15.036,22.197,17.928,26.465,0.053,0.076,0.082,0.271
BJ320,WR-28,WG22,R320,26.3,40.0,7.12,3.556,0.02,0.4,1.015,9.14,5.59,0.05,0.5,1,14.22,21.053,0.66,0.974,0.787,1.162,20.12,29.701,23.989,35.413,0.036,0.051,0.07,0.229
BJ400,WR-22,WG23,R400,32.9,50.1,5.69,2.845,0.02,0.3,1.015,7.72,4.88,0.05,0.5,1,11.38,26.344,0.923,1.362,1.1,1.624,28.119,41.508,33.526,49.491,0.023,0.033,0.058,0.191
BJ500,WR-19,WG24,R500,39.2,59.6,4.775,2.388,0.02,0.3,1.015,6.81,4.42,0.05,0.5,1,9.55,31.393,,,1.431,2.112,,,43.603,64.367,0.016,0.023,,0.166
BJ620,WR-15,WG25,R620,49.8,75.8,3.795,1.88,0.02,0.2,1.015,5.79,3.91,0.05,0.5,1,7.52,39.499,,,2.048,3.023,,,62.425,92.152,0.01,0.144,,0.138
BJ740,WR-12,WG26,R740,60.5,91.9,3.0988,1.5494,0.0127,0.15,1.015,5.13,3.58,0.05,0.5,1,6.2,48.374,,,2.737,4.04,,,83.409,123.128,0.0069,0.0098,,0.121
BJ900,WR-10,WG27,R900,73.8,112.0,2.54,1.27,0.0127,0.15,1.015,4.57,3.3,0.05,0.5,1,5.08,59.016,,,3.688,5.444,,,112.397,165.92,0.0046,0.0066,,0.106
BJ1200,WR-8,WG28,R1200,92.2,140.0,2.032,1.016,0.0076,0.15,0.76,3.556,2.54,0.025,0.5,0.8,4.06,73.77,,,,,,,,,0.003,0.0042,,
BJ1400,WR-7,WG29,R1400,113.0,173.0,1.651,0.8255,0.0064,0.038,0.76,3.175,2.35,0.025,0.5,0.8,3.3,90.793,,,,,,,,,0.0019,0.0028,,
BJ1800,WR-5,WG30,R1800,145.0,220.0,1.2954,0.6477,0.0064,0.038,0.76,2.819,2.172,0.025,0.5,0.8,2.59,115.717,,,,,,,,,0.0012,0.0017,,
BJ2200,WR-4,WG31,R2200,172.0,261.0,1.0922,0.5461,0.0051,0.038,0.76,2.616,2.07,0.025,0.5,0.8,2.18,137.246,,,,,,,,,0.0009,0.0012,,
BJ2600,WR-3,WG32,R2600,217.0,330.0,0.8636,0.4318,0.0051,0.038,0.76,2.388,1.956,0.025,0.5,0.8,1.73,173.576,,,,,,,,,0.0005,0.0008,,
