Name,Model,Unit,Value
Cold-formed equal angle steel,∠30×30×1.6,kg/m,0.714
Cold-formed equal angle steel,∠30×30×2.0,kg/m,0.88
Cold-formed equal angle steel,∠30×30×2.5,kg/m,1.081
Cold-formed equal angle steel,∠30×30×3.0,kg/m,1.274
Cold-formed equal angle steel,∠40×40×1.6,kg/m,0.965
Cold-formed equal angle steel,∠40×40×2.0,kg/m,1.194
Cold-formed equal angle steel,∠40×40×2.5,kg/m,1.473
Cold-formed equal angle steel,∠40×40×3.0,kg/m,1.745
Cold-formed equal angle steel,∠40×40×4.0,kg/m,2.266
Cold-formed equal angle steel,∠50×50×2.0,kg/m,1.508
Cold-formed equal angle steel,∠50×50×2.5,kg/m,1.866
Cold-formed equal angle steel,∠50×50×3.0,kg/m,2.216
Cold-formed equal angle steel,∠50×50×4.0,kg/m,2.894
Cold-formed equal angle steel,∠60×60×2.0,kg/m,1.822
Cold-formed equal angle steel,∠60×60×2.5,kg/m,2.258
Cold-formed equal angle steel,∠60×60×3.0,kg/m,2.687
Cold-formed equal angle steel,∠60×60×4.0,kg/m,3.522
Cold-formed equal angle steel,∠70×70×3.0,kg/m,3.158
Cold-formed equal angle steel,∠70×70×4.0,kg/m,4.15
Cold-formed equal angle steel,∠70×70×5.0,kg/m,5.11
Cold-formed equal angle steel,∠80×80×3.0,kg/m,3.629
Cold-formed equal angle steel,∠80×80×4.0,kg/m,4.778
Cold-formed equal angle steel,∠80×80×5.0,kg/m,5.895
Cold-formed equal angle steel,∠80×80×6.0,kg/m,6.982
Cold-formed equal angle steel,∠100×100×3.0,kg/m,4.571
Cold-formed equal angle steel,∠100×100×4.0,kg/m,6.034
Cold-formed equal angle steel,∠100×100×5.0,kg/m,7.465
Cold-formed equal angle steel,∠100×100×6.0,kg/m,8.866
