ItemElements-ItemElements,Name-Code,GreeElectricAppliances,MoutaiofGuizhou,ChinaPingAn
Basic Stock Information,Stock Price,18,120,25
Basic Stock Information,Earnings per share,2.35,13.44,2.45
Basic Stock Information,Current P/E Ratio,7.65,8.93,10.2
Basic Stock Information,Price-to-book ratio,2.57,2.37,1.38
Basic Stock Information,Book Value per Share,7,50.6,18.12
Basic Stock Information,Dividend Yield,0.083,0.036,0.01
Basic Stock Information,Total Market Value,1020,2142,4575
History and Future,Highest Point,31.55,259,46.9
History and Future,Historical bottom P/E ratio,7.58,6.7,11.8
History and Future,Historical bottom price-to-book ratio,2.4,2.1,1.5
History and Future,Historical bottom dividend yield,0.053,0.0714,0.006
History and Future,Predicted Profit for the Next Year,2.82,13.72,2.95
History and Future,Future one-year P/E ratio,6.38,8.74,8.475
History and Future,Future Two-Year Forecasted Profit,3.39,15.09,3.93
History and Future,Future two-year P/E ratio,5.3,7.95,6.36
History and Future,PEG,0.54,1.24,0.33
Warren Buffett's Three Data Points,Return on Net Assets 15%,32%,30%,13%
Warren Buffett's Three Data Points,Net profit margin 5%,11%,49%,10%
Warren Buffett's Three Data Points,Gross profit margin 40%,36%,92%,17%
