Date,Total Investment,Available Cash,Market Value of Stocks,Position P/L,Total Assets,Total P&L,Total Profit Rate,Daily P/L,Daily Return Rate,Shanghai Composite Index,Unnamed: 11,Unnamed: 12,Unnamed: 13
2015/3/31,10000.0,,,,,300.0,,,,-1.02,,,
2015/4/1,16000.0,,,,,800.0,,,,1.66,,,
2015/4/2,36000.0,3235.0,,3250.0,,1700.0,,,,0.41,,,
2015/4/3,36000.0,3235.0,,3250.0,,,,,,1.0,,,
2015/4/7,36000.0,,30075.0,3113.07,40063.18,,,,,2.52,,,
2015/4/8,36500.0,,,,41200.0,,,,,0.84,The two stocks that hit the daily limit up today were sold by me in advance.,,
2015/4/9,36500.0,,,,41800.0,,,,,-0.93,The market dropped sharply in the morning and rebounded significantly in the afternoon.,,
2015/4/10,36500.0,,,,42426.0,,,,,1.94,,,
2015/4/13,44000.0,,,,50263.0,,,,,,,,
2015/4/14,44000.0,,,,49267.0,,,,,,,,
2015/4/15,44000.0,,,,48374.0,,,,,,"All sold out, all sold at the lowest points.",,
2015/4/16,44000.0,,,,48374.0,,,,,,,,
2015/4/17,30000.0,,,,35620.0,,,,,,"Bought two stocks with 20,000 yesterday, both limit-up.",,
2015/4/20,45000.0,,21261.0,,51813.0,,,,,,"Bought Zhenzhang Real Estate at limit-up price, wanted to buy Jiangsu Sanyou but didn't buy",,
2015/4/21,45000.0,,21261.0,,51850.0,,,,,4.09,"Today's market surged, but I didn't buy any stocks.",,
2015/4/22,45000.0,,42355.0,116.0,51919.0,,,,,2.15,"Today's market surged, but I didn't buy any stocks.",,
2015/4/23,45000.0,,42355.0,116.0,51700.0,,,,,-0.04,,,
2015/4/24,45000.0,,42355.0,116.0,51329.0,,,,,-0.98,,,
2015/4/27,45000.0,,42355.0,116.0,51156.0,,,,,1.44,,,
2015/4/28,45000.0,,42355.0,116.0,50000.0,,,,,-0.69,You should have reduced your holdings a bit yesterday.,,
2015/4/29,45000.0,,49719.0,-1374.0,50428.0,,,,,1.12,"Cofco Property surged yesterday but wasn't sold, and it dropped back today.",,
2015/5/4,45000.0,,49143.0,-1374.0,49897.0,,,,,-0.36,"China Nonferrous Metal Industry Co., Ltd. fell 4%, with a significant drop in the closing hours.",,
2015/5/5,45000.0,,49143.0,-1374.0,49000.0,,,,,-4.0,,,
2015/5/6,45000.0,,49143.0,-1374.0,48300.0,,,,,-1.0,"Sell early in the morning, don't sell late.",Sold out,"Adjust the market; you shouldn't buy these risky, large-cap stocks."
2015/5/7,25000.0,,15000.0,,29000.0,,,,,-1.0,"Today's big drop, bought Rishengxing Technology",,
2015/5/8,25000.0,,24000.0,-1374.0,30000.0,,,,,2.5,"Bought another 8,000 shares of Risingsun Technology today.",,
2015/5/11,25000.0,,27000.0,-1374.0,32371.0,,,,,-1.0,,,
2015/5/12,32000.0,,35520.0,-1374.0,41904.0,,,,,-1.0,,,
