JointVentureMerchandiseGrossMargin-MajorCategory,JointVentureMerchandiseGrossMargin-MediumCategory,JointVentureMerchandiseGrossMargin-Sub-category,JointVentureMerchandiseGrossMargin-GrossMarginofMerchandise
Dry Side Food Products,Instant food,Instant Noodles,10—12
Dry Side Food Products,,Instant Soup,10—12
Dry Side Food Products,,Vegetarian Porridge,10—12
Dry Side Food Products,,Cereal,10—12
Dry Side Food Products,,Infant Formula,10—12
Dry Side Food Products,,Honey,10—12
Dry Side Food Products,,Sesame Porridge,10—12
Dry Side Food Products,,Peanut Porridge,10—12
Dry Side Food Products,,Tahini Porridge,10—12
Dry Side Food Products,,Puff pastry,10—12
Dry Side Food Products,,Soybean Milk Powder,10—12
Dry Side Food Products,"Dried Agricultural, Livestock, and Seafood Products",Agricultural Dried Products,10—12
Dry Side Food Products,,Seafood Dried Products,10—12
Dry Side Food Products,,Meat Products Dry Goods,12—16
Dry Side Food Products,,North and South Goods,12—16
Dry Side Food Products,,Mushroom,12—16
Dry Side Food Products,"Canned Agricultural, Livestock, and Seafood Products",Agricultural Canned Goods,12—16
Dry Side Food Products,,Seafood Canned Goods,14-16
Dry Side Food Products,,Meat Products Canned Goods,14-16
Dry Side Food Products,Canned Fruits,Canned Fruits,13-15
Dry Side Food Products,,Mixed Fruit Canned Goods,13-15
Dry Side Food Products,,,
Dry Side Food Products,Processed foods,Vegetables and Melons,8—14
Dry Side Food Products,,Processed foods,8—14
Dry Side Food Products,,Fish,6—10
Dry Side Food Products,,Bamboo Shoots,12—16
Dry Side Food Products,,Meat,10—12
Dry Side Food Products,Jam,Fruit Flavor Jam,10—12
Dry Side Food Products,,Other flavored jams,10—12
Dry Side Food Products,Snacks,Pumpkin Seeds,13-15
Dry Side Food Products,,General Snacks,13-15
Dry Side Food Products,,Chocolate,13-16
Dry Side Food Products,,Candy,13-20
Dry Side Food Products,,Tofu Dry Product,13-15
Dry Side Food Products,,Honeyed Fruits,15-20
Dry Side Food Products,,Meat Dried Products,12—15
Dry Side Food Products,Infant Food,Infant Formula,9—18
Dry Side Food Products,,Glucose,8—10
Dry Side Food Products,,Calcium Tablets,10—12
Dry Side Food Products,,Infant Cereal,9—16
Dry Side Food Products,,Vitamin,13-15
Dry Side Food Products,Health Food,Health Functional Instant Food,14-20
Dry Side Food Products,,Health Care Lozenges,14-20
Dry Side Food Products,,Health Supplements and Oral Liquids,12—20
Dry Side Food Products,"Coffee, Coffee Creamer Sugar",Coffee Can,12—20
Dry Side Food Products,,Small Packaged Coffee,13-15
Dry Side Food Products,,Coffee Creamer,13-15
Dry Side Food Products,,Cubed Sugar,12—14
Dry Side Food Products,,Rock sugar,10—12
Dry Side Food Products,Tea,Black Tea,16-20
Dry Side Food Products,,Green Tea,16-25
Dry Side Food Products,,Other flavored tea,16-25
Dry Side Food Products,,Flower Tea,16-25
Dry Side Food Products,Tobacco and Alcohol,Cigarettes,2—13
Dry Side Food Products,,Chinese Spirits,3—20
Dry Side Food Products,,Fruit Wine,5—25
Dry Side Food Products,,Foreign Liquor,10—25
Dry Side Food Products,,Other Seasoning Wine,5—15
Dry Side Food Products,,Beer,3—20
Dry Side Food Products,Gift Box,Dry Goods Gift Box,15-20
Dry Side Food Products,,Canned Gift Box,15-20
Dry Side Food Products,,Cookie Gift Box,15-20
Dry Side Food Products,,Seven Chocolate Gift Box,15-20
Dry Side Food Products,,Coffee Gift Box,15-20
Dry Side Food Products,,Liquor Gift Box,10—18
Dry Side Food Products,,Self-assembled Gift Box,10—18
Dry Side Food Products,Beverage,Carbonated beverages,5—10
Dry Side Food Products,,Mineral Water,5—10
Dry Side Food Products,,Juice,10—15
Dry Side Food Products,,Tea,7—15
Dry Side Food Products,Pet Food,Puppy Canned Food,15-25
Dry Side Food Products,,,15-25
Dry Side Food Products,,101902   Adult Dog Canned Food,15-25
Dry Side Food Products,,,
Dry Side Food Products,,,15-25
Dry Side Food Products,,,
Dry Side Food Products,,101903   Canned Cat Food,15-25
Dry Side Food Products,Frozen Food Category,Noodles and Flour Products,14-18
Dry Side Food Products,,Meat and Poultry Products,15-20
Dry Side Food Products,Condiments,Sugar,8—18
Dry Side Food Products,,Salt,5—8
Dry Side Food Products,,Monosodium Glutamate,8—12
Dry Side Food Products,,Tapioca Starch,8—15
Dry Side Food Products,,Fried Powder,8—15
Dry Side Food Products,,Mung Bean Flour,8—16
Dry Side Food Products,,Baking Soda,8—16
Dry Side Food Products,,Soy sauce,8—16
Dry Side Food Products,,Vinegar,3—10
Dry Side Food Products,,Seasoning Powder,6—10
Dry Side Food Products,,Condiment Sauce,6—10
Dry Side Food Products,,Seasoning Packet,6—10
Dry Side Food Products,,Spice Packet,6—10
Dry Side Food Products,Edible oil,Vegetable Oil,3—6
Dry Side Food Products,,Premium Oil,3—6
Dry Side Food Products,,Peanut Oil,3—6
Dry Side Food Products,,Sesame Oil,3—6
Dry Side Food Products,,,
Dry Side Food Products,Grains and Miscellaneous Goods,Bean,2015/4/10
Dry Side Food Products,,Wheat,2015/4/10
Dry Side Food Products,,Sesame,2015/4/10
Dry Side Food Products,,Brown and white rice,2015/2/10
Dry Side Food Products,,Peanut Kernels,2015/4/10
Dry Side Food Products,,Flour,2015/2/8
Dry Side Food Products,,Noodles,2015/3/10
Dry Side Food Products,Cookies,General Biscuits,2015/12/14
Dry Side Food Products,,Sandwich Cookies,2015/12/14
Dry Side Food Products,,Healthy Biscuits,2015/12/14
Dry Side Food Products,,Snack Rice Cakes,15-18
Dry Side Food Products,,Waffle Cakes,14-16
Dry Side Food Products,Ice lolly,Ice cream,
Dry Side Food Products,,Popsicle,
Dry Side Food Products,,Waffle Cone,13-25
Dry Side Food Products,,Other,
Dry Side Food Products,Dairy Products,Lactic Acid Drink,2015/10/15
Dry Side Food Products,,Cultured Butter,2015/10/15
Dry Side Food Products,Soybean Products,Lactic Acid Drink,2015/12/18
Dry Side Food Products,,Soy Milk,2015/12/18
Dry Side Food Products,,Soy Milk,15-20
Dry Side Food Products,,Others (Bean Products),2015/12/18
Dry Side Food Products,Egg,PRESERVED EGG,2015/5/12
Dry Side Food Products,,Salted Egg,2015/5/12
Dry Side Food Products,,Others (Egg),2015/3/10
Dry Side Food Products,,,
Major Category,Medium Category,Sub-category,Gross Margin %
Daily Necessities,Comprehensive Container,Bucket,13-18
,,Water Dipper,13-18
,,Water kettle,13-18
,,Thermal pot,13-18
,,Plastic Food Storage Container,13-18
,,Cold Water Bottle,13-18
,,Bamboo Chopstick Holder,13-18
,,Condiment Can,13-18
,,Sealed Jar,13-18
,,basin,13-18
,,Bathtub,13-18
,,Soap Box,13-18
,,Bathing Box,13-18
,,Fruit Box,13-18
,,Toothpick holder,13-18
