Jointventurecommissionrate-SerialNumber,Jointventurecommissionrate-Project,Jointventurecommissionrate-Jointventurecommissionrate,Jointventurecommissionrate-Annualguaranteedsalesamountintenthousandyuan,Jointventurecommissionrate-AmountinYuan/Day,Jointventurecommissionrate-Grossprofit
1.0,"Pork, beef, and mutton",0,6480000.0,18000.0,324000.0
2.0,Poultry,0,5184000.0,14400.0,311040.0
3.0,Assorted Vegetables,0,432000.0,1200.0,47520.0
4.0,Fruit,0,4752000.0,13200.0,190080.0
5.0,Vegetables,0,2160000.0,6000.0,43200.0
6.0,Canned food,0,2880000.0,8000.0,432000.0
7.0,Salad Vegetables,0,1296000.0,3600.0,207360.0
8.0,Cereals and Grains,0,1296000.0,3600.0,207360.0
9.0,Cured Products,0,648000.0,1800.0,103680.0
10.0,Processed food,0,2808000.0,7800.0,505440.0
11.0,Bulk Pickled Vegetables,0,432000.0,1200.0,69120.0
12.0,Live fish,0,936000.0,2600.0,18720.0
13.0,Aquatic Products (Fresh and Frozen),0,1080000.0,3000.0,21600.0
14.0,Dried Southern and Northern Goods,0,2419200.0,6720.0,387072.0
15.0,Instant food,0,2160000.0,6000.0,345600.0
16.0,Dairy products,0,5184000.0,14400.0,829440.0
17.0,Alcoholic Drinks and Beverages,0,4320000.0,12000.0,561600.0
18.0,Frozen and refrigerated food products,0,4320000.0,12000.0,691200.0
19.0,Dry Side Food Products,0,3888000.0,10800.0,622080.0
20.0,Imported food,0,2880000.0,8000.0,720000.0
21.0,Cosmetics,0,1296000.0,3600.0,233280.0
22.0,Personal hygiene products,0,3456000.0,9600.0,622080.0
23.0,Home cleaning supplies,0,3456000.0,9600.0,656640.0
24.0,Stationery and books,0,648000.0,1800.0,142560.0
25.0,Leisure and Tool Supplies,0,475200.0,1320.0,99792.0
26.0,Small appliances,0,1368000.0,3800.0,273600.0
27.0,Communication Equipment,0,2160000.0,6000.0,432000.0
28.0,Computer and office supplies consumables,0,2160000.0,6000.0,432000.0
29.0,Bicycle electric vehicle,0,2361600.0,6560.0,472320.0
30.0,Shoes,0,1296000.0,3600.0,259200.0
31.0,Apparel and accessories,0,2376000.0,6600.0,475200.0
32.0,Baby Products,0,1375200.0,3820.0,275040.0
33.0,Textiles,0,2095200.0,5820.0,419040.0
,Total,0,,,
