6-8NumberofWomenAged15-64byNumberofSurvivingChildreninDifferentRegions-Region-Region,6-8NumberofWomenAged15-64byNumberofSurvivingChildreninDifferentRegions-15-64yearsold-Numberofwomen,6-8NumberofWomenAged15-64byNumberofSurvivingChildreninDifferentRegions-Survived0-Survived0,6-8NumberofWomenAged15-64byNumberofSurvivingChildreninDifferentRegions-Survived1child-Survived1child,6-8NumberofWomenAged15-64byNumberofSurvivingChildreninDifferentRegions-Survived2children-Survived2children,6-8NumberofWomenAged15-64byNumberofSurvivingChildreninDifferentRegions-Survived3-Survived3,6-8NumberofWomenAged15-64byNumberofSurvivingChildreninDifferentRegions-Survived4-Survived4,6-8NumberofWomenAged15-64byNumberofSurvivingChildreninDifferentRegions-Unit:Person-Survived5-andabove
,,,,,,,
Whole Country,46789337.0,11336803.0,15824874.0,15446775.0,3267980.0,698525.0,214380.0
,,,,,,,
Beijing,760654.0,250772.0,375622.0,121541.0,11157.0,1358.0,204.0
Tianjin,426293.0,109434.0,214528.0,92823.0,8408.0,957.0,143.0
Hebei,2428296.0,509145.0,682149.0,1018409.0,188828.0,25688.0,4077.0
Shanxi,1197867.0,273327.0,354285.0,457836.0,93352.0,15975.0,3092.0
Inner Mongolia,829079.0,172133.0,368101.0,245481.0,36675.0,5559.0,1130.0
,,,,,,,
Liaoning,1447638.0,323234.0,832603.0,269185.0,19811.0,2472.0,333.0
Jilin,796338.0,178335.0,426074.0,167273.0,20389.0,3481.0,786.0
Heilongjiang,1086210.0,264912.0,610605.0,183579.0,21975.0,4229.0,910.0
,,,,,,,
Shanghai,850596.0,249110.0,442910.0,137774.0,17781.0,2618.0,403.0
Jiangsu,2785257.0,576052.0,1387100.0,705601.0,97699.0,15642.0,3163.0
Zhejiang,2260256.0,512928.0,904217.0,729883.0,95645.0,14723.0,2860.0
Anhui,1981919.0,418504.0,626204.0,746169.0,157495.0,27977.0,5570.0
Fujian,1334291.0,288478.0,367537.0,524510.0,124962.0,23303.0,5501.0
Jiangxi,1584030.0,394298.0,317801.0,651582.0,179694.0,32829.0,7826.0
Shandong,3327516.0,723479.0,1167120.0,1226301.0,179082.0,26929.0,4605.0
,,,,,,,
Henan,3168785.0,802696.0,663955.0,1308056.0,334034.0,51250.0,8794.0
Hubei,2076537.0,454677.0,819653.0,679231.0,101549.0,17529.0,3898.0
Hunan,2309191.0,555533.0,696288.0,879656.0,151067.0,22729.0,3918.0
Guangdong,4093241.0,1238171.0,930766.0,1298330.0,435994.0,135440.0,54540.0
Guangxi,1417812.0,361198.0,312424.0,483213.0,181420.0,58434.0,21123.0
Hainan,300902.0,81680.0,61778.0,102455.0,38740.0,11920.0,4329.0
,,,,,,,
Chongqing,1113834.0,282803.0,453815.0,330732.0,40342.0,5153.0,989.0
Sichuan,3000864.0,742985.0,1202479.0,899846.0,119910.0,25297.0,10347.0
Guizhou,1142625.0,288427.0,232458.0,391130.0,160787.0,50274.0,19549.0
Yunnan,1626720.0,420835.0,379410.0,652557.0,129290.0,33490.0,11138.0
Tibet,108979.0,42152.0,20032.0,24875.0,11460.0,5432.0,5028.0
,,,,,,,
Shaanxi,1261651.0,298257.0,417397.0,449109.0,81060.0,13301.0,2527.0
Gansu,802350.0,176411.0,203900.0,310239.0,87307.0,18564.0,5929.0
Qinghai,196522.0,55555.0,53398.0,62191.0,18655.0,4590.0,2133.0
Ningxia,243750.0,56958.0,65015.0,78803.0,29304.0,9771.0,3899.0
Xinjiang,829334.0,234324.0,235250.0,218405.0,94108.0,31611.0,15636.0
