"7-5PopulationwithhouseholdregistrationintownsandstreetsoutsidetheirplaceofhouseholdregistrationinChina,categorizedbyplaceofhouseholdregistration,gender,andeducationalattainment-Educationalattainment-Educationalattainment-Educationalattainment","7-5PopulationwithhouseholdregistrationintownsandstreetsoutsidetheirplaceofhouseholdregistrationinChina,categorizedbyplaceofhouseholdregistration,gender,andeducationalattainment-Unit:Person-Total-Total-Total","7-5PopulationwithhouseholdregistrationintownsandstreetsoutsidetheirplaceofhouseholdregistrationinChina,categorizedbyplaceofhouseholdregistration,gender,andeducationalattainment-Unit:Person-Total-Total-Male","7-5PopulationwithhouseholdregistrationintownsandstreetsoutsidetheirplaceofhouseholdregistrationinChina,categorizedbyplaceofhouseholdregistration,gender,andeducationalattainment-Unit:Person-Total-Total-Female","7-5PopulationwithhouseholdregistrationintownsandstreetsoutsidetheirplaceofhouseholdregistrationinChina,categorizedbyplaceofhouseholdregistration,gender,andeducationalattainment-Unit:Person-Province-Province-Subtotal","7-5PopulationwithhouseholdregistrationintownsandstreetsoutsidetheirplaceofhouseholdregistrationinChina,categorizedbyplaceofhouseholdregistration,gender,andeducationalattainment-Unit:Person-Province-Province-Male","7-5PopulationwithhouseholdregistrationintownsandstreetsoutsidetheirplaceofhouseholdregistrationinChina,categorizedbyplaceofhouseholdregistration,gender,andeducationalattainment-Unit:Person-Province-Province-Female","7-5PopulationwithhouseholdregistrationintownsandstreetsoutsidetheirplaceofhouseholdregistrationinChina,categorizedbyplaceofhouseholdregistration,gender,andeducationalattainment-Unit:Person-householdregistrationseparationwithinthecitydistrict-Subtotal","7-5PopulationwithhouseholdregistrationintownsandstreetsoutsidetheirplaceofhouseholdregistrationinChina,categorizedbyplaceofhouseholdregistration,gender,andeducationalattainment-Unit:Person-householdregistrationseparationwithinthecitydistrict-Male","7-5PopulationwithhouseholdregistrationintownsandstreetsoutsidetheirplaceofhouseholdregistrationinChina,categorizedbyplaceofhouseholdregistration,gender,andeducationalattainment-Unit:Person-householdregistrationseparationwithinthecitydistrict-Female","7-5PopulationwithhouseholdregistrationintownsandstreetsoutsidetheirplaceofhouseholdregistrationinChina,categorizedbyplaceofhouseholdregistration,gender,andeducationalattainment-Unit:Person-Out-of-province-Out-of-province-Subtotal","7-5PopulationwithhouseholdregistrationintownsandstreetsoutsidetheirplaceofhouseholdregistrationinChina,categorizedbyplaceofhouseholdregistration,gender,andeducationalattainment-Unit:Person-Out-of-province-Out-of-province-Male","7-5PopulationwithhouseholdregistrationintownsandstreetsoutsidetheirplaceofhouseholdregistrationinChina,categorizedbyplaceofhouseholdregistration,gender,andeducationalattainment-Unit:Person-Out-of-province-Out-of-province-Female"
,,,,,,,,,,,,
Total,481572509.0,250000751.0,231571758.0,358631955.0,179315891.0,179316064.0,113830778.0,55568811.0,58261967.0,122940554.0,70684860.0,52255694.0
Never attended school,8036603.0,2613475.0,5423128.0,6351410.0,2034759.0,4316651.0,1665930.0,537545.0,1128385.0,1685193.0,578716.0,1106477.0
Preschool education,15603919.0,8246272.0,7357647.0,12801951.0,6752281.0,6049670.0,4100987.0,2153915.0,1947072.0,2801968.0,1493991.0,1307977.0
Primary School,81156005.0,38765200.0,42390805.0,60870619.0,28252529.0,32618090.0,16310419.0,7427623.0,8882796.0,20285386.0,10512671.0,9772715.0
Junior high school,160296013.0,86519795.0,73776218.0,108995900.0,55460578.0,53535322.0,30332814.0,14813592.0,15519222.0,51300113.0,31059217.0,20240896.0
High School,100083053.0,54572667.0,45510386.0,78828979.0,41567081.0,37261898.0,26353346.0,13265296.0,13088050.0,21254074.0,13005586.0,8248488.0
College (Associate Degree),58220960.0,30237296.0,27983664.0,46859955.0,23807089.0,23052866.0,16277828.0,8101203.0,8176625.0,11361005.0,6430207.0,4930798.0
Bachelor's degree,52385423.0,26132045.0,26253378.0,40052611.0,19503692.0,20548919.0,16314565.0,8002841.0,8311724.0,12332812.0,6628353.0,5704459.0
Master's Degree,5164235.0,2534372.0,2629863.0,3446958.0,1683920.0,1763038.0,2157607.0,1075003.0,1082604.0,1717277.0,850452.0,866825.0
Doctorate degree holders,626298.0,379629.0,246669.0,423572.0,253962.0,169610.0,317282.0,191793.0,125489.0,202726.0,125667.0,77059.0
