Date,Store Traffic,Taobao Guest Traffic,Traffic Ratio,Store Sales Revenue,Taobao Guest Transaction Amount,Transaction Share,Number of Transactions,Commission Expense,PPC,Daily ROI
2013-03-07,1788,230,,56932,"¥7,843.17",,,¥128.93,,
2013-03-08,3443,380,,38721,"¥3,743.61",,,¥102.20,,
2013-03-09,3721,327,,40291,"¥3,477.00",,,¥98.32,,
2013-03-10,4537,430,,47832,"¥4,706.03",,,¥111.45,,
2013-03-11,4416,521,,39712,"¥3,638.13",,,¥83.23,,
2013-03-12,3316,279,,50432,"¥5,874.77",,,¥88.15,,
2013-03-13,3411,310,,46391,"¥4,207.08",,,¥73.02,,
2013-03-14,3645,380,,47832,"¥3,743.61",,,¥63.08,,
2013-03-15,3683,319,,39712,"¥4,706.03",,,¥183.92,,
2013-03-16,3647,231,,39712,"¥5,874.77",,,¥108.25,,
2013-03-17,3859,371,,38721,"¥3,477.00",,,¥88.15,,
2013-03-18,3520,344,,40291,"¥7,843.17",,,¥70.60,,
2013-03-19,2434,261,,56932,"¥3,638.13",,,¥102.20,,
2013-03-20,2527,239,,39712,"¥5,874.77",,,¥130.32,,
